Original_Target,Suggested_Simplified_Target and Disease Common Name,Target_Type,Causal organism,Count,Examples,Notes,,,,Count:,4092
Aerial Stem Rot,Aerial Stem Rot,Disease,,5,DuPont Tanos; GWN-10073-10120; Sonata ASO; Badge X2; SERENADE ASO,,,,,,
Aerial stem Rot,Aerial Stem Rot,Disease,,1,Badge SC,,,,,,
Aerial stem rot,Aerial Stem Rot,Disease,,4,Theia Fungicide; BC18-WG; Zorda WG Biological Fungicide; Serifel Biofungicide,,,,,,
Aerial Web Blight,Aerial Web Blight,Disease,,31,Chipco 26019 Fungicide; ARMOUR-Zen 15%; IPRODIONE 2FL TURF; Iprodione 2F Select; CHIPCO 26019 FLO brand Fungicide,,,,,,
Aerial web blight,Aerial Web Blight,Disease,,15,Quali-Pro TMI 20/20; Nufarm Iprodione SPC Fungicide; 26/36 Fungicide; Iprodione ETQ; Dovetail,,,,,,
Aflatoxin-producing Aspergillus flavus,Aspergillus flavus,Disease,Aspergillus flavus,1,Afla-Guard GR,Review needed - unclear target type,,,,,
Aflatoxin-producing strains of Aspergillus flavus,Aspergillus flavus,Disease,Aspergillus flavus,2,Aspergillus flavus AF36 Prime; Aspergillus flavus AF36 Prevail,Review needed - unclear target type,,,,,
Ageratum,Ageratum,Other,,2,A229.02,Review needed - unclear target type,,,,,
Agrobacterium spp.,Agrobacterium spp.,Disease,,2,CH2970/CH3000,Review needed - unclear target type,,,,,
Air-borne disease,Air-borne disease,Disease,,2,Templar,,,,,,
Albinism,Albinism,Other,,30,A253.01; A23089 Fungicide; A225.05; A225.09; A-Zox 50WDG,Review needed - unclear target type,,,,,
Albinism (Alternaria alternata pv. citri),Albinism,Other,,1,Heritage Fungicide,Review needed - unclear target type,,,,,
Albugo occidentalis,Albugo occidentalis,Insect,,4,AXYL-SHIELD 2E FOLIAR; Neatland 240 EC; METALAXYL 4LB SC,,,,,,
Alder borer,Alder borer,Insect,,1,Mantra 60 WSP,,,,,,
Alfalfa,Alfalfa,Other,,7,Sharda Clopyralid 40.9% EC; A363.01; GCS Clopy 360SL,Review needed - unclear target type,,,,,
Alfalfa blotch leafminers,Leafminers,Insect,,2,Drexel Carbaryl 4L,,,,,,
Alfalfa Caterpillar,Alfalfa Caterpillar,Insect,,33,BioproTeK; Bioprotec PLUS; Bonide® RTU Vegetable & Ornamental Insect Spray; EVERCIDE Emulsifiable Concentrate 2668; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE,,,,,,
Alfalfa caterpillar,Alfalfa Caterpillar,Insect,,2,Brigadier HPG Insecticide; Tolfenpyrad 15EC Insecticide,,,,,,
Alfalfa caterpillars,Alfalfa Caterpillar,Insect,,2,Drexel Carbaryl 4L,,,,,,
Alfalfa Looper,Alfalfa Loopers,Other,,111,A198.01; A122.03; A115.04; A122.05; A115.02,Review needed - unclear target type,,,,,
Alfalfa looper,Alfalfa Loopers,Other,,70,A152.03; A152.02; A122.01™; A177.04; ARCTIC® 3.2 EC,Review needed - unclear target type,,,,,
alfalfa looper,alfalfa looper,Other,,7,Hi-Yield,Review needed - unclear target type,,,,,
Alfalfa looper (Autographa californica),Alfalfa Loopers,Other,,2,A103.02,Review needed - unclear target type,,,,,
Alfalfa Loopers,Alfalfa Loopers,Other,,7,Rotam Methomyl 29LV Insecticide; Bonide Eight Insect Control Dust; Lannate SP; Lannate LV Insecticide; Chemsico Insecticide Concentrate 22L,Review needed - unclear target type,,,,,
Alfalfa loopers,Alfalfa Loopers,Other,,2,"Pramex Dust (0.15); UNICORN 10% PERMETHRIN LAWN, GARDEN & TERMITE CONCENTRATE",Review needed - unclear target type,,,,,
Alfalfa Worms,Alfalfa Worms,Insect,,2,DEBUG OPTIMO,,,,,,
Algae,Algae,Other,,31,CUPROQUIM NU-COP 40DF; Basic Copper 50 HB; Copper Hydroxide 20% DF; 3 LB. COPPER FLOWABLE FUNGICIDE; COC WP,Review needed - unclear target type,,,,,
algae,algae,Other,,6,SDCH 59.5,Review needed - unclear target type,,,,,
Algal Spot,Algal Spot,Disease,,17,Biorend Cu; AG Copp 75; Badge SC; AmeriCop 40 DF; Badge X2,,,,,,
Algal spot,Algal Spot,Disease,,6,KOP-5; ALONGLIFE™; LPI Chesson Fungicide; Phyton-016-B; Funguran Progress,,,,,,
All Listed Pests,All Listed Pests,Other,,3,Mycotrol® ES,Review needed - unclear target type,,,,,
All listed pests,All listed pests,Other,,44,BotaniGard 22WP,Review needed - unclear target type,,,,,
All listed stone fruit diseases (Alone),All listed stone fruit diseases (Alone),Disease,,1,Scala Brand SC Fungicide,,,,,,
All listed stone fruit diseases (tank mix),All listed stone fruit diseases (tank mix),Disease,,1,Scala Brand SC Fungicide,,,,,,
Allantophomopsis cytisporea,Allantophomopsis cytisporea,Insect,,5,Phobos FC; Proline 480 SC Fungicide; Propulse; Prothioconazole + Azoxystrobin; VIBEPRO PTZ SC,,,,,,
Allantophomopsis lycopodina,Allantophomopsis lycopodina,Insect,,5,Phobos FC; Proline 480 SC Fungicide; Propulse; Prothioconazole + Azoxystrobin; VIBEPRO PTZ SC,,,,,,
Almond blossom and leaf diseases,Almond blossom and leaf diseases,Disease,,1,AX TM-540,,,,,,
Almond Hull Rot,Hull Rot,Disease,,1,BioLink Fungicide PLUS,,,,,,
Almond Leaf Rust,Leaf Rust,Disease,,2,Companion® Maxx Liquid Biological Fungicide,,,,,,
Almond Mite,Almond Mites,Insect,,14,Cosavet DF; LIFESUL 80 DF; Helena 90% Sulfur Dust; Micro Suit® Micronized Wettable Sulfur; Helena Wettable Sulphur,,,,,,
Almond mite,Almond Mites,Insect,,5,Sulfur Dual Spraying 90 WP; THAT® Flowable Sulfur; Sulfur 6L,,,,,,
almond mite,Mites,Insect,,4,Microsperse Wettable Sulfur; Sulfur 90DF; Yellow Jacket Flowable Sulfur,,,,,,
Almond Mites,Almond Mites,Insect,,3,Defend DF; Sulphur W.G.; CUPROQUIM SUPER-SUL MICRONIZED WETTABLE SULFUR WDG,,,,,,
Almond mites,Almond Mites,Insect,,2,Drexel Sulfa 80W,,,,,,
Almond Moth,Almond Moths,Insect,,3,EVERGREEN Crop Protection EC 60-6; VAPORPH3OS® Phosphine Fumigant,,,,,,
Almond moth,Almond Moths,Insect,,8,HERCON® DISRUPT® IMM HA MATING DISRUPTANT; Metabrom 100; SPM-MD; Cidetrak IMM,,,,,,
almond moth,Almond Moths,Insect,,16,METH-O-GAS® Q; CIDETRAK® IMM MEC; Meth-O-Gas 100; Methyl Bromide 100,,,,,,
Almond Moths,Almond Moths,Insect,,16,MULTICIDE Pressurized Spray 2594; MGK AgriPest Cropfume P-H with Pyrethrins/PBO; Entech Fog-10 Space Spray; AeroTech® with NyGuard® IGR; CT-55 Dairy Aerosol,,,,,,
Almond moths,Almond Moths,Insect,,2,TURBOCIDE GOLD WITH PYROCIDE,,,,,,
almond moths,Almond Moths,Insect,,3,AMVAC LARGE PRO-STRIP; DY-FLY Dairy Aerosol,,,,,,
Almond Pruning Wound Canker,Almond Pruning Wound Canker,Disease,Phytophthora syringae,1,PHOSTROL Agricultural Fungicide,,,,,,
Almond pruning wound canker,Almond Pruning Wound Canker,Disease,Phytophthora syringae,1,Topaz 5 Systemic Fungicide,,,,,,
Almond Pruning-Wound Canker,Almond Pruning Wound Canker,Disease,Phytophthora syringae,1,Legion 80 WDG,,,,,,
Almond pruning-wound canker,Almond Pruning Wound Canker,Disease,Phytophthora syringae,2,Aliette WDG Fungicide; Linebacker WDG Fungicide,,,,,,
Almond Pruning-Wound Cankers (Phytophthora syringae),Almond Pruning Wound Canker,Disease,Phytophthora syringae,3,OxiPhos,,,,,,
Almond Scab,Almond Scab,Disease,,4,Iprodione 2F Fungicide; Companion® Maxx Liquid Biological Fungicide; Iprodione 4F Fungicide,,,,,,
Almond scab,Almond Scab,Disease,,3,Theia Fungicide,,,,,,
Almond Tree Borers,Almond Tree Borers,Insect,,1,Danitol 2.4 EC Spray,,,,,,
Altemaria leaf blight,Altenaria Leaf Blight,Disease,,6,Dovetail,,,,,,
Altenaria Leaf Blight,Altenaria Leaf Blight,Disease,,3,IPRODIONE 50WP T&O,,,,,,
Alter bloom period/control bloom,Alter bloom period/control bloom,Other,,4,Foliar TRIGGRR,Review needed - unclear target type,,,,,
Alternana rot and surface mold,Alternana rot and surface mold,Disease,,4,Scholar® Fungicide,,,,,,
Alternaria,Alternaria spp.,Other,Alternaria spp.,102,AG Copp 75; ADAMENT 50 WG Fungicide; A295.01; AmeriCop 40 DF; Agro-K Copper Lite Plus,Review needed - unclear target type,,,,,
alternaria,Alternaria spp.,Other,Alternaria spp.,1,Enable 2F,Review needed - unclear target type,,,,,
Alternaria (black rot,Black rot,Disease,Alternaria spp.,1,Carb-O-Nator,,,,,,
Alternaria (blossom end rot,Blossom end rot,Disease,Alternaria spp.,1,Carb-O-Nator,,,,,,
Alternaria (canker,Canker,Disease,Alternaria spp.,1,Carb-O-Nator,,,,,,
Alternaria (early blight,Early blight,Disease,Alternaria spp.,1,Carb-O-Nator,,,,,,
Alternaria (early blight),Early blight,Disease,Alternaria spp.,1,Carb-O-Nator,,,,,,
Alternaria (fruit rot),Fruit Rot,Disease,Alternaria spp.,3,Carb-O-Nator,,,,,,
Alternaria (fruit spot),Fruit Spot,Disease,Alternaria spp.,1,Carb-O-Nator,,,,,,
Alternaria (gray leaf spot,Leaf Spot,Disease,Alternaria spp.,1,Carb-O-Nator,,,,,,
Alternaria (leaf blight,Leaf Blight,Disease,Alternaria spp.,1,Carb-O-Nator,,,,,,
Alternaria (leaf spot,Leaf Spot,Disease,Alternaria spp.,2,Carb-O-Nator,,,,,,
Alternaria (nut mold),Nut mold,Disease,Alternaria spp.,1,Carb-O-Nator,,,,,,
Alternaria alternata,Alternaria alternata,Other,Alternaria alternata,6,Cabrio Team; Mentor EC; Endorse Water Dispersible Granules,Review needed - unclear target type,,,,,
Alternaria alternate,Alternaria alternata,Other,Alternaria alternata,1,ENV503 Biofungicide Wettable Powder,Review needed - unclear target type,,,,,
Alternaria Blight,Blight,Disease,Alternaria spp.,23,Azoxystrobin 2.08 lb SC; Abound Flowable Fungicide; Azoxystrobin 22.9% SC; AZteroid FC 3.3; A225.13,,,,,,
Alternaria blight,Blight,Disease,Alternaria spp.,18,Bonide FT09; Dexter Max Fungicide; Cabrio® EG Fungicide; Dexter XCEL Fungicide; Cueva 2.4 Copper Soap,,,,,,
Alternaria blights and leaf spots,"Blight, Leaf Spot",Disease,Alternaria spp.,8,Vertisan; Treoris; DuPont™ Aproach®; Fontelis,,,,,,
Alternaria Blotch,Blotch,Other,Alternaria spp.,50,Avalaire Cyprodinil + Difenoconazole; A253.08; ARMOUR-Zen 15%; Armour-Zen; A253.05 [Vango ESQ],Review needed - unclear target type,,,,,
Alternaria blotch,Blotch,Other,Alternaria spp.,47,A20259 Crop; A253.01; Aprovia Fungicide; A228.03; A19649 Crop,Review needed - unclear target type,,,,,
Alternaria blotch and rot,"Blotch, Rot",Disease,Alternaria spp.,2,FLU+DFO,,,,,,
Alternaria Brown Rot,Brown Rot,Disease,Alternaria spp.,1,Biorend Cu,,,,,,
Alternaria brown rot,Brown Rot,Disease,Alternaria spp.,1,KOP-5,,,,,,
Alternaria Brown Spot,Brown Spot,Disease,Alternaria spp.,36,BACIX; ARMOUR-Zen 15%; Armour-Zen; AmeriCop 40 DF; Badge X2,,,,,,
Alternaria brown Spot,Brown Spot,Disease,Alternaria spp.,1,Zorda WG Biological Fungicide,,,,,,
Alternaria brown spot,Brown Spot,Disease,Alternaria spp.,24,ENDORSE Water Dispersible Granules; Endura Pro fungicide; Endura Fungicide; Cevya Fungicide; Cueva 2.4 Copper Soap,,,,,,
Alternaria Brown Spot (Suppression),Brown Spot,Disease,Alternaria spp.,1,HIDRO CUP,,,,,,
Alternaria citri,Alternaria citri,Other,Alternaria spp.,3,Fungaflor 750 WSP; Lenvyor Fungicide,Review needed - unclear target type,,,,,
Alternaria Diseases,Alternaria spp.,Disease,Alternaria spp.,26,Alibi Flora™; A253.04; A253.08; A253.09; A253.05 [Vango ESQ],,,,,,
Alternaria diseases,Alternaria spp.,Disease,Alternaria spp.,9,A253.01; A253.07; Inspire; Avalaire Difenoconazole EC; A253.03,,,,,,
Alternaria diseases (Alternaria spp.),Alternaria spp.,Disease,Alternaria spp.,1,Revus Top,,,,,,
Alternaria early blight,Early blight,Disease,Alternaria spp.,1,Fontelis,,,,,,
Alternaria early blight and brown spot,"Early blight, Brown spot",Disease,Alternaria spp.,2,Vertisan; Treoris,,,,,,
Alternaria Fruit Rot,Fruit Rot,Disease,Alternaria spp.,123,A225.09; A19649 Crop; A20560 Crop Fungicide; A230.03; A21461 Crop,,,,,,
Alternaria fruit rot,Fruit Rot,Disease,Alternaria spp.,111,A253.01; A230.04; A254.02; A20560 Crop Fungicide; A19649 Crop,,,,,,
Alternaria fruit rot (Alternaria tenuissima),Fruit Rot,Disease,Alternaria tenuissima,1,MAXIPHITE Fungicide,,,,,,
Alternaria Fruit Rot (Black Mold),Black mold,Disease,Alternaria spp.,3,CPI Chlorothalonil Multipurpose Fungicide; EQUUS DF; CP Multi-Purpose Fungicide Ready-To-Use,,,,,,
Alternaria fruit rot (black mold),Black mold,Disease,Alternaria spp.,5,ECHO® HOME GARDEN Fungicide; Echo 90DF; Applause DF Fungicide; Echo Lite; Bravo Zn,,,,,,
Alternaria fruit rot and leaf spot,"Fruit rot, Leaf spot",Disease,Alternaria spp.,6,BC18-WG,,,,,,
Alternaria Fruit Rot or Black Mold,"Fruit rot, Black mold",Disease,Alternaria spp.,1,Bonide Fung-onil Multi-purpose Fungicide Ready to Use,,,,,,
Alternaria Fruit Rots,Fruit Rot,Disease,Alternaria spp.,3,A225.13; AZteroid FC 3.3,,,,,,
Alternaria fruit spot,Fruit Spot,Disease,Alternaria spp.,2,Quadris Top Fungicide; Chlorothalonil 900,,,,,,
Alternaria Late Blight,Late Blight,Disease,Alternaria spp.,37,A225.09; ARMOUR-Zen 15%; BioLink Fungicide PLUS; DISTINGUISH 480 SC FUNGICIDE; Armour-Zen,,,,,,
Alternaria Late blight,Late Blight,Disease,Alternaria spp.,1,Pegasus 82.5 DF,,,,,,
Alternaria late blight,Late Blight,Disease,Alternaria spp.,26,Imbrex Xemium Fungicide Technical; ENDORSE Water Dispersible Granules; Endura Fungicide; Chlorothalonil 6; Luna Experience,,,,,,
Alternaria late blight (suppression),Late Blight,Disease,Alternaria spp.,3,Merivon Xemium Brand Fungicide,,,,,,
Alternaria Late Blight/Leaf Spot,"Late Blight, Leaf spot",Disease,Alternaria spp.,11,Milagrum Plus; BACIX; Forticept EP #1,,,,,,
Alternaria leaf,Leaf spot,Other,Alternaria spp.,1,HMO-1601 Fungicide,Review needed - unclear target type,,,,,
Alternaria Leaf And Fruit Spot,"Leaf spot, Fruit spot",Disease,Alternaria spp.,2,Azoxystrobin H&G Fungicide Concentrate,,,,,,
Alternaria Leaf and Fruit Spot,"Leaf spot, Fruit spot",Disease,Alternaria spp.,96,A225.09; A19649 Crop; A20560 Crop Fungicide; A-Zox 50WDG; A21461 Crop,,,,,,
Alternaria leaf and Fruit spot,"Leaf spot, Fruit spot",Disease,Alternaria spp.,1,STK-73,,,,,,
Alternaria leaf and fruit spot,"Leaf spot, Fruit spot",Disease,Alternaria spp.,23,A20259 Crop; A253.07; A253.01; A225.05; Avalaire Difenoconazole EC,,,,,,
Alternaria Leaf Blight,Leaf Blight,Disease,Alternaria spp.,81,A253.08; A230.04; A230.03; A253.04; A253.05 [Vango ESQ],,,,,,
Alternaria leaf blight,Leaf Blight,Disease,Alternaria spp.,111,A20259 Crop; A230.04; 26/36 Fungicide; A20560 Crop Fungicide; A19649 Crop,,,,,,
Alternaria leaf blight (A. cucumerina),Leaf Blight,Disease,Alternaria cucumerina,1,Revus Top,,,,,,
Alternaria Leaf Blight (Alternaria zinniae),Leaf Blight,Disease,Alternaria zinniae,3,IPRODIONE 2SE TURF,,,,,,
Alternaria Leaf Blight / Black Rot / Black Crown Rot,"Leaf Blight, Black rot, Black crown rot",Disease,Alternaria spp.,1,SERENADE ASO,,,,,,
Alternaria leaf blight and leaf spot,"Leaf Blight, Leaf spot",Disease,Alternaria spp.,1,LIBERTY PYRAC-TRZ,,,,,,
Alternaria Leaf Spot,Leaf Spot,Disease,Alternaria spp.,401,A20259 Crop; A-Zox 25SC; 3 LB. COPPER FLOWABLE FUNGICIDE; A-Zox 50WDG; A225.08,,,,,,
Alternaria leaf spot,Leaf Spot,Disease,Alternaria spp.,405,A20259 Crop; A225.05; A230.04; A19649 Crop; A20560 Crop Fungicide,,,,,,
alternaria leaf spot,Leaf Spot,Disease,Alternaria spp.,1,Dithane F-45,,,,,,
Alternaria leaf spot (A. alternata),Leaf Spot,Disease,Alternaria alternata,1,Revus Top,,,,,,
Alternaria Leaf Spot (suppression),Leaf Spot,Disease,Alternaria spp.,19,Magister SC,,,,,,
Alternaria leaf spot and blight,"Leaf spot, Blight",Disease,Alternaria spp.,9,Treoris; DuPont™ Aproach®; Fontelis; Endura Pro fungicide,,,,,,
Alternaria Leaf Spot and Fruit Rot,"Leaf spot, Fruit rot",Disease,Alternaria spp.,8,Quash SC Fungicide; METCONAZOLE 50 WDG Fungicide; Azoxy 50WDG Select; A-Zox 50WDG,,,,,,
Alternaria leaf spot and fruit rot,"Leaf spot, Fruit rot",Disease,Alternaria spp.,47,FLU+DFO; A225.05; Endura Pro fungicide; Cabrio® EG Fungicide; Cevya Fungicide,,,,,,
Alternaria Leaf Spot and Pin Rot,"Leaf spot, Pin rot",Disease,Alternaria spp.,1,A225.13,,,,,,
Alternaria Leaf Spots,Leaf spot,Disease,Alternaria spp.,3,A225.13; AZteroid FC 3.3,,,,,,
Alternaria leaf spots,Leaf spot,Disease,Alternaria spp.,4,Vertisan; Fontelis,,,,,,
Alternaria Leafspot,Leaf spot,Disease,Alternaria spp.,18,ClearGuard™ Horticultural Spray Oil; JMS STYLET-OIL; PureSpray Green; ARMOUR-Zen 15%; PURESPRAY™ GREEN FORMULA 3,,,,,,
Alternaria leafspot,Leaf spot,Disease,Alternaria spp.,24,A20259 Crop; A253.01; A253.10; A20560 Crop Fungicide; A253.02,,,,,,
Alternaria root rot,Root rot,Disease,Alternaria spp.,6,Timorex Gold,,,,,,
Alternaria Rot,Rot,Disease,Alternaria spp.,22,A253.07; A253.08; Aprovia Top Fungicide; A253.09; A253.05 [Vango ESQ],,,,,,
Alternaria rot,Rot,Disease,Alternaria spp.,71,A20259 Crop; A23089 Fungicide; A253.01; A19649 Crop; A20560 Crop Fungicide,,,,,,
Alternaria rot (A. alternata),Rot,Disease,Alternaria alternata,1,Revus Top,,,,,,
Alternaria Rot (Alternaria citri),Rot,Disease,Alternaria citri,2,PHC 25279,,,,,,
Alternaria rot and spot,"Rot, Spot",Disease,Alternaria spp.,2,ENDORSE Water Dispersible Granules,,,,,,
Alternaria rot and surface mold,"Rot, Surface mold",Disease,Alternaria spp.,8,Scholar RTU; Shield-Brite FDL 230SC; Sharda Fludioxonil 20.4% SC,,,,,,
Alternaria solani,Alternaria solani,Other,Alternaria solani,2,ROMEO,Review needed - unclear target type,,,,,
Alternaria species diseases,Alternaria spp.,Disease,Alternaria spp.,3,IPRODIONE 50EG T&O,,,,,,
Alternaria Spot,Spot,Disease,Alternaria spp.,17,Drexel Zoxy-Zole Fungicide; Liberty AzoxyProp; SHARDA AZOXY 11% + TEB 18.35% SC; Mildore™ Max; Azoxy + Propi SE,,,,,,
Alternaria spot,Spot,Disease,Alternaria spp.,7,A253.01; Serifel Biofungicide,,,,,,
Alternaria Spot / Fruit Rot,"Spot, Fruit rot",Disease,Alternaria spp.,8,Zorda WG Biological Fungicide; SERENADE ASO,,,,,,
Alternaria Spot and Fruit Rot,"Spot, Fruit rot",Disease,Alternaria spp.,176,A225.09; A-Zox 50WDG; A225.13; A225.08; A253.05 [Vango ESQ],,,,,,
Alternaria spot and Fruit rot,"Spot, Fruit rot",Disease,Alternaria spp.,11,NUP-08099; Helmstar Fungicide; A253.02,,,,,,
Alternaria spot and fruit rot,"Spot, Fruit rot",Disease,Alternaria spp.,70,A20259 Crop; A225.05; A19649 Crop; A225.11; A21461 Crop,,,,,,
Alternaria spot and fruit rot (Alternaria alternata),"Spot, Fruit rot",Disease,Alternaria alternata,3,HELMSTAR PLUS SC,,,,,,
Alternaria Spot/Fruit Rot,"Spot, Fruit rot",Disease,Alternaria spp.,43,Forticept EP #1; BACIX; ARMOUR-Zen 15%; Armour-Zen; Forticept EP #3,,,,,,
Alternaria spot/fruit rot,"Spot, Fruit rot",Disease,Alternaria spp.,9,Theia Fungicide; BC18-WG; TS601®,,,,,,
Alternaria spp.,Alternaria spp.,Disease,Alternaria spp.,59,CALIRUS 150; Fungi-Phite; ENV503 Biofungicide Wettable Powder; Integral; CH2970/CH3000,Review needed - unclear target type,,,,,
Alternaria stem canker,Canker,Disease,Alternaria spp.,4,ENDORSE Water Dispersible Granules; STK-20 (Regev),,,,,,
Amaranth,Amaranth,Insect,,88,AX FOMESAFEN 2 SL; A308.10; Avalaire Fomesafen 1.88 SL; A308.04; A383.03,,,,,,
Amaranth Palmer,Amaranth Palmer,Insect,,2,Sulfentrazone 4SC Select ABN: Sulfentrazone 4SC Prime; Shafen Star,,,,,,
Amaranthus blitoides,Amaranthus blitoides,Insect,,1,F6285 4F CAL Herbicide,,,,,,
Amaranthus dubius,Amaranthus dubius,Insect,,8,F6285 4F CAL Herbicide,,,,,,
Amaranthus hybridus,Amaranthus hybridus,Insect,,12,F6285 4F CAL Herbicide,,,,,,
