Original_Target,Count,Examples,Suggested_Simplified_Target,Target_Type,Notes
Acremonium/Cephalosporium Hypocotyl Rot,11,Avalaire T-Methyl 70 WSP; NUFARM T-METHYL 70 WSB FUNGICIDE; Sharda Thiophanate 46.2% SC; Liberty TM 70 WSB; AX TM 70 WSB,,,
Aculus sp.,6,LN 1% PY,,,
Adelgids,207,A1115.04; Aloft GC SC; Aerosol NEU1161 RTU; A171.13; Aloft LC SC,,,
Adult Japanese beetles,15,GRANDEVO,,,
Adult Leaf Eating Beetles,1,RaVida 8.5 SL Insecticide,,,
Adult Mosquitoes,20,PRO-MATE UL 4-4; PRO-MATE UL 31-66; PRENTOX PERM-X UL 31-66; BIOMIST® 31+66 ULV,,,
Adult Root Weevils,3,EsfenStar 8% EC; Dupont Asana XL Insecticide,,,
Adult Walnut Husk Fly,1,Dibrom 8 Emulsive,,,
Adult citrus weevils,1,Drexel Carbaryl 4L,,,
Adult leaf eating beetles,1,Retriever® Insecticide,,,
Adult mosquitoes,500,AllPro Aqualuer 30-30; AllPro Evoluer 2-2 ULV; AllPro Aqualuer 20-20; AllPro Evoluer 30-30 ULV; AllPro Evoluer 31-66 ULV,,,
Adult mosquitoes and biting flies,44,PERMASEASE 30-30,,,
Adult root weevils,4,Minecto Pro; Exirel Insect Control,,,
Aerial Blight,3,Terraguard SC,,,
Aerial Stem Rot,5,DuPont Tanos; GWN-10073-10120; Sonata ASO; Badge X2; SERENADE ASO,,,
Aerial Web Blight,31,Chipco 26019 Fungicide; ARMOUR-Zen 15%; IPRODIONE 2FL TURF; Iprodione 2F Select; CHIPCO 26019 FLO brand Fungicide,,,
Aerial stem Rot,1,Badge SC,,,
Aerial stem rot,4,Theia Fungicide; BC18-WG; Zorda WG Biological Fungicide; Serifel Biofungicide,,,
Aerial web blight,15,Quali-Pro TMI 20/20; Nufarm Iprodione SPC Fungicide; 26/36 Fungicide; Iprodione ETQ; Dovetail,,,
Aflatoxin-producing Aspergillus flavus,1,Afla-Guard GR,,,
Aflatoxin-producing strains of Aspergillus flavus,2,Aspergillus flavus AF36 Prime; Aspergillus flavus AF36 Prevail,,,
Ageratum,2,A229.02,,,
Agrobacterium spp.,2,CH2970/CH3000,,,
Air-borne disease,2,Templar,,,
Albinism,30,A253.01; A23089 Fungicide; A225.05; A225.09; A-Zox 50WDG,,,
Albinism (Alternaria alternata pv. citri),1,Heritage Fungicide,,,
Albugo occidentalis,4,AXYL-SHIELD 2E FOLIAR; Neatland 240 EC; METALAXYL 4LB SC,,,
Alder borer,1,Mantra 60 WSP,,,
Alfalfa,7,Sharda Clopyralid 40.9% EC; A363.01; GCS Clopy 360SL,,,
Alfalfa Caterpillar,33,BioproTeK; Bioprotec PLUS; Bonide® RTU Vegetable & Ornamental Insect Spray; EVERCIDE Emulsifiable Concentrate 2668; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE,,,
Alfalfa Looper,111,A198.01; A122.03; A115.04; A122.05; A115.02,,,
Alfalfa Loopers,7,Rotam Methomyl 29LV Insecticide; Bonide Eight Insect Control Dust; Lannate SP; Lannate LV Insecticide; Chemsico Insecticide Concentrate 22L,,,
Alfalfa Worms,2,DEBUG OPTIMO,,,
Alfalfa blotch leafminers,2,Drexel Carbaryl 4L,,,
Alfalfa caterpillar,2,Brigadier HPG Insecticide; Tolfenpyrad 15EC Insecticide,,,
Alfalfa caterpillars,2,Drexel Carbaryl 4L,,,
Alfalfa looper,70,A152.03; A152.02; A122.01™; A177.04; ARCTIC® 3.2 EC,,,
Alfalfa looper (Autographa californica),2,A103.02,,,
Alfalfa loopers,2,"Pramex Dust (0.15); UNICORN 10% PERMETHRIN LAWN, GARDEN & TERMITE CONCENTRATE",,,
Algae,31,CUPROQUIM NU-COP 40DF; Basic Copper 50 HB; Copper Hydroxide 20% DF; 3 LB. COPPER FLOWABLE FUNGICIDE; COC WP,,,
Algal Spot,17,Biorend Cu; AG Copp 75; Badge SC; AmeriCop 40 DF; Badge X2,,,
Algal spot,6,KOP-5; ALONGLIFE™; LPI Chesson Fungicide; Phyton-016-B; Funguran Progress,,,
All Listed Pests,3,Mycotrol® ES,,,
All listed pests,44,BotaniGard 22WP,,,
All listed stone fruit diseases (Alone),1,Scala Brand SC Fungicide,,,
All listed stone fruit diseases (tank mix),1,Scala Brand SC Fungicide,,,
Allantophomopsis cytisporea,5,Phobos FC; Proline 480 SC Fungicide; Propulse; Prothioconazole + Azoxystrobin; VIBEPRO PTZ SC,,,
Allantophomopsis lycopodina,5,Phobos FC; Proline 480 SC Fungicide; Propulse; Prothioconazole + Azoxystrobin; VIBEPRO PTZ SC,,,
Almond Hull Rot,1,BioLink Fungicide PLUS,,,
Almond Leaf Rust,2,Companion® Maxx Liquid Biological Fungicide,,,
Almond Mite,14,Cosavet DF; LIFESUL 80 DF; Helena 90% Sulfur Dust; Micro Suit® Micronized Wettable Sulfur; Helena Wettable Sulphur,,,
Almond Mites,3,Defend DF; Sulphur W.G.; CUPROQUIM SUPER-SUL MICRONIZED WETTABLE SULFUR WDG,,,
Almond Moth,3,EVERGREEN Crop Protection EC 60-6; VAPORPH3OS® Phosphine Fumigant,,,
Almond Moths,16,MULTICIDE Pressurized Spray 2594; MGK AgriPest Cropfume P-H with Pyrethrins/PBO; Entech Fog-10 Space Spray; AeroTech® with NyGuard® IGR; CT-55 Dairy Aerosol,,,
Almond Pruning Wound Canker,1,PHOSTROL Agricultural Fungicide,,,
Almond Pruning-Wound Canker,1,Legion 80 WDG,,,
Almond Pruning-Wound Cankers (Phytophthora syringae),3,OxiPhos,,,
Almond Scab,4,Iprodione 2F Fungicide; Companion® Maxx Liquid Biological Fungicide; Iprodione 4F Fungicide,,,
Almond Tree Borers,1,Danitol 2.4 EC Spray,,,
Almond blossom and leaf diseases,1,AX TM-540,,,
Almond mite,5,Sulfur Dual Spraying 90 WP; THAT® Flowable Sulfur; Sulfur 6L,,,
Almond mites,2,Drexel Sulfa 80W,,,
Almond moth,8,HERCON® DISRUPT® IMM HA MATING DISRUPTANT; Metabrom 100; SPM-MD; Cidetrak IMM,,,
Almond moths,2,TURBOCIDE GOLD WITH PYROCIDE,,,
Almond pruning wound canker,1,Topaz 5 Systemic Fungicide,,,
Almond pruning-wound canker,2,Aliette WDG Fungicide; Linebacker WDG Fungicide,,,
Almond scab,3,Theia Fungicide,,,
Altemaria leaf blight,6,Dovetail,,,
Altenaria Leaf Blight,3,IPRODIONE 50WP T&O,,,
Alter bloom period/control bloom,4,Foliar TRIGGRR,,,
Alternana rot and surface mold,4,Scholar® Fungicide,,,
Alternaria,102,AG Copp 75; ADAMENT 50 WG Fungicide; A295.01; AmeriCop 40 DF; Agro-K Copper Lite Plus,,,
Alternaria (black rot,1,Carb-O-Nator,,,
Alternaria (blossom end rot,1,Carb-O-Nator,,,
Alternaria (canker,1,Carb-O-Nator,,,
Alternaria (early blight,1,Carb-O-Nator,,,
Alternaria (early blight),1,Carb-O-Nator,,,
Alternaria (fruit rot),3,Carb-O-Nator,,,
Alternaria (fruit spot),1,Carb-O-Nator,,,
Alternaria (gray leaf spot,1,Carb-O-Nator,,,
Alternaria (leaf blight,1,Carb-O-Nator,,,
Alternaria (leaf spot,2,Carb-O-Nator,,,
Alternaria (nut mold),1,Carb-O-Nator,,,
Alternaria Blight,23,Azoxystrobin 2.08 lb SC; Abound Flowable Fungicide; Azoxystrobin 22.9% SC; AZteroid FC 3.3; A225.13,,,
Alternaria Blotch,50,Avalaire Cyprodinil + Difenoconazole; A253.08; ARMOUR-Zen 15%; Armour-Zen; A253.05 [Vango ESQ],,,
Alternaria Brown Rot,1,Biorend Cu,,,
Alternaria Brown Spot,36,BACIX; ARMOUR-Zen 15%; Armour-Zen; AmeriCop 40 DF; Badge X2,,,
Alternaria Brown Spot (Suppression),1,HIDRO CUP,,,
Alternaria Diseases,26,Alibi Flora™; A253.04; A253.08; A253.09; A253.05 [Vango ESQ],,,
Alternaria Fruit Rot,123,A225.09; A19649 Crop; A20560 Crop Fungicide; A230.03; A21461 Crop,,,
Alternaria Fruit Rot (Black Mold),3,CPI Chlorothalonil Multipurpose Fungicide; EQUUS DF; CP Multi-Purpose Fungicide Ready-To-Use,,,
Alternaria Fruit Rot or Black Mold,1,Bonide Fung-onil Multi-purpose Fungicide Ready to Use,,,
Alternaria Fruit Rots,3,A225.13; AZteroid FC 3.3,,,
Alternaria Late Blight,37,A225.09; ARMOUR-Zen 15%; BioLink Fungicide PLUS; DISTINGUISH 480 SC FUNGICIDE; Armour-Zen,,,
Alternaria Late Blight/Leaf Spot,11,Milagrum Plus; BACIX; Forticept EP #1,,,
Alternaria Late blight,1,Pegasus 82.5 DF,,,
Alternaria Leaf And Fruit Spot,2,Azoxystrobin H&G Fungicide Concentrate,,,
Alternaria Leaf Blight,81,A253.08; A230.04; A230.03; A253.04; A253.05 [Vango ESQ],,,
Alternaria Leaf Blight (Alternaria zinniae),3,IPRODIONE 2SE TURF,,,
Alternaria Leaf Blight / Black Rot / Black Crown Rot,1,SERENADE ASO,,,
Alternaria Leaf Spot,401,A20259 Crop; A-Zox 25SC; 3 LB. COPPER FLOWABLE FUNGICIDE; A-Zox 50WDG; A225.08,,,
Alternaria Leaf Spot (suppression),19,Magister SC,,,
Alternaria Leaf Spot and Fruit Rot,8,Quash SC Fungicide; METCONAZOLE 50 WDG Fungicide; Azoxy 50WDG Select; A-Zox 50WDG,,,
Alternaria Leaf Spot and Pin Rot,1,A225.13,,,
Alternaria Leaf Spots,3,A225.13; AZteroid FC 3.3,,,
Alternaria Leaf and Fruit Spot,96,A225.09; A19649 Crop; A20560 Crop Fungicide; A-Zox 50WDG; A21461 Crop,,,
Alternaria Leafspot,18,ClearGuard™ Horticultural Spray Oil; JMS STYLET-OIL; PureSpray Green; ARMOUR-Zen 15%; PURESPRAY™ GREEN FORMULA 3,,,
Alternaria Rot,22,A253.07; A253.08; Aprovia Top Fungicide; A253.09; A253.05 [Vango ESQ],,,
Alternaria Rot (Alternaria citri),2,PHC 25279,,,
Alternaria Spot,17,Drexel Zoxy-Zole Fungicide; Liberty AzoxyProp; SHARDA AZOXY 11% + TEB 18.35% SC; Mildore™ Max; Azoxy + Propi SE,,,
Alternaria Spot / Fruit Rot,8,Zorda WG Biological Fungicide; SERENADE ASO,,,
Alternaria Spot and Fruit Rot,176,A225.09; A-Zox 50WDG; A225.13; A225.08; A253.05 [Vango ESQ],,,
Alternaria Spot/Fruit Rot,43,Forticept EP #1; BACIX; ARMOUR-Zen 15%; Armour-Zen; Forticept EP #3,,,
Alternaria alternata,6,Cabrio Team; Mentor EC; Endorse Water Dispersible Granules,,,
Alternaria alternate,1,ENV503 Biofungicide Wettable Powder,,,
Alternaria blight,18,Bonide FT09; Dexter Max Fungicide; Cabrio® EG Fungicide; Dexter XCEL Fungicide; Cueva 2.4 Copper Soap,,,
Alternaria blights and leaf spots,8,Vertisan; Treoris; DuPont™ Aproach®; Fontelis,,,
Alternaria blotch,47,A20259 Crop; A253.01; Aprovia Fungicide; A228.03; A19649 Crop,,,
Alternaria blotch and rot,2,FLU+DFO,,,
Alternaria brown Spot,1,Zorda WG Biological Fungicide,,,
Alternaria brown rot,1,KOP-5,,,
Alternaria brown spot,24,ENDORSE Water Dispersible Granules; Endura Pro fungicide; Endura Fungicide; Cevya Fungicide; Cueva 2.4 Copper Soap,,,
Alternaria citri,3,Fungaflor 750 WSP; Lenvyor Fungicide,,,
Alternaria diseases,9,A253.01; A253.07; Inspire; Avalaire Difenoconazole EC; A253.03,,,
Alternaria diseases (Alternaria spp.),1,Revus Top,,,
Alternaria early blight,1,Fontelis,,,
Alternaria early blight and brown spot,2,Vertisan; Treoris,,,
Alternaria fruit rot,111,A253.01; A230.04; A254.02; A20560 Crop Fungicide; A19649 Crop,,,
Alternaria fruit rot (Alternaria tenuissima),1,MAXIPHITE Fungicide,,,
Alternaria fruit rot (black mold),5,ECHO® HOME GARDEN Fungicide; Echo 90DF; Applause DF Fungicide; Echo Lite; Bravo Zn,,,
Alternaria fruit rot and leaf spot,6,BC18-WG,,,
Alternaria fruit spot,2,Quadris Top Fungicide; Chlorothalonil 900,,,
Alternaria late blight,26,Imbrex Xemium Fungicide Technical; ENDORSE Water Dispersible Granules; Endura Fungicide; Chlorothalonil 6; Luna Experience,,,
Alternaria late blight (suppression),3,Merivon Xemium Brand Fungicide,,,
Alternaria leaf,1,HMO-1601 Fungicide,,,
Alternaria leaf and Fruit spot,1,STK-73,,,
Alternaria leaf and fruit spot,23,A20259 Crop; A253.07; A253.01; A225.05; Avalaire Difenoconazole EC,,,
Alternaria leaf blight,111,A20259 Crop; A230.04; 26/36 Fungicide; A20560 Crop Fungicide; A19649 Crop,,,
Alternaria leaf blight (A. cucumerina),1,Revus Top,,,
Alternaria leaf blight and leaf spot,1,LIBERTY PYRAC-TRZ,,,
Alternaria leaf spot,405,A20259 Crop; A225.05; A230.04; A19649 Crop; A20560 Crop Fungicide,,,
Alternaria leaf spot (A. alternata),1,Revus Top,,,
Alternaria leaf spot and blight,9,Treoris; DuPont™ Aproach®; Fontelis; Endura Pro fungicide,,,
Alternaria leaf spot and fruit rot,47,FLU+DFO; A225.05; Endura Pro fungicide; Cabrio® EG Fungicide; Cevya Fungicide,,,
Alternaria leaf spots,4,Vertisan; Fontelis,,,
Alternaria leafspot,24,A20259 Crop; A253.01; A253.10; A20560 Crop Fungicide; A253.02,,,
Alternaria root rot,6,Timorex Gold,,,
Alternaria rot,71,A20259 Crop; A23089 Fungicide; A253.01; A19649 Crop; A20560 Crop Fungicide,,,
Alternaria rot (A. alternata),1,Revus Top,,,
Alternaria rot and spot,2,ENDORSE Water Dispersible Granules,,,
Alternaria rot and surface mold,8,Scholar RTU; Shield-Brite FDL 230SC; Sharda Fludioxonil 20.4% SC,,,
Alternaria solani,2,ROMEO,,,
Alternaria species diseases,3,IPRODIONE 50EG T&O,,,
Alternaria spot,7,A253.01; Serifel Biofungicide,,,
Alternaria spot and Fruit rot,11,NUP-08099; Helmstar Fungicide; A253.02,,,
Alternaria spot and fruit rot,70,A20259 Crop; A225.05; A19649 Crop; A225.11; A21461 Crop,,,
Alternaria spot and fruit rot (Alternaria alternata),3,HELMSTAR PLUS SC,,,
Alternaria spot/fruit rot,9,Theia Fungicide; BC18-WG; TS601®,,,
Alternaria spp.,59,CALIRUS 150; Fungi-Phite; ENV503 Biofungicide Wettable Powder; Integral; CH2970/CH3000,,,
Alternaria stem canker,4,ENDORSE Water Dispersible Granules; STK-20 (Regev),,,
Amaranth,88,AX FOMESAFEN 2 SL; A308.10; Avalaire Fomesafen 1.88 SL; A308.04; A383.03,,,
Amaranth Palmer,2,Sulfentrazone 4SC Select ABN: Sulfentrazone 4SC Prime; Shafen Star,,,
Amaranthus blitoides,1,F6285 4F CAL Herbicide,,,
Amaranthus dubius,8,F6285 4F CAL Herbicide,,,
Amaranthus hybridus,12,F6285 4F CAL Herbicide,,,
Amaranthus lividus,8,F6285 4F CAL Herbicide,,,
Amaranthus palmeri,9,F6285 4F CAL Herbicide,,,
Amaranthus powellii,5,F6285 4F CAL Herbicide,,,
Amaranthus retroflexus,13,F6285 4F CAL Herbicide,,,
Amaranthus rudis,13,F6285 4F CAL Herbicide,,,
Amaranthus spinosus,8,F6285 4F CAL Herbicide,,,
Amaranthus tuberculatus,10,F6285 4F CAL Herbicide,,,
Ambrosia Beetles,1,BOXERTM Insecticide-Miticide,,,
Ambrosia beetles,1,CROPCOAT CX1098,,,
American,10,F7127 SE HERBICIDE,,,
American Plum Borer,282,A198.01; A198.03; A115.04; A115.02; Actylis Lambda-Cy Insecticide,,,
American Plum Borers,8,Chemsico Insecticide Concentrate 22L; Sharda Lambda-Cyhalothrin 120 EC,,,
American Shuckworm,2,Bonide® RTU Vegetable & Ornamental Insect Spray,,,
American black,13,Willowood OxyFlo 2EC; BLASTWAVE 480 SC; BCP258H_3 HERBICIDE,,,
American burnweed,5,FreeHand 1.75G Herbicide,,,
American plum borer,68,CHA 1525-03; Baythroid XL; AZ Lambda 2ME; A177.04; Baythroid 2 Emulsifiable Pyrethroid Insecticide,,,
Amorbia,20,BioproTeK; Bioprotec PLUS; Crymax WP; Condor XL; Condor WP,,,
Amorbia (Western Avocado Leafroller),1,Danitol 2.4 EC Spray,,,
Ampelamus albidus,8,F6285 4F CAL Herbicide,,,
Anastrepha spp.,2,Metabrom 100,,,
Angoumois (Brain Moths),2,Premium Dairy Aerosol,,,
Angoumois Grain Moth,2,EVERGREEN Crop Protection EC 60-6,,,
Angoumois Grain Moths,38,A.C. Southern Spray-Tox Insecticide; ENTECH FOG-3; MGK AgriPest Cropfume P-H with Pyrethrins/PBO; Entech Fog-10 Space Spray; PRENTOX® FOG and MILL SPRAY,,,
Angoumois Moths,1,CT-55 Dairy Aerosol,,,
Angoumois grain moths,2,DY-FLY Dairy Aerosol,,,
Angular Leaf Spot,144,A253.08; 3 LB. COPPER FLOWABLE FUNGICIDE; A253.09; A253.05 [Vango ESQ]; Actigard 50WG Plant Activator,,,
Angular Leaf Spot (Xanthomonas),3,ChampION++ Fungicide/Bactericide; NutriBP017; Kocide 2000,,,
Angular Leaf Spots,1,Lilly Miller KOP-R-SPRAY Concentrate,,,
Angular leaf spot,81,A20259 Crop; A23089 Fungicide; A19649 Crop; A20560 Crop Fungicide; A253.03,,,
Angular leaf spot (Mycosphearella angulata),1,Revus Top,,,
Angular leafspot,3,Inspire; A253.01; Avalaire Difenoconazole EC,,,
Annual,34,Galigan® H2O; A229.02; LIBERTY CLOP; GCS Clopy 360SL; IMAZETHAPYR 240 SL,,,
Annual (Poa annua),8,Prodiamine Pro F 0.20% Herbicide,,,
Annual Bluegrass,1,PRE-SAN 7G,,,
Annual Bluegrass Weevil (adult),4,Ortho ZBP Granules,,,
Annual Broadleaf Weeds,142,Devrinol 3.75 SC Selective Herbicide; Axill Solutions Mesotrione 4SC; DEVRINOL 10-G; ECO-GUARDIAN WEED KILLER; DEVRINOL 2-EC,,,
Annual Broadleaf weeds,29,Drexel Me-Too-Lachlor MTZ; DREXEL SIMAZINE 4L,,,
Annual Broadleaves,5,Avalaire S-Moc + MTZ; Lebanon Green Gold Garden Weed Preventer,,,
Annual Grasses,223,Avalaire S-Moc + MTZ; Devrinol 3.75 SC Selective Herbicide; DEVRINOL 10-G; ARY 0411-004 HERBICIDE; DEVRINOL 2-EC,,,
Annual Sedges,1,Specticle 20WSP Herbicide,,,
Annual Smartweed,1,"2,4-D Granules",,,
Annual Sowthistle,11,Avalaire Clopyralid 3 SL; GCS Clopy 360SL,,,
Annual Sowthistle (suppression),1,Avalaire Clopyralid 3 SL,,,
Annual Weeds,59,GlySupreme 75-WDG; DuPont ABUNDIT Edge herbicide; EH-1394 Herbicide; Morale 80 WDG,,,
Annual Weeds and Grasses,54,Bonide KU GR Concentrate,,,
Annual and Biennial Weeds,5,"Amine 4 2,4-D Weed Killer; IPA-4",,,
Annual and Perennial Grass Weeds,7,ORNAMEC,,,
Annual and Perennial Grasses,24,CLETHODIM 2EC Herbicide; LPI Clethodim,,,
Annual and Perennial Grasses and Herbaceous Weeds,9,Diuron 4L Herbicide,,,
Annual and Perennial Weeds,43,RT4790 Herbicide; ClearOut Prompt,,,
Annual and biennial broadleaf weeds,12,"Liberty 2,4-D Amine 4; NFA-0020110; Challenger; 2,4-D DMA-DEA LDV; Tenkoz Amine 4 Herbicide",,,
Annual and biennial grass and broadleaf weeds,1,Norosac® 4G Dichlobenil Herbicide,,,
Annual and biennial weeds,19,"DMA4; Drexel D-Amine 4; 2,4-D/Amine 4",,,
Annual and perennial broadleaf and grass weeds,80,LPI.A040; EMERION™ 5 RTU,,,
Annual and perennial broadleaf weeds,1,Avalaire Fluroxypyr EC,,,
Annual and perennial grass and broadleaf weeds,74,AgLogic 280 SL Glufosinate Herbicide; GFA 280 Herbicide; A357.03; Casoron CS; A357.02,,,
Annual and perennial grass weeds,37,Fusilade DX Herbicide; Sharda Fluazifop-P-butyl 24.5% EC II; A382.05,,,
Annual and perennial grasses,154,Clefandim 360 EC; EPTC 7 EC Herbicide; AGRISEL GRASSOUT MAX HERBICIDE; EPTAM 7E; AGH19012,,,
Annual and perennial grasses and herbaceous weeds,36,Diuron 4L; Alligare Diuron 80DF; Liberty Diuron 80DF; Diuron 80DF; Liberty Diuron 4SC,,,
Annual and perennial weeds,559,Casoron 4G; Alligare Diuron 80DF; AFG PLUS; Buccaneer Plus Glyphosate Herbicide; Credit,,,
Annual bluegrass,32,BIATHLON; Gly-4 Herbicide; FreeHand 1.75G Herbicide; Rim 25 Herbicide,,,
Annual broadleaf and grass weeds,84,Oxon Italia Sim-Trol 4L Simazine Flowable Herbicide; Princep® 4L; SIMAZINE 4L; Firehawk Bioherbicide Concentrate; Princep Caliber 90 Herbicide,,,
Annual broadleaf and grassy weeds,18,FLUMIOXAZIN 0.125% + FERTILIZER; V-53482 0.17G,,,
Annual broadleaf weeds,303,"A313.02 (Stark Ultra); AquaNeat Herbicide; 2,4-D Amine 4; 2,4-D AMINE 4; 2,4-D AMINE 6",,,
Annual broadleaf weeds (suppression),1,LPI.A040,,,
Annual broadleaves,1,Gly-4 Herbicide,,,
Annual grass,24,NUP-18013,,,
Annual grass and broadleaf weeds,27,Cornerstone; BroadStar Herbicide; NNH-950-4 Herbicide,,,
Annual grass species,5,EH 951 Grass Herbicide,,,
Annual grass weeds,131,AG36448-B 2 EC Herbicide; Crab-Buster™ 2 FG; Brake; Diuron 80DF; Clethodim 2 EC Herbicide,,,
Annual grasses,1510,ACETO TRIFLURAN 4 EC HERBICIDE; A335.11; A379.01; Aceto Trifluralin EC Herbicide; ALBAUGH TRIFLURALIN 10G,,,
Annual grasses and broadleaf weeds,52,GCS Metola Plus 8EC; LPI.A022; Alion Complete Herbicide; Dithiopyr 0.1% Plus Fertilizer; OX G HERBICIDE,,,
Annual grasses and certain broadleaf weeds,38,LPI.A022; AX M-CHLOR C; PIN-DEE 3.3 EC; HELMET; Omni Brand Pendimethalin 3.3 EC,,,
Annual grasses and herbaceous weeds,8,Liberty Diuron 4SC,,,
Annual grasses and sedges,12,MOCCASIN MTZ Herbicide,,,
Annual grasses and small-seeded broadleaf weeds,5,A335.02,,,
Annual grassy and broadleaf weeds and certain perennial weeds,5,Lilly Miller Casoron Granules,,,
Annual grassy weeds,4,Sharda Diuron 80% WDG; Quali-Pro Oxadiazon SC,,,
Annual sedge,5,FreeHand 1.75G Herbicide,,,
Annual sedges,18,Specticle FLO; INDAZIFLAM G; INDAZIFLAM 74SC; A307.02; MARENGO,,,
Annual sowthistle,24,Spin-Aid Herbicide; CLOPYR AG; A339.01; LIBERTY CLOP; Clopyralid,,,
Annual sowthistle (suppression),1,LIBERTY CLOP,,,
Annual spurge,15,Gly-4 Herbicide; FreeHand 1.75G Herbicide,,,
Annual weeds,1420,1386 Residential Herbicide; AgSaver Glyphosate 41% Plus; ALENZA GLYPHOSATE PLUS; Alligare Diuron 4L; AGSAVER GLYPHOSATE 53.8%,,,
Annual weeds and grasses,28,Bonide KU GR RTU; Glyfos Concentrate 41% Weed & Grass Killer; Carpetmaker X-X-X with 1% Ronstar Herbicide; Glyfos Concentrate 27% Weed & Grass Killer,,,
Annual weeds and perennial grasses,1,Tide Diuron 80WDG,,,
Anoda,34,AX FOMESAFEN 2 SL; Biscayne Herbicide; Avalaire Fomesafen 1.88 SL; A383.03; A335.05,,,
Anoda cristata,8,F6285 4F CAL Herbicide,,,
Ant species,7,Endigo® ZC; Kilter Insecticide; Endigo® ZCX,,,
Anthemis cotula,8,F6285 4F CAL Herbicide,,,
Anthracnose,3169,3 LB. COPPER FLOWABLE FUNGICIDE; 26/36 Fungicide; 3336 EG; 3336 70EG; 3336 F,,,
Anthracnose (Colletotrichum acutatum),10,PHC 25279,,,
Anthracnose (Colletotrichum dematium and Microdochium panattonianum),2,PHC 25279,,,
Anthracnose (Colletotrichum gloeosporioides),8,PHC 25279,,,
Anthracnose (Colletotrichum higginsianum),1,Revus Top,,,
Anthracnose (Colletotrichum orbiculare,2,PHC 25279,,,
Anthracnose (Colletotrichum orbiculare),1,Revus Top,,,
Anthracnose (Colletotrichum prunicola,3,HELMSTAR PLUS SC,,,
Anthracnose (Colletotrichum spp.),3,EQUUS DF; Revus Top,,,
Anthracnose (Colletotrichum truncatum),4,PHC 25279,,,
Anthracnose (Colletotrichum),1,Quali-Pro™ 4.5,,,
Anthracnose (Elsinoe ampelina),1,Revus Top,,,
Anthracnose (Elsinoe spp.),1,Avalaire Myclobutanil 40 WSP,,,
Anthracnose (Glomerella cingulata),1,HELMSTAR PLUS SC,,,
Anthracnose (Gnomonia leptostyla),2,Propiconazole Fungicide; Bumper 14.3 EC,,,
Anthracnose (Ripe rot),1,Chlorothalonil 720,,,
Anthracnose (ripe rot),10,AX FLUAZINAM; Bravo 825 Agricultural Fungicide; A228.03; Chlorothalonil 720 Select; Bravo Zn,,,
Anthracnose (suppression),2,A23089 Fungicide,,,
Anthracnose Blossom Blight/Brown Rot,1,EQUUS DF,,,
