Simplified_Target,Target_Type,Total_Count,Original_Targets
Sedges,Weed,210,Sedges
Green fruitworm,Insect,209,Green fruitworm
Navel orangeworm,Insect,207,Navel orangeworm
Adelgids,Other,207,Adelgids
Purslane,Weed,206,Purslane
Cherry Fruitworm,Insect,206,Cherry Fruitworm
Squash Bug,Insect,205,Squash Bug
Wireworm,Insect,203,Wireworm
Botrytis gray mold,Disease,201,Botrytis gray mold
Mustard,Other,196,Mustard
Sowbugs,Insect,195,Sowbugs
Plant Bug spp.,Insect,194,Plant Bug spp.
Rose chafer,Other,194,Rose chafer
Bacterial canker,Disease,192,Bacterial canker
Potato psyllid,Other,188,Potato psyllid
Mummy berry,Other,186,Mummy berry
Tomato fruitworm,Insect,185,Tomato fruitworm
Insects,Other,184,Insects
Black Scale,Insect,183,Black Scale
Lace bugs,Insect,181,Lace bugs
Pecan Spittlebug,Insect,181,Pecan Spittlebug
Tobacco budworm,Insect,181,Tobacco budworm
Fungal diseases,Disease,181,Fungal diseases
Apple Maggot (Adult),Insect,179,Apple Maggot (Adult)
Common,Other,177,Common
Fireworms,Insect,177,Fireworms
Grubs,Insect,176,Grubs
Lesser Appleworm,Insect,176,Lesser Appleworm
Hickory shuckworm,Insect,176,Hickory shuckworm
Cylindrocladium,Other,176,Cylindrocladium
Imported cabbageworm,Insect,175,Imported cabbageworm
Bagworms,Insect,174,Bagworms
Lecanium Scale,Insect,174,Lecanium Scale
Meadow Spittlebug,Insect,174,Meadow Spittlebug
Bacterial Blast,Disease,173,Bacterial Blast
Foxtail,Weed,173,Foxtail
Rootworms,Insect,171,Rootworms
Thielaviopsis,Other,170,Thielaviopsis
Fruit Flies,Other,170,Fruit Flies
Nutsedge,Weed,169,Nutsedge
Chinch Bug,Insect,169,Chinch Bug
Phomopsis,Other,169,Phomopsis
Spanworm,Insect,167,Spanworm
Blue mold,Disease,166,Blue mold
Leaf curl,Other,165,Leaf curl
redroot,Other,165,redroot
Leaffooted Bug,Insect,164,Leaffooted Bug
Blueberry Maggot,Insect,163,Blueberry Maggot
Velvetleaf,Other,160,Velvetleaf
Verticillium spp.,Other,158,Verticillium spp.
Leaf Curl,Other,157,Leaf Curl
Pepper weevil,Insect,155,Pepper weevil
Waterhemp,Other,154,Waterhemp
Lace Bugs,Insect,154,Lace Bugs
Potato Psyllid,Other,153,Potato Psyllid
Tomato Hornworm,Insect,151,Tomato Hornworm
Squash Vine Borer,Insect,150,Squash Vine Borer
Cocklebur,Other,147,Cocklebur
Asian citrus psyllid,Other,145,Asian citrus psyllid
Cankerworms,Insect,145,Cankerworms
Silverfish,Other,143,Silverfish
Pecan nut casebearer,Other,143,Pecan nut casebearer
Filaree,Other,142,Filaree
Scale,Insect,141,Scale
Lygus Bug,Insect,141,Lygus Bug
Bacterial Speck,Disease,140,Bacterial Speck
Melanose,Other,139,Melanose
Brown Apricot Scale,Insect,139,Brown Apricot Scale
Apple maggot,Insect,138,Apple maggot
Spiders,Insect,138,Spiders
Kochia,Other,138,Kochia
Italian Pear Scale,Insect,138,Italian Pear Scale
Rindworm,Insect,137,Rindworm
Galinsoga,Other,137,Galinsoga
Thistle,Weed,136,Thistle
Root-knot nematode,Other,136,Root-knot nematode
Leaftiers,Other,136,Leaftiers
Sooty Blotch,Other,135,Sooty Blotch
Birds,Vertebrate,134,"Birds, Birdsrape Mustard, Birdsrape mustard..."
True Bugs,Insect,133,True Bugs
Katydids,Other,132,Katydids
Squash Bugs,Insect,132,Squash Bugs
wild,Other,131,wild
Pecan Leaf Casebearer,Other,131,Pecan Leaf Casebearer
Henbit,Other,129,Henbit
Millipedes,Other,129,Millipedes
Black Mold,Disease,128,Black Mold
Mummy Berry,Other,127,Mummy Berry
Stalk Borer,Insect,126,Stalk Borer
Purple Blotch,Other,126,Purple Blotch
Tomato hornworm,Insect,124,Tomato hornworm
Grasshopper species,Insect,124,Grasshopper species
Filbert Worm,Insect,123,Filbert Worm
Botryosphaeria Canker,Disease,123,Botryosphaeria Canker
Plant growth regulation,Insect,122,Plant growth regulation
Pecan Phylloxera,Other,121,Pecan Phylloxera
Tufted Apple Budworm,Insect,118,Tufted Apple Budworm
Oleander Scale,Insect,118,Oleander Scale
Damping-off,Other,117,Damping-off
Fall webworm,Insect,117,Fall webworm
Pillbugs,Insect,117,Pillbugs
Cherry fruitworm,Insect,116,Cherry fruitworm
Phylloxera,Other,115,Phylloxera
Imported Fire Ant,Insect,114,Imported Fire Ant
Orange tortrix,Other,113,Orange tortrix
yellow,Other,112,yellow
Root Weevils,Insect,112,Root Weevils
Alfalfa Looper,Other,111,Alfalfa Looper
Grasshopper spp.,Insect,111,Grasshopper spp.
Glassywinged Sharpshooter,Other,109,Glassywinged Sharpshooter
Pythium damping-off,Other,108,Pythium damping-off
Red Imported Fire Ant,Insect,108,Red Imported Fire Ant
Pavement Ant,Insect,108,Pavement Ant
Southern (California) Fire Ant,Insect,108,Southern (California) Fire Ant
Native Fire Ant,Insect,108,Native Fire Ant
Insect pests,Other,108,Insect pests
tall,Other,108,tall
ivyleaf,Other,107,ivyleaf
Plant parasitic nematodes,Insect,107,Plant parasitic nematodes
Webworm species,Insect,107,Webworm species
Blueberry maggot,Insect,106,Blueberry maggot
Parlatoria Scale,Insect,105,Parlatoria Scale
Soil-borne diseases,Disease,104,Soil-borne diseases
Harlequin Bug,Insect,104,Harlequin Bug
Alternaria,Other,102,Alternaria
Tomato Psyllid,Other,102,Tomato Psyllid
Potato Tuberworm,Insect,101,Potato Tuberworm
Sooty blotch,Other,101,Sooty blotch
Black dot,Other,101,Black dot
Stinkbugs,Insect,100,Stinkbugs
Damping off,Other,100,Damping off
Midges,Insect,98,Midges
Non-biting midges,Insect,97,Non-biting midges
Pennsylvania,Other,97,Pennsylvania
Lesser Peach Tree Borer,Insect,97,Lesser Peach Tree Borer
Peachtree Borer species,Insect,97,Peachtree Borer species
Cabbage Loopers,Other,96,Cabbage Loopers
Vinegar Flies,Other,96,Vinegar Flies
Green Cloverworm,Insect,96,Green Cloverworm
Blackberry,Other,95,Blackberry
Stink bug spp.,Insect,95,Stink bug spp.
Black mold,Disease,95,Black mold
Dandelion,Weed,95,Dandelion
smooth,Other,94,smooth
Fungus Gnats,Insect,94,Fungus Gnats
Fruitworms,Insect,94,Fruitworms
Cottonball,Other,93,Cottonball
Lesion nematode,Disease,93,Lesion nematode
Harlequin Bugs,Insect,93,Harlequin Bugs
Lacebugs,Insect,93,Lacebugs
annual,Other,92,annual
Botrytis cinerea,Other,92,Botrytis cinerea
White Mold,Disease,92,White Mold
Cabbage loopers,Other,91,Cabbage loopers
Anthracnose Fruit Rot,Insect,91,Anthracnose Fruit Rot
Green fruitworms,Insect,91,Green fruitworms
Gray Leaf Mold,Disease,90,Gray Leaf Mold
Gnats,Insect,90,Gnats
Melonworms,Insect,90,Melonworms
Soilborne fungal diseases,Disease,89,Soilborne fungal diseases
Olive Scale,Insect,89,Olive Scale
Shepherdspurse,Other,88,Shepherdspurse
Amaranth,Insect,88,Amaranth
black,Other,88,black
Eastern black,Other,87,Eastern black
Peachtree Borer spp.,Insect,87,Peachtree Borer spp.
tephritid fruit flies,Other,86,tephritid fruit flies
Leaffooted Bugs,Insect,85,Leaffooted Bugs
Rhizoctonia solani,Other,85,Rhizoctonia solani
Spurge,Other,85,Spurge
Black flies,Other,85,Black flies
Chinch bugs,Insect,85,Chinch bugs
Fire Ants,Insect,85,Fire Ants
Plant growth regulator,Insect,84,Plant growth regulator
Sharpshooters,Other,83,Sharpshooters
Skippers,Other,83,Skippers
Lygus bugs,Insect,82,Lygus bugs
Russian,Other,82,Russian
Cockroaches,Other,82,Cockroaches
Katydid,Other,82,Katydid
Sanitization,Other,81,Sanitization
Biting midges,Insect,81,Biting midges
White Grubs,Insect,81,White Grubs
Yellow nutsedge,Weed,80,Yellow nutsedge
Cabbage Webworm,Insect,79,Cabbage Webworm
Blueberry Gall Midge,Insect,79,Blueberry Gall Midge
Tobacco Hornworm,Insect,78,Tobacco Hornworm
Brown Soft Scale,Insect,78,Brown Soft Scale
White mold,Disease,78,White mold
Ladysthumb,Other,78,Ladysthumb
Cabbageworms,Insect,77,Cabbageworms
cabbage looper,Other,76,cabbage looper
hairy,Other,76,hairy
Botrytis spp.,Other,76,Botrytis spp.
peach twig borer,Insect,76,peach twig borer
Cranberry fruitworm,Insect,76,Cranberry fruitworm
harvester ants,Insect,75,harvester ants
Root Knot Nematode,Other,75,Root Knot Nematode
Sowthistle,Weed,75,Sowthistle
Asian Citrus Psyllid,Other,75,Asian Citrus Psyllid
Plantbugs,Insect,74,Plantbugs
Hornworm,Insect,74,Hornworm
Maggots,Insect,74,Maggots
Listed insect pests,Other,74,Listed insect pests
Looper,Other,73,Looper
Lesser appleworm,Insect,73,Lesser appleworm
Tarnished Plant Bugs,Insect,73,Tarnished Plant Bugs
Budworm,Insect,72,Budworm
Ring nematode,Other,72,Ring nematode
Pecan Leaf Phylloxera,Other,72,Pecan Leaf Phylloxera
Frosted Scale,Insect,72,Frosted Scale
Lygus bug,Insect,72,Lygus bug
Black Dot,Other,72,Black Dot
Corn earworms,Insect,72,Corn earworms
Corn Earworms,Insect,72,Corn Earworms
Xanthomonas campestris,Insect,71,Xanthomonas campestris
Pea Weevil,Insect,71,Pea Weevil
Alfalfa looper,Other,70,Alfalfa looper
Puncturevine,Other,70,Puncturevine
Vegetable Weevil,Insect,70,Vegetable Weevil
Lygus,Other,70,Lygus
Vegetable Weevil (Adult),Insect,70,Vegetable Weevil (Adult)
Groundsel,Other,70,Groundsel
Corn Rootworms,Insect,69,Corn Rootworms
Spittlebug,Insect,69,Spittlebug
Fruit flies,Other,69,Fruit flies
Cicadas,Other,69,Cicadas
Tomato hornworms,Insect,68,Tomato hornworms
Brown Marmorated Stink Bug,Insect,68,Brown Marmorated Stink Bug
Foliar diseases,Disease,68,Foliar diseases
Pecan weevil,Insect,68,Pecan weevil
American plum borer,Insect,68,American plum borer
Peach Tree Borer,Insect,68,Peach Tree Borer
Southern Cabbageworm,Insect,68,Southern Cabbageworm
Canada thistle,Weed,68,Canada thistle
Verticillium,Other,68,Verticillium
Corn Borers,Insect,67,Corn Borers
Foliar Diseases,Disease,67,Foliar Diseases
Symphylids,Other,67,Symphylids
Strawberry Rootworm,Insect,67,Strawberry Rootworm
Mummyberry,Other,67,Mummyberry
Corn borers,Insect,67,Corn borers
broadleaf,Weed,66,broadleaf
Meadow spittlebug,Insect,66,Meadow spittlebug
Monilinia spp.,Other,66,Monilinia spp.
Common purslane,Weed,66,Common purslane
Spanworms,Insect,66,Spanworms
Pickleworms,Insect,65,Pickleworms
Pavement Ants,Insect,65,Pavement Ants
Pecan spittlebug,Insect,65,Pecan spittlebug
Chinch Bugs,Insect,65,Chinch Bugs
Lesser peach tree borer,Insect,65,Lesser peach tree borer
Gray Mold (Botrytis cinerea),Disease,64,Gray Mold (Botrytis cinerea)
Woody brush,Weed,64,Woody brush
Scald,Other,64,Scald
Bigheaded Ant,Insect,64,Bigheaded Ant
whiteflies,Other,63,whiteflies
European Canker,Disease,63,European Canker
Squash bugs,Insect,63,Squash bugs
Green cloverworm,Insect,63,Green cloverworm
Black Vine Weevil,Insect,62,Black Vine Weevil
Leaf Mold,Disease,62,Leaf Mold
Potato tuberworm,Insect,62,Potato tuberworm
Blue Mold,Disease,62,Blue Mold
slugs,Other,62,slugs
Green Fruit Worm,Insect,62,Green Fruit Worm
loopers,Other,62,loopers
Rindworms,Insect,61,Rindworms
Soybean looper,Other,61,Soybean looper
snails,Other,61,snails
plant bugs,Insect,61,plant bugs
Omnivorous leaftier,Other,60,Omnivorous leaftier
Wild,Other,60,Wild
Pecan stem phylloxera,Other,60,Pecan stem phylloxera
Verticillium wilt,Disease,60,Verticillium wilt
Tarnished plant bugs,Insect,60,Tarnished plant bugs
Fall Webworm,Insect,60,Fall Webworm
Tomato psyllid,Other,60,Tomato psyllid
Toadflax,Other,60,Toadflax
Common groundsel,Other,59,Common groundsel
Alternaria spp.,Other,59,Alternaria spp.
Plant-parasitic nematodes,Insect,59,Plant-parasitic nematodes
Scale Crawlers,Insect,58,Scale Crawlers
Pecan leaf phylloxera,Other,58,Pecan leaf phylloxera
Lygus Bugs,Insect,58,Lygus Bugs
Dagger nematode,Other,58,Dagger nematode
Gray leaf mold,Disease,58,Gray leaf mold
Grapeleaf skeletonizer,Other,58,Grapeleaf skeletonizer
Heliothis sp.,Other,58,Heliothis sp.
Deer,Vertebrate,57,"Black-tailed mule deer, Deer, Deer Mice..."
Grapeleaf Skeletonizer,Other,57,Grapeleaf Skeletonizer
Lesion Nematode,Disease,56,Lesion Nematode
Periodical cicada,Other,56,Periodical cicada
Sparganothis,Other,56,Sparganothis
European Fruit Lecanium Scale,Insect,56,European Fruit Lecanium Scale
giant,Insect,56,giant
Cloverworm,Insect,56,Cloverworm
White grub complex,Insect,56,White grub complex
Webworm spp.,Insect,56,Webworm spp.
Naval Orangeworm,Insect,56,Naval Orangeworm
Sida,Other,56,Sida
European fruit lecanium scale,Insect,55,European fruit lecanium scale
White Grub,Insect,55,White Grub
Leaf Scorch,Other,55,Leaf Scorch
Palmer,Other,54,Palmer
Centipedes,Other,54,Centipedes
Cross-striped Cabbageworm,Insect,54,Cross-striped Cabbageworm
Bacterial speck,Disease,54,Bacterial speck
Leaf mold,Disease,54,Leaf mold
stink bugs,Insect,54,stink bugs
San Jose Scale (on fruit only),Insect,53,San Jose Scale (on fruit only)
redstem,Other,53,redstem
Southern,Other,53,Southern
Yellow,Other,53,Yellow
Fumitory,Other,53,Fumitory
Yellow foxtail,Weed,53,Yellow foxtail
damping-off,Other,53,damping-off
Blackflies,Other,53,Blackflies
Western grapeleaf skeletonizer,Other,53,Western grapeleaf skeletonizer
Monilinia,Other,53,Monilinia
Looper spp.,Other,52,Looper spp.
Plant Bugs (Lygus),Insect,51,Plant Bugs (Lygus)
green fruitworm,Insect,51,green fruitworm
Diaprepes Root Weevil,Insect,51,Diaprepes Root Weevil
Fleas,Other,51,Fleas
Pecan Stem Phylloxera,Other,51,Pecan Stem Phylloxera
Vetch,Other,51,Vetch
Mummyberry Disease,Disease,51,Mummyberry Disease
prickly,Other,51,prickly
soilborne plant pathogens and plant root diseases,Insect,51,soilborne plant pathogens and plant root diseases
Fall Webworms,Insect,50,Fall Webworms
Scale Insects,Insect,50,Scale Insects
Pin nematode,Other,50,Pin nematode
Lepidopteran larvae,Insect,50,Lepidopteran larvae
Alternaria Blotch,Other,50,Alternaria Blotch
Cabbage webworm,Insect,50,Cabbage webworm
Mallow,Other,50,Mallow
Cabbageworm,Insect,49,Cabbageworm
Scale crawlers,Insect,49,Scale crawlers
Meadow Vole,Vertebrate,49,Meadow Vole
Giant foxtail,Insect,49,Giant foxtail
Macadamia nut borer,Insect,49,Macadamia nut borer
Cross-striped cabbageworm,Insect,49,Cross-striped cabbageworm
Celery leaftier,Other,49,Celery leaftier
Koa seedworm,Insect,49,Koa seedworm
Cricket species,Other,49,Cricket species
Rocket,Other,48,Rocket
Filbert worm,Insect,48,Filbert worm
red,Other,48,red
Blossom Blast,Other,48,Blossom Blast
Pepper Weevil (Adult),Insect,48,Pepper Weevil (Adult)
Pennycress,Other,48,Pennycress
Fusarium wilt,Disease,48,Fusarium wilt
Botrytis Gray Mold,Disease,47,Botrytis Gray Mold
Ethylene,Other,47,Ethylene
Mealy Bugs,Insect,47,Mealy Bugs
San Jose Scale (Crawlers),Insect,47,San Jose Scale (Crawlers)
Alternaria blotch,Other,47,Alternaria blotch
European fruit lecanium,Other,47,European fruit lecanium
Tentiform Leaf Miner,Insect,47,Tentiform Leaf Miner
Lygus species,Other,47,Lygus species
wireworms,Insect,47,wireworms
Redroot,Other,47,Redroot
Lygus Bug species,Insect,46,Lygus Bug species
fall,Other,46,fall
Webworm,Insect,46,Webworm
Hornworm species,Insect,46,Hornworm species
Pine Vole,Vertebrate,46,Pine Vole
Anthracnose fruit rot,Insect,46,Anthracnose fruit rot
Black scale,Insect,46,Black scale
Oblique Banded Leaf Roller,Insect,46,Oblique Banded Leaf Roller
Raspberry Crown Borer,Insect,45,Raspberry Crown Borer
volunteer,Other,45,volunteer
Tree Borer species,Insect,45,Tree Borer species
Common lambsquarters,Weed,45,Common lambsquarters
Tentiform Leaf Miner species,Insect,45,Tentiform Leaf Miner species
Flea Hopper,Insect,45,Flea Hopper
plum curculio,Other,45,plum curculio
Cherry,Other,45,Cherry
Field crickets,Other,45,Field crickets
Bacterial blast,Disease,45,Bacterial blast
Lesser Peachtree Borer,Insect,45,Lesser Peachtree Borer
Pecan Casebearer spp.,Other,45,Pecan Casebearer spp.
green,Other,45,green
Red imported fire ant (Solenopsis invicta),Insect,44,Red imported fire ant (Solenopsis invicta)
Big Headed Ant,Insect,44,Big Headed Ant
Listed insects,Other,44,Listed insects
Leaf Miners,Insect,44,Leaf Miners
All listed pests,Other,44,All listed pests
Fruit thinning,Other,44,Fruit thinning
Pecan Phylloxera spp.,Other,44,Pecan Phylloxera spp.
Grape leaffolder,Other,44,Grape leaffolder
Diamondback Larvae,Insect,44,Diamondback Larvae
Diseases,Disease,44,Diseases
Macrophomina spp.,Other,43,Macrophomina spp.
Improved Root Growth,Other,43,Improved Root Growth
Imported Cabbageworms,Insect,43,Imported Cabbageworms
Groundcherry,Other,43,Groundcherry
Leaffooted bug,Insect,43,Leaffooted bug
Lettuce,Other,43,Lettuce
Lice,Other,43,Lice
Psylla,Other,43,Psylla
psyllids,Other,43,psyllids
Fall,Other,43,Fall
Red Scale,Insect,43,Red Scale
Voles,Vertebrate,43,Voles
Early Seedling Vigor,Other,43,Early Seedling Vigor
Fire ants,Insect,43,Fire ants
Volunteer wheat,Other,42,Volunteer wheat
Phoma,Other,42,Phoma
Green bugs,Insect,42,Green bugs
Brown Stink Bug,Insect,42,Brown Stink Bug
Weevil Adults,Insect,42,Weevil Adults
Symphylans,Other,42,Symphylans
scale insects,Insect,42,scale insects
Rindworm complex,Insect,42,Rindworm complex
Crane flies,Other,42,Crane flies
Sicklepod,Other,42,Sicklepod
bristly,Other,42,bristly
Panicum,Other,42,Panicum
Lesser Apple Worm,Insect,42,Lesser Apple Worm
Garden webworm,Insect,42,Garden webworm
Mosses,Other,42,Mosses
Plant bug spp.,Insect,42,Plant bug spp.
Sucker management,Other,42,Sucker management
large,Other,41,large
Sparganothis Fruitworm,Insect,41,Sparganothis Fruitworm
Fungus gnats,Insect,41,Fungus gnats
Green Fruitworms,Insect,41,Green Fruitworms
Fleabane,Other,41,Fleabane
Harlequin bugs,Insect,41,Harlequin bugs
cutleaf,Other,41,cutleaf
Black mustard,Other,41,Black mustard
Uniformity/Improved Quality,Other,41,Uniformity/Improved Quality
Peach twig borers,Insect,40,Peach twig borers
Hornworm spp.,Insect,40,Hornworm spp.
Ring Nematode,Other,40,Ring Nematode
Crane Flies,Other,40,Crane Flies
Pecan leaf casebearer,Other,40,Pecan leaf casebearer
Pecan phylloxera,Other,40,Pecan phylloxera
Citrus nematode,Other,40,Citrus nematode
Cranberry Weevil,Insect,40,Cranberry Weevil
Mushroom Flies,Other,40,Mushroom Flies
Cadelles,Other,40,Cadelles
Abiotic stress,Other,40,Abiotic stress
Seedpod Weevil,Insect,40,Seedpod Weevil
Sting nematode,Other,40,Sting nematode
Western Grapeleaf Skeletonizer,Other,40,Western Grapeleaf Skeletonizer
Black Sigatoka,Other,40,Black Sigatoka
Stress Resistance,Other,40,Stress Resistance
Purple Scale,Insect,39,Purple Scale
Southwestern Corn Borer,Insect,39,Southwestern Corn Borer
Cranberry Tipworm,Insect,39,Cranberry Tipworm
Helicoverpa zea,Other,39,Helicoverpa zea
Nitrification,Other,39,Nitrification
spiral,Other,39,spiral
Ring nematodes,Other,39,Ring nematodes
Army Worms,Insect,39,Army Worms
Pea Leaf Weevil,Insect,39,Pea Leaf Weevil
reniform,Other,39,reniform
sheath,Other,39,sheath
lesion,Disease,39,lesion
stunt,Other,39,stunt
pitted,Other,39,pitted
Stunt nematodes,Other,39,Stunt nematodes
ring,Other,39,ring
Lesion nematodes,Disease,39,Lesion nematodes
nematodes,Other,39,nematodes
Eutypa,Other,39,Eutypa
dagger,Other,39,dagger
European Fruit Lecanium,Other,39,European Fruit Lecanium
European Corn Borers,Insect,39,European Corn Borers
citrus,Other,39,citrus
Rosette or Double Blossom,Other,39,Rosette or Double Blossom
root knot,Other,39,root knot
Asian Cockroach,Other,38,Asian Cockroach
Tentiform Leaf Miner spp.,Insect,38,Tentiform Leaf Miner spp.
foxtail,Weed,38,foxtail
Vegetative growth regulation,Other,38,Vegetative growth regulation
Green Stink Bug,Insect,38,Green Stink Bug
Leaf miners,Insect,38,Leaf miners
stink bug spp.,Insect,38,stink bug spp.
Pear Slug,Other,38,Pear Slug
Blueberry Spanworm,Insect,38,Blueberry Spanworm
False chamomile,Other,38,False chamomile
Eclipta,Other,38,Eclipta
