Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,LONG ISLAND USE RESTRICTION,Formulation,PRODUCT ID,TOXICITY,PRODUCT USE,is_PDF_downloaded,pdf_filename
100-1014,TRIMMIT 2SC PLANT GROWTH REGULATOR,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,GROWTH REGULATOR,FALSE,Liquid,38897,NONE,TURF,TRUE,TRIMMIT_2SC_PLANT_GROWTH_REGULATOR_100-1014_PRIMARY_LABEL_574491.pdf
100-1050,TALON-G RODENTICIDE BAIT PACK MINI-PELLETS CONTAINS BITREX,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,RODENTICIDE,FALSE,Solid,38900,"BIRDS, DOMESTIC ANIMALS, FISH, WILDLIFE","COMMERCIAL, INSTITUTIONAL, RESIDENTIAL, STRUCTURAL",TRUE,TALON-G_RODENTICIDE_BAIT_PACK_MINI-PELLETS_CONTAINS_BITREX_100-1050_PRIMARY_LABEL_537463.pdf
100-1055,TALON WEATHERBLOK XT                                                  ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,RODENTICIDE,FALSE,Solid,221519,"BIRDS, DOMESTIC ANIMALS, FISH, WILDLIFE","COMMERCIAL, INDUSTRIAL, RESIDENTIAL, STRUCTURAL",TRUE,TALON_WEATHERBLOK_XT_100-1055_PRIMARY_LABEL_549522.pdf
100-1061,REGLONE DESICCANT,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,FALSE,Liquid,40507,AQUATIC INVERTEBRATES,"AGRICULTURAL, NON-CROP",TRUE,REGLONE_DESICCANT_100-1061_PRIMARY_LABEL_543578.pdf
100-1066,DEMAND CS INSECTICIDE (NO USE WITHIN 100 FT. OF COASTAL MARSHES) (2ee - brown marmorated stink bug/kudzu stink bug),100,REGISTERED,1197077,CLOSED,2EE,2020-06-01,SHAUN PETERSON,INSECTICIDE,FALSE,Liquid,243287,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",TRUE,DEMAND_CS_INSECTICIDE_(NO_USE_WITHIN_100_FT._OF_COASTAL_MARSHES)_(2ee_-_brown_marmorated_stink_bug_kudzu_stink_bug)_100-1066_PRIMARY_LABEL_567889.pdf
100-1066,DEMAND CS INSECTICIDE (NO USE WITHIN 100 FT. OF COASTAL MARSHES),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,FALSE,Liquid,38909,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",TRUE,DEMAND_CS_INSECTICIDE_(NO_USE_WITHIN_100_FT._OF_COASTAL_MARSHES)_100-1066_PRIMARY_LABEL_594285.pdf
100-1066,PATROL (2ee - Spotted Lanternfly),100,REGISTERED,1220455,CLOSED,2EE,2021-05-11,SHAUN PETERSON,INSECTICIDE,FALSE,Liquid,249649,"AQUATIC INVERTEBRATES, BEES, FISH","ORNAMENTAL, RESIDENTIAL, STRUCTURAL",TRUE,PATROL_(2ee_-_Spotted_Lanternfly)_100-1066_PRIMARY_LABEL_574020.pdf
100-1066,DEMAND CS INSECTICIDE (NO USE WITHIN 100 FT. OF COASTAL MARSHES) (2ee - spotted lanternfly),100,REGISTERED,1189769,CLOSED,2EE,2020-01-29,SHAUN PETERSON,INSECTICIDE,FALSE,Liquid,241251,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL",TRUE,DEMAND_CS_INSECTICIDE_(NO_USE_WITHIN_100_FT._OF_COASTAL_MARSHES)_(2ee_-_spotted_lanternfly)_100-1066_PRIMARY_LABEL_566372.pdf
100-1066,PATROL (NO USE WITHIN 100' OF COASTAL MARSHES IN NYS) (2EE - BROWN MARMORATED STINK BUG AND KUDZU STINK BUG),100,REGISTERED,22512,CLOSED,2EE,2011-07-15,,INSECTICIDE,FALSE,Liquid,165491,"AQUATIC INVERTEBRATES, BEES, DOMESTIC ANIMALS, FISH","COMMERCIAL, INSTITUTIONAL, NON-CROP, RESIDENTIAL",TRUE,PATROL_(NO_USE_WITHIN_100'_OF_COASTAL_MARSHES_IN_NYS)_(2EE_-_BROWN_MARMORATED_STINK_BUG_AND_KUDZU_STINK_BUG)_100-1066_PRIMARY_LABEL_528199.pdf
100-1066,PATROL (NO USE WITHIN 100' OF COASTAL MARSHES IN NYS),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,FALSE,Liquid,150840,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",TRUE,PATROL_(NO_USE_WITHIN_100'_OF_COASTAL_MARSHES_IN_NYS)_100-1066_PRIMARY_LABEL_592697.pdf
100-1066,BORDER (no app within 100 ft of coastal marsh in ny),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,FALSE,Liquid,228703,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",TRUE,BORDER_(no_app_within_100_ft_of_coastal_marsh_in_ny)_100-1066_PRIMARY_LABEL_560849.pdf
100-1070,"FUSILADE DX HERBICIDE (NOT FOR SALE, USE, OR DISTRIBUTION IN NASSAU AND SUFFOLK COUNTIES)",100,REGISTERED,1301365,CLOSED,ROUTINE,2025-06-05,MATTHEW J GOGIS,HERBICIDE,TRUE,Liquid,165164,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, NON-CROP",TRUE,"FUSILADE_DX_HERBICIDE_(NOT_FOR_SALE,_USE,_OR_DISTRIBUTION_IN_NASSAU_AND_SUFFOLK_COUNTIES)_100-1070_PRIMARY_LABEL_600147.pdf"
100-1075,FORCE 3G INSECTICIDE (NYS MAX RATE 0.164 LB AI/A/YR),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,FALSE,Solid,38911,"AQUATIC INVERTEBRATES, FISH",AGRICULTURAL,TRUE,FORCE_3G_INSECTICIDE_(NYS_MAX_RATE_0.164_LB_AI_A_YR)_100-1075_PRIMARY_LABEL_552887.pdf
100-1084,FUSILADE II TURF AND ORNAMENTAL HERBICIDE (UNRESTRICTED 7/25/16)                          ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,FALSE,Liquid,221496,NONE,"GREENHOUSE, NURSERY, ORNAMENTAL, RESIDENTIAL, TURF",TRUE,FUSILADE_II_TURF_AND_ORNAMENTAL_HERBICIDE_(UNRESTRICTED_7_25_16)_100-1084_PRIMARY_LABEL_546000.pdf
100-1088,SCIMITAR GC INSECTICIDE (NO USE WITHIN 100' OF COASTAL MARSHES),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,FALSE,Liquid,38915,"BEES, FISH","GREENHOUSE, NURSERY, ORNAMENTAL, TURF",TRUE,SCIMITAR_GC_INSECTICIDE_(NO_USE_WITHIN_100'_OF_COASTAL_MARSHES)_100-1088_PRIMARY_LABEL_541520.pdf
100-1093,HERITAGE FUNGICIDE (2EE - BROWN RING PATCH & RHIZOCTONIA LEAF AND SHEATH SPOT),100,REGISTERED,18585,CLOSED,2EE,2010-05-21,,FUNGICIDE,FALSE,Solid,152787,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, ORNAMENTAL",TRUE,HERITAGE_FUNGICIDE_(2EE_-_BROWN_RING_PATCH_and_RHIZOCTONIA_LEAF_AND_SHEATH_SPOT)_100-1093_PRIMARY_LABEL_522947.pdf
100-1093,HERITAGE FUNGICIDE (2EE - PYTHIUM ROOT DYSFUNCTION),100,REGISTERED,28211,CLOSED,2EE,2013-03-19,,FUNGICIDE,FALSE,Solid,185153,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, ORNAMENTAL",TRUE,HERITAGE_FUNGICIDE_(2EE_-_PYTHIUM_ROOT_DYSFUNCTION)_100-1093_PRIMARY_LABEL_534889.pdf
100-1093,HERITAGE FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Solid,38916,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, GREENHOUSE, NURSERY, ORNAMENTAL, TURF",TRUE,HERITAGE_FUNGICIDE_100-1093_PRIMARY_LABEL_545991.pdf
100-1093,HERITAGE FUNGICIDE (2EE - CERCOSPORA LEAF SPOT),100,REGISTERED,22802,CLOSED,2EE,2011-08-09,,FUNGICIDE,FALSE,Solid,166565,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, ORNAMENTAL",TRUE,HERITAGE_FUNGICIDE_(2EE_-_CERCOSPORA_LEAF_SPOT)_100-1093_PRIMARY_LABEL_527822.pdf
100-1093,HERITAGE FUNGICIDE (2EE - DOWNY MILDEW),100,REGISTERED,24110,CLOSED,2EE,2012-01-19,,FUNGICIDE,FALSE,Solid,171119,"AQUATIC INVERTEBRATES, FISH","NURSERY, ORNAMENTAL",TRUE,HERITAGE_FUNGICIDE_(2EE_-_DOWNY_MILDEW)_100-1093_PRIMARY_LABEL_529961.pdf
100-1098,QUADRIS FLOWABLE FUNGICIDE (2EE - REDUCED RATES)                                        ,100,REGISTERED,6740,CLOSED,2EE,2006-11-22,,FUNGICIDE,FALSE,Liquid,106907,AQUATIC INVERTEBRATES,AGRICULTURAL,TRUE,QUADRIS_FLOWABLE_FUNGICIDE_(2EE_-_REDUCED_RATES)_100-1098_PRIMARY_LABEL_505355.pdf
100-1098,ABOUND FLOWABLE FUNGICIDE,100,DISCONTINUED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,40529,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, NURSERY",TRUE,ABOUND_FLOWABLE_FUNGICIDE_100-1098_PRIMARY_LABEL_586477.pdf
100-1098,QUADRIS FLOWABLE FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,40530,"AQUATIC INVERTEBRATES, FISH",AGRICULTURAL,TRUE,QUADRIS_FLOWABLE_FUNGICIDE_100-1098_PRIMARY_LABEL_583092.pdf
100-1098,AFRAME,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,199512,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, NURSERY",TRUE,AFRAME_100-1098_PRIMARY_LABEL_563258.pdf
100-1101,FLEXSTAR,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,FALSE,Liquid,41525,NONE,AGRICULTURAL,TRUE,FLEXSTAR_100-1101_PRIMARY_LABEL_560639.pdf
100-1101,SEDONA,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,FALSE,Liquid,179394,NONE,AGRICULTURAL,TRUE,SEDONA_100-1101_PRIMARY_LABEL_560640.pdf
100-1111,ARCHER INSECT GROWTH REGULATOR (RESTRICTED USE AS OF 3/7/16)                                        ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"GROWTH REGULATOR, MOSQUITO LARVICIDE",FALSE,Liquid,217672,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, INSTITUTIONAL, RESIDENTIAL, TURF",TRUE,ARCHER_INSECT_GROWTH_REGULATOR_(RESTRICTED_USE_AS_OF_3_7_16)_100-1111_PRIMARY_LABEL_544591.pdf
100-1131,EXPLORER HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,FALSE,Liquid,204316,NONE,AGRICULTURAL,TRUE,EXPLORER_HERBICIDE_100-1131_PRIMARY_LABEL_558449.pdf
100-1131,CALLISTO HERBICIDE (2EE - TANK MIX),100,REGISTERED,6740,CLOSED,2EE,2006-11-22,,HERBICIDE,FALSE,Liquid,110990,DOMESTIC ANIMALS,AGRICULTURAL,TRUE,CALLISTO_HERBICIDE_(2EE_-_TANK_MIX)_100-1131_PRIMARY_LABEL_507012.pdf
100-1131,CALLISTO HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,FALSE,Liquid,39504,NONE,AGRICULTURAL,TRUE,CALLISTO_HERBICIDE_100-1131_PRIMARY_LABEL_573044.pdf
100-1139,BARRICADE 4FL HERBICIDE (UNRESTRICTED 1/1/2015),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,FALSE,Liquid,39125,FISH,"NON-CROP, NURSERY, ORNAMENTAL, TURF",TRUE,BARRICADE_4FL_HERBICIDE_(UNRESTRICTED_1_1_2015)_100-1139_PRIMARY_LABEL_594407.pdf
100-1139,RESOLUTE 4FL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,FALSE,Liquid,159746,FISH,"NON-CROP, NURSERY, ORNAMENTAL, TURF",TRUE,RESOLUTE_4FL_100-1139_PRIMARY_LABEL_594408.pdf
100-1141,DIVIDEND EXTREME FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,40114,"AQUATIC INVERTEBRATES, FISH",SEED TREATMENT,TRUE,DIVIDEND_EXTREME_FUNGICIDE_100-1141_PRIMARY_LABEL_566453.pdf
100-1158,MAXIM MZ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Solid,40875,"AQUATIC INVERTEBRATES, FISH",SEED TREATMENT,TRUE,MAXIM_MZ_100-1158_PRIMARY_LABEL_566354.pdf
100-1159,DYNASTY,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,41802,"AQUATIC INVERTEBRATES, FISH",SEED TREATMENT,TRUE,DYNASTY_100-1159_PRIMARY_LABEL_544699.pdf
100-1162,BOUNDARY 6.5EC HERBICIDE (NOT FOR SALE/USE/DIST ON LONG ISLAND)  (RESTRICTED AS OF 1/1/2007),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,Liquid,42332,NONE,AGRICULTURAL,TRUE,BOUNDARY_6.5EC_HERBICIDE_(NOT_FOR_SALE_USE_DIST_ON_LONG_ISLAND)__(RESTRICTED_AS_OF_1_1_2007)_100-1162_PRIMARY_LABEL_589254.pdf
100-1171,QUADRIS OPTI,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,42922,"AQUATIC INVERTEBRATES, FISH, WILDLIFE",AGRICULTURAL,TRUE,QUADRIS_OPTI_100-1171_PRIMARY_LABEL_559529.pdf
100-1185,SEQUENCE HERBICIDE (NO USE IN NASSAU & SUFFOLK COUNTIES)  (RESTRICTED AS OF 1/1/2007),100,REGISTERED,1290656,CLOSED,ROUTINE,2024-11-22,JYOTHI MURUNDI,HERBICIDE,TRUE,Liquid,98733,NONE,AGRICULTURAL,TRUE,SEQUENCE_HERBICIDE_(NO_USE_IN_NASSAU_and_SUFFOLK_COUNTIES)__(RESTRICTED_AS_OF_1_1_2007)_100-1185_PRIMARY_LABEL_596940.pdf
100-1187,UNIFORM,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,162536,"AQUATIC INVERTEBRATES, FISH",AGRICULTURAL,TRUE,UNIFORM_100-1187_PRIMARY_LABEL_504581.pdf
100-1191,HERITAGE TL (2EE - BROWN RING PATCH),100,REGISTERED,18585,CLOSED,2EE,2010-05-21,,FUNGICIDE,FALSE,Liquid,152788,"AQUATIC INVERTEBRATES, FISH",TURF,TRUE,HERITAGE_TL_(2EE_-_BROWN_RING_PATCH)_100-1191_PRIMARY_LABEL_522949.pdf
100-1191,HERITAGE TL (2EE - PYTHIUM ROOT DYSFUNCTION),100,REGISTERED,28211,CLOSED,2EE,2013-03-19,,FUNGICIDE,FALSE,Liquid,185152,"AQUATIC INVERTEBRATES, FISH",TURF,TRUE,HERITAGE_TL_(2EE_-_PYTHIUM_ROOT_DYSFUNCTION)_100-1191_PRIMARY_LABEL_534891.pdf
100-1191,HERITAGE TL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,73373,"AQUATIC INVERTEBRATES, FISH",TURF,TRUE,HERITAGE_TL_100-1191_PRIMARY_LABEL_544851.pdf
100-1195,APRONMAXX RFC,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,97587,"AQUATIC INVERTEBRATES, FISH",SEED TREATMENT,TRUE,APRONMAXX_RFC_100-1195_PRIMARY_LABEL_566290.pdf
100-1202,RIDOMIL GOLD SL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,108969,NONE,AGRICULTURAL,TRUE,RIDOMIL_GOLD_SL_100-1202_PRIMARY_LABEL_544304.pdf
100-1202,ORONDIS GOLD B,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,212192,NONE,AGRICULTURAL,TRUE,ORONDIS_GOLD_B_100-1202_PRIMARY_LABEL_590599.pdf
100-1216,HEADWAY,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,109049,"AQUATIC INVERTEBRATES, FISH",TURF,TRUE,HEADWAY_100-1216_PRIMARY_LABEL_544907.pdf
100-1216,HEADWAY (2EE - BROWN RING PATCH),100,REGISTERED,19256,CLOSED,2EE,2010-07-28,,FUNGICIDE,FALSE,Liquid,154436,"AQUATIC INVERTEBRATES, FISH",TURF,TRUE,HEADWAY_(2EE_-_BROWN_RING_PATCH)_100-1216_PRIMARY_LABEL_523551.pdf
100-1218,DEMON MAX,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"INSECTICIDE, TERMITICIDE",FALSE,Liquid,100014,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, RESIDENTIAL, STRUCTURAL, TURF",TRUE,DEMON_MAX_100-1218_PRIMARY_LABEL_553534.pdf
100-1221,RIDOMIL GOLD BRAVO SC,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,108064,"AQUATIC INVERTEBRATES, FISH, WILDLIFE",AGRICULTURAL,TRUE,RIDOMIL_GOLD_BRAVO_SC_100-1221_PRIMARY_LABEL_573568.pdf
100-1226,ALTO 100 SL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,132723,NONE,AGRICULTURAL,TRUE,ALTO_100_SL_100-1226_PRIMARY_LABEL_595962.pdf
100-1231,"INSTRATA  [MAXIMUM APPLICATION RATE ON LONG ISLAND 7 GALLONS/ACRE OR 20.5 FL. OZ. PER 1,000 SQ. FT.]",100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,208119,"AQUATIC INVERTEBRATES, FISH, WILDLIFE",TURF,TRUE,"INSTRATA__[MAXIMUM_APPLICATION_RATE_ON_LONG_ISLAND_7_GALLONS_ACRE_OR_20.5_FL._OZ._PER_1,000_SQ._FT.]_100-1231_PRIMARY_LABEL_586917.pdf"
100-1240,DEMAND G INSECTICIDE (DO NOT APPLY WITHIN 100FT OF COASTAL MARSH),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,FALSE,Solid,110565,"AQUATIC INVERTEBRATES, FISH","ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",TRUE,DEMAND_G_INSECTICIDE_(DO_NOT_APPLY_WITHIN_100FT_OF_COASTAL_MARSH)_100-1240_PRIMARY_LABEL_539753.pdf
100-1242,SCHOLAR Max MP,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,236090,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, COMMERCIAL",TRUE,SCHOLAR_Max_MP_100-1242_PRIMARY_LABEL_583205.pdf
100-1242,SCHOLAR SC FUNGICIDE (2EE - ALTERNARIA ROT AND SURFACE MOLD),100,REGISTERED,16414,CLOSED,2EE,2009-09-09,,FUNGICIDE,FALSE,Liquid,145879,"AQUATIC INVERTEBRATES, FISH",AGRICULTURAL,TRUE,SCHOLAR_SC_FUNGICIDE_(2EE_-_ALTERNARIA_ROT_AND_SURFACE_MOLD)_100-1242_PRIMARY_LABEL_519952.pdf
100-1242,SCHOLAR SC FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,120036,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, COMMERCIAL",TRUE,SCHOLAR_SC_FUNGICIDE_100-1242_PRIMARY_LABEL_582739.pdf
100-1248,CRUISERMAXX POTATO INSECTICIDE AND FUNGICIDE (NO NASSAU OR SUFFOLK - SELF-IMPOSED BY SYNGENTA) (RESTRICTED USE AS OF 1/1/2023),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"FUNGICIDE, INSECTICIDE",TRUE,Liquid,129619,"AQUATIC INVERTEBRATES, BEES, FISH, WILDLIFE",SEED TREATMENT,TRUE,CRUISERMAXX_POTATO_INSECTICIDE_AND_FUNGICIDE_(NO_NASSAU_OR_SUFFOLK_-_SELF-IMPOSED_BY_SYNGENTA)_(RESTRICTED_USE_AS_OF_1_1_2023)_100-1248_PRIMARY_LABEL_581400.pdf
100-1254,REVUS FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,FALSE,Liquid,130490,NONE,"AGRICULTURAL, GREENHOUSE, SEED TREATMENT",TRUE,REVUS_FUNGICIDE_100-1254_PRIMARY_LABEL_582554.pdf
100-1256,AXIAL XL HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,FALSE,Liquid,227367,NONE,AGRICULTURAL,TRUE,AXIAL_XL_HERBICIDE_100-1256_PRIMARY_LABEL_583138.pdf
