Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,LONG ISLAND USE RESTRICTION,Formulation,PRODUCT ID,TOXICITY,PRODUCT USE,is_PDF_downloaded,pdf_filename,txt_file_len,each_page_len,text_contains_product_name,text_contains_children,text_contains_epa_no,each_page_has_text
100-1014,TRIMMIT 2SC PLANT GROWTH REGULATOR,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,GROWTH REGULATOR,False,Liquid,38897,NONE,TURF,True,TRIMMIT_2SC_PLANT_GROWTH_REGULATOR_100-1014_PRIMARY_LABEL_574491.pdf,26769,"[768, 1390, 1254, 2656, 1712, 2279, 1607, 1720, 867, 2192, 2328, 2418, 934, 466, 4178]",True,True,True,True
100-1050,TALON-G RODENTICIDE BAIT PACK MINI-PELLETS CONTAINS BITREX,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,RODENTICIDE,False,Solid,38900,"BIRDS, DOMESTIC ANIMALS, FISH, WILDLIFE","COMMERCIAL, INSTITUTIONAL, RESIDENTIAL, STRUCTURAL",True,TALON-G_RODENTICIDE_BAIT_PACK_MINI-PELLETS_CONTAINS_BITREX_100-1050_PRIMARY_LABEL_537463.pdf,12114,"[1325, 3863, 4846, 2080]",True,True,True,True
100-1055,TALON WEATHERBLOK XT                                                  ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,RODENTICIDE,False,Solid,221519,"BIRDS, DOMESTIC ANIMALS, FISH, WILDLIFE","COMMERCIAL, INDUSTRIAL, RESIDENTIAL, STRUCTURAL",True,TALON_WEATHERBLOK_XT_100-1055_PRIMARY_LABEL_549522.pdf,12517,"[1148, 3836, 5685, 1848]",True,True,True,True
100-1061,REGLONE DESICCANT,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,40507,AQUATIC INVERTEBRATES,"AGRICULTURAL, NON-CROP",True,REGLONE_DESICCANT_100-1061_PRIMARY_LABEL_543578.pdf,36499,"[1127, 2382, 3263, 3568, 2483, 1482, 2964, 3123, 2207, 1569, 1075, 1724, 4078, 360, 5094]",True,True,True,True
100-1066,DEMAND CS INSECTICIDE (NO USE WITHIN 100 FT. OF COASTAL MARSHES) (2ee - brown marmorated stink bug/kudzu stink bug),100,REGISTERED,1197077,CLOSED,2EE,2020-06-01,SHAUN PETERSON,INSECTICIDE,False,Liquid,243287,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",True,DEMAND_CS_INSECTICIDE_(NO_USE_WITHIN_100_FT._OF_COASTAL_MARSHES)_(2ee_-_brown_marmorated_stink_bug_kudzu_stink_bug)_100-1066_PRIMARY_LABEL_567889.pdf,1543,[1543],True,False,True,True
100-1066,DEMAND CS INSECTICIDE (NO USE WITHIN 100 FT. OF COASTAL MARSHES),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Liquid,38909,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",True,DEMAND_CS_INSECTICIDE_(NO_USE_WITHIN_100_FT._OF_COASTAL_MARSHES)_100-1066_PRIMARY_LABEL_594285.pdf,50745,"[1265, 2840, 4408, 3805, 1293, 4292, 4442, 4344, 3165, 2970, 1096, 2432, 2188, 2527, 3386, 536, 5756]",True,True,True,True
100-1066,PATROL (2ee - Spotted Lanternfly),100,REGISTERED,1220455,CLOSED,2EE,2021-05-11,SHAUN PETERSON,INSECTICIDE,False,Liquid,249649,"AQUATIC INVERTEBRATES, BEES, FISH","ORNAMENTAL, RESIDENTIAL, STRUCTURAL",True,PATROL_(2ee_-_Spotted_Lanternfly)_100-1066_PRIMARY_LABEL_574020.pdf,1938,[1938],True,False,True,True
100-1066,DEMAND CS INSECTICIDE (NO USE WITHIN 100 FT. OF COASTAL MARSHES) (2ee - spotted lanternfly),100,REGISTERED,1189769,CLOSED,2EE,2020-01-29,SHAUN PETERSON,INSECTICIDE,False,Liquid,241251,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL",True,DEMAND_CS_INSECTICIDE_(NO_USE_WITHIN_100_FT._OF_COASTAL_MARSHES)_(2ee_-_spotted_lanternfly)_100-1066_PRIMARY_LABEL_566372.pdf,1996,[1996],True,False,True,True
100-1066,PATROL (NO USE WITHIN 100' OF COASTAL MARSHES IN NYS) (2EE - BROWN MARMORATED STINK BUG AND KUDZU STINK BUG),100,REGISTERED,22512,CLOSED,2EE,2011-07-15,,INSECTICIDE,False,Liquid,165491,"AQUATIC INVERTEBRATES, BEES, DOMESTIC ANIMALS, FISH","COMMERCIAL, INSTITUTIONAL, NON-CROP, RESIDENTIAL",True,PATROL_(NO_USE_WITHIN_100'_OF_COASTAL_MARSHES_IN_NYS)_(2EE_-_BROWN_MARMORATED_STINK_BUG_AND_KUDZU_STINK_BUG)_100-1066_PRIMARY_LABEL_528199.pdf,1407,[1407],True,False,True,True
100-1066,PATROL (NO USE WITHIN 100' OF COASTAL MARSHES IN NYS),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Liquid,150840,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",True,PATROL_(NO_USE_WITHIN_100'_OF_COASTAL_MARSHES_IN_NYS)_100-1066_PRIMARY_LABEL_592697.pdf,50147,"[1500, 8, 2856, 4425, 3898, 1289, 4314, 4566, 4216, 2667, 2850, 1081, 2341, 2308, 2968, 3128, 5732]",True,True,True,True
100-1066,BORDER (no app within 100 ft of coastal marsh in ny),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Liquid,228703,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",True,BORDER_(no_app_within_100_ft_of_coastal_marsh_in_ny)_100-1066_PRIMARY_LABEL_560849.pdf,47932,"[1228, 1752, 2116, 2436, 2142, 2386, 1006, 1572, 2672, 2359, 3113, 2821, 1420, 1451, 2309, 1783, 1088, 2076, 910, 1434, 2092, 1852, 475, 978, 4461]",True,True,True,True
100-1070,"FUSILADE DX HERBICIDE (NOT FOR SALE, USE, OR DISTRIBUTION IN NASSAU AND SUFFOLK COUNTIES)",100,REGISTERED,1301365,CLOSED,ROUTINE,2025-06-05,MATTHEW J GOGIS,HERBICIDE,True,Liquid,165164,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, NON-CROP",True,"FUSILADE_DX_HERBICIDE_(NOT_FOR_SALE,_USE,_OR_DISTRIBUTION_IN_NASSAU_AND_SUFFOLK_COUNTIES)_100-1070_PRIMARY_LABEL_600147.pdf",118061,"[1210, 1505, 1587, 1910, 2694, 2895, 2973, 2848, 2954, 2462, 3721, 3981, 3579, 2850, 1678, 1482, 769, 2163, 1033, 1503, 1646, 1484, 1606, 2229, 2215, 2312, 1719, 2202, 1334, 1747, 1535, 2059, 1698, 2381, 2030, 2411, 1597, 1296, 1256, 1405, 2257, 2521, 2774, 2743, 2138, 1901, 2070, 1795, 1815, 3629, 2990, 721, 982, 726, 3305, 3735]",True,True,True,True
100-1075,FORCE 3G INSECTICIDE (NYS MAX RATE 0.164 LB AI/A/YR),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Solid,38911,"AQUATIC INVERTEBRATES, FISH",AGRICULTURAL,True,FORCE_3G_INSECTICIDE_(NYS_MAX_RATE_0.164_LB_AI_A_YR)_100-1075_PRIMARY_LABEL_552887.pdf,21556,"[1227, 3705, 4918, 4986, 3374, 2134, 1212]",True,True,True,True
100-1084,FUSILADE II TURF AND ORNAMENTAL HERBICIDE (UNRESTRICTED 7/25/16)                          ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,221496,NONE,"GREENHOUSE, NURSERY, ORNAMENTAL, RESIDENTIAL, TURF",True,FUSILADE_II_TURF_AND_ORNAMENTAL_HERBICIDE_(UNRESTRICTED_7_25_16)_100-1084_PRIMARY_LABEL_546000.pdf,62445,"[1161, 1674, 1842, 2543, 2381, 2497, 2536, 2850, 2428, 1965, 1908, 2115, 879, 628, 1179, 1168, 1204, 1182, 1273, 1214, 1253, 1081, 1237, 1191, 1313, 1305, 1210, 1196, 1253, 1354, 1215, 1175, 1386, 1114, 1199, 2483, 1431, 1353, 4069]",True,True,True,True
100-1088,SCIMITAR GC INSECTICIDE (NO USE WITHIN 100' OF COASTAL MARSHES),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Liquid,38915,"BEES, FISH","GREENHOUSE, NURSERY, ORNAMENTAL, TURF",True,SCIMITAR_GC_INSECTICIDE_(NO_USE_WITHIN_100'_OF_COASTAL_MARSHES)_100-1088_PRIMARY_LABEL_541520.pdf,33154,"[1458, 1751, 2558, 2566, 2039, 2234, 2036, 1664, 2152, 1217, 1967, 1621, 2460, 1621, 1368, 4442]",True,True,True,True
100-1093,HERITAGE FUNGICIDE (2EE - BROWN RING PATCH & RHIZOCTONIA LEAF AND SHEATH SPOT),100,REGISTERED,18585,CLOSED,2EE,2010-05-21,,FUNGICIDE,False,Solid,152787,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, ORNAMENTAL",True,HERITAGE_FUNGICIDE_(2EE_-_BROWN_RING_PATCH_and_RHIZOCTONIA_LEAF_AND_SHEATH_SPOT)_100-1093_PRIMARY_LABEL_522947.pdf,1567,[1567],True,False,True,True
100-1093,HERITAGE FUNGICIDE (2EE - PYTHIUM ROOT DYSFUNCTION),100,REGISTERED,28211,CLOSED,2EE,2013-03-19,,FUNGICIDE,False,Solid,185153,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, ORNAMENTAL",True,HERITAGE_FUNGICIDE_(2EE_-_PYTHIUM_ROOT_DYSFUNCTION)_100-1093_PRIMARY_LABEL_534889.pdf,1670,[1670],True,False,True,True
100-1093,HERITAGE FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Solid,38916,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, GREENHOUSE, NURSERY, ORNAMENTAL, TURF",True,HERITAGE_FUNGICIDE_100-1093_PRIMARY_LABEL_545991.pdf,109766,"[1060, 3062, 4585, 3549, 4911, 4579, 4639, 3145, 2724, 2242, 4784, 2923, 2436, 2352, 2303, 1518, 1458, 1426, 2094, 2242, 2558, 2392, 3034, 2188, 2375, 2701, 1497, 2345, 1971, 2338, 2583, 2417, 2900, 3117, 1880, 2566, 2479, 2076, 2354, 250, 5713]",True,True,True,True
100-1093,HERITAGE FUNGICIDE (2EE - CERCOSPORA LEAF SPOT),100,REGISTERED,22802,CLOSED,2EE,2011-08-09,,FUNGICIDE,False,Solid,166565,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, ORNAMENTAL",True,HERITAGE_FUNGICIDE_(2EE_-_CERCOSPORA_LEAF_SPOT)_100-1093_PRIMARY_LABEL_527822.pdf,1440,[1440],True,False,True,True
100-1093,HERITAGE FUNGICIDE (2EE - DOWNY MILDEW),100,REGISTERED,24110,CLOSED,2EE,2012-01-19,,FUNGICIDE,False,Solid,171119,"AQUATIC INVERTEBRATES, FISH","NURSERY, ORNAMENTAL",True,HERITAGE_FUNGICIDE_(2EE_-_DOWNY_MILDEW)_100-1093_PRIMARY_LABEL_529961.pdf,1289,[1289],True,False,True,True
100-1098,QUADRIS FLOWABLE FUNGICIDE (2EE - REDUCED RATES)                                        ,100,REGISTERED,6740,CLOSED,2EE,2006-11-22,,FUNGICIDE,False,Liquid,106907,AQUATIC INVERTEBRATES,AGRICULTURAL,True,QUADRIS_FLOWABLE_FUNGICIDE_(2EE_-_REDUCED_RATES)_100-1098_PRIMARY_LABEL_505355.pdf,0,"[0, 0, 0]",False,False,False,False
100-1098,ABOUND FLOWABLE FUNGICIDE,100,DISCONTINUED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,40529,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, NURSERY",True,ABOUND_FLOWABLE_FUNGICIDE_100-1098_PRIMARY_LABEL_586477.pdf,153816,"[862, 2262, 3422, 3086, 4056, 3441, 2198, 1601, 3727, 3357, 3744, 4079, 3552, 1972, 2553, 1156, 1862, 1780, 2569, 2402, 1784, 1781, 2841, 1678, 1527, 1407, 2095, 2697, 1659, 1869, 2563, 3002, 2688, 1849, 3079, 1563, 1202, 2728, 2092, 2557, 1592, 2891, 1962, 2890, 2413, 1824, 3366, 1865, 2273, 2259, 2591, 1500, 2289, 2512, 2265, 2373, 1873, 2564, 2240, 2892, 395, 1256, 3353, 889, 5147]",True,True,True,True
100-1098,QUADRIS FLOWABLE FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,40530,"AQUATIC INVERTEBRATES, FISH",AGRICULTURAL,True,QUADRIS_FLOWABLE_FUNGICIDE_100-1098_PRIMARY_LABEL_583092.pdf,153158,"[848, 2262, 3422, 3087, 3854, 3096, 2202, 781, 2894, 3080, 2924, 3580, 3912, 3304, 2056, 2558, 2395, 2323, 2572, 2391, 1781, 1781, 2844, 2581, 2836, 1973, 2704, 3534, 2568, 3005, 2690, 1844, 3071, 2682, 2745, 3484, 1590, 2880, 2421, 2459, 2718, 1488, 3372, 1860, 2271, 2255, 2598, 2595, 3025, 2921, 2374, 1873, 2564, 2245, 2896, 415, 2736, 2798, 5140]",True,True,True,True
100-1098,AFRAME,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,199512,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, NURSERY",True,AFRAME_100-1098_PRIMARY_LABEL_563258.pdf,151378,"[828, 3048, 5259, 3963, 4758, 1600, 3733, 4208, 4486, 5280, 3959, 3622, 3544, 4871, 3460, 4424, 3691, 3549, 4653, 4158, 3899, 3719, 2640, 3848, 3462, 4387, 4751, 4119, 5117, 4442, 2584, 3698, 4654, 2369, 1869, 2569, 3264, 2238, 1253, 3353, 836, 5213]",True,True,True,True
100-1101,FLEXSTAR,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,41525,NONE,AGRICULTURAL,True,FLEXSTAR_100-1101_PRIMARY_LABEL_560639.pdf,59540,"[1061, 2461, 3475, 3498, 3886, 3392, 3560, 2860, 2761, 1443, 2543, 1874, 981, 772, 981, 1423, 678, 1378, 1018, 1159, 2067, 1252, 1388, 3460, 2654, 808, 6707]",True,True,True,True
100-1101,SEDONA,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,179394,NONE,AGRICULTURAL,True,SEDONA_100-1101_PRIMARY_LABEL_560640.pdf,58996,"[1047, 2456, 3475, 3290, 3658, 3490, 2488, 2246, 3048, 2626, 1221, 3101, 447, 977, 769, 978, 1418, 673, 752, 1029, 1000, 2663, 1239, 1367, 3460, 3402, 6676]",True,True,True,True
100-1111,ARCHER INSECT GROWTH REGULATOR (RESTRICTED USE AS OF 3/7/16)                                        ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"GROWTH REGULATOR, MOSQUITO LARVICIDE",False,Liquid,217672,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, INSTITUTIONAL, RESIDENTIAL, TURF",True,ARCHER_INSECT_GROWTH_REGULATOR_(RESTRICTED_USE_AS_OF_3_7_16)_100-1111_PRIMARY_LABEL_544591.pdf,46588,"[1472, 1594, 1939, 2059, 2140, 2026, 1847, 1460, 1783, 2297, 1576, 3007, 3707, 3240, 3071, 2897, 3264, 1908, 1159, 1629, 2513]",True,True,True,True
100-1131,EXPLORER HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,204316,NONE,AGRICULTURAL,True,EXPLORER_HERBICIDE_100-1131_PRIMARY_LABEL_558449.pdf,91795,"[855, 1661, 2387, 2542, 2702, 2736, 2210, 2302, 2903, 3156, 2775, 2614, 2658, 1742, 1281, 1487, 1366, 1386, 1254, 2655, 2776, 2250, 2084, 2085, 3404, 3218, 3270, 3222, 2848, 2869, 3068, 3600, 3205, 3582, 2339, 2540, 2763]",True,True,True,True
100-1131,CALLISTO HERBICIDE (2EE - TANK MIX),100,REGISTERED,6740,CLOSED,2EE,2006-11-22,,HERBICIDE,False,Liquid,110990,DOMESTIC ANIMALS,AGRICULTURAL,True,CALLISTO_HERBICIDE_(2EE_-_TANK_MIX)_100-1131_PRIMARY_LABEL_507012.pdf,0,"[0, 0, 0]",False,False,False,False
100-1131,CALLISTO HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,39504,NONE,AGRICULTURAL,True,CALLISTO_HERBICIDE_100-1131_PRIMARY_LABEL_573044.pdf,93395,"[870, 1502, 2071, 1556, 2603, 2082, 2591, 2193, 1972, 2509, 2822, 2253, 2988, 2795, 1643, 1284, 1612, 1498, 1740, 1187, 2190, 3021, 2713, 2095, 2183, 2723, 3129, 2547, 3118, 2159, 2807, 2485, 2710, 2690, 3069, 1882, 2638, 2664, 1462, 2562, 2777]",True,True,True,True
100-1139,BARRICADE 4FL HERBICIDE (UNRESTRICTED 1/1/2015),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,39125,FISH,"NON-CROP, NURSERY, ORNAMENTAL, TURF",True,BARRICADE_4FL_HERBICIDE_(UNRESTRICTED_1_1_2015)_100-1139_PRIMARY_LABEL_594407.pdf,76183,"[1308, 1974, 2949, 3620, 2856, 3451, 2634, 3011, 1859, 965, 1251, 2621, 1682, 2035, 2243, 2370, 1382, 1349, 1291, 1153, 1119, 1405, 1463, 2311, 2154, 2864, 1125, 956, 1054, 1046, 835, 1161, 1171, 1133, 2557, 2068, 2494, 766, 3784, 2713]",True,True,True,True
100-1139,RESOLUTE 4FL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,159746,FISH,"NON-CROP, NURSERY, ORNAMENTAL, TURF",True,RESOLUTE_4FL_100-1139_PRIMARY_LABEL_594408.pdf,76126,"[1276, 2169, 3545, 3527, 3968, 3069, 3206, 2225, 1621, 2275, 2076, 1789, 3151, 2407, 1791, 1444, 1480, 1339, 1652, 1624, 2754, 2156, 2873, 1376, 1297, 1373, 1417, 1464, 1531, 2584, 2080, 2500, 720, 6367]",True,True,True,True
100-1141,DIVIDEND EXTREME FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,40114,"AQUATIC INVERTEBRATES, FISH",SEED TREATMENT,True,DIVIDEND_EXTREME_FUNGICIDE_100-1141_PRIMARY_LABEL_566453.pdf,27210,"[1101, 2330, 3354, 3720, 3666, 1933, 851, 1810, 3157, 1412, 3876]",True,True,True,True
100-1158,MAXIM MZ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Solid,40875,"AQUATIC INVERTEBRATES, FISH",SEED TREATMENT,True,MAXIM_MZ_100-1158_PRIMARY_LABEL_566354.pdf,19620,"[1120, 4237, 5226, 5333, 3704]",True,True,True,True
100-1159,DYNASTY,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,41802,"AQUATIC INVERTEBRATES, FISH",SEED TREATMENT,True,DYNASTY_100-1159_PRIMARY_LABEL_544699.pdf,28956,"[823, 1283, 1537, 2350, 2025, 1974, 2271, 1814, 1182, 1046, 837, 1257, 1268, 1214, 1549, 1914, 281, 4331]",True,True,True,True
100-1162,BOUNDARY 6.5EC HERBICIDE (NOT FOR SALE/USE/DIST ON LONG ISLAND)  (RESTRICTED AS OF 1/1/2007),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,True,Liquid,42332,NONE,AGRICULTURAL,True,BOUNDARY_6.5EC_HERBICIDE_(NOT_FOR_SALE_USE_DIST_ON_LONG_ISLAND)__(RESTRICTED_AS_OF_1_1_2007)_100-1162_PRIMARY_LABEL_589254.pdf,85126,"[1566, 1380, 1161, 2535, 3906, 4226, 3787, 3704, 3871, 3573, 3808, 3984, 2357, 3590, 3292, 1721, 1828, 1833, 2428, 2606, 2394, 2155, 3183, 2015, 2558, 4066, 2660, 800, 8139]",True,True,True,True
100-1171,QUADRIS OPTI,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,42922,"AQUATIC INVERTEBRATES, FISH, WILDLIFE",AGRICULTURAL,True,QUADRIS_OPTI_100-1171_PRIMARY_LABEL_559529.pdf,57897,"[1309, 2154, 2814, 3511, 2805, 3137, 3444, 2975, 2724, 2785, 2007, 2288, 2016, 2531, 2095, 1887, 1945, 1995, 2049, 2731, 1819, 6876]",True,True,True,True
100-1185,SEQUENCE HERBICIDE (NO USE IN NASSAU & SUFFOLK COUNTIES)  (RESTRICTED AS OF 1/1/2007),100,REGISTERED,1290656,CLOSED,ROUTINE,2024-11-22,JYOTHI MURUNDI,HERBICIDE,True,Liquid,98733,NONE,AGRICULTURAL,True,SEQUENCE_HERBICIDE_(NO_USE_IN_NASSAU_and_SUFFOLK_COUNTIES)__(RESTRICTED_AS_OF_1_1_2007)_100-1185_PRIMARY_LABEL_596940.pdf,119774,"[1546, 1523, 1831, 2803, 4078, 3912, 3820, 3916, 3811, 2613, 3728, 3044, 2811, 2893, 1428, 1462, 1477, 1222, 1786, 1968, 1824, 2109, 2373, 2341, 1735, 2836, 2286, 3231, 2997, 1326, 2445, 2360, 2590, 2442, 1853, 1984, 2896, 2243, 2377, 2250, 2309, 3790, 3289, 1372, 1427, 9417]",True,True,True,True
