Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,LONG ISLAND USE RESTRICTION,Formulation,PRODUCT ID,TOXICITY,PRODUCT USE,is_PDF_downloaded,pdf_filename,txt_file_len,each_page_len,text_contains_product_name,text_contains_children,text_contains_epa_no,each_page_has_text,OCR_text_contains_product_name,OCR_text_contains_children,OCR_text_contains_epa_no,OCR_needed,runOCR_reason,Post_OCR_char_per_page,OCR_v_Original,final_determination,agricultural_use_requirements_and_restricted_entry_interval
100-1084,FUSILADE II TURF AND ORNAMENTAL HERBICIDE (UNRESTRICTED 7/25/16)                          ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,221496,NONE,"GREENHOUSE, NURSERY, ORNAMENTAL, RESIDENTIAL, TURF",True,FUSILADE_II_TURF_AND_ORNAMENTAL_HERBICIDE_(UNRESTRICTED_7_25_16)_100-1084_PRIMARY_LABEL_546000.pdf,64143.0,"[1161, 1674, 1842, 2543, 2381, 2497, 2536, 2850, 2428, 1965, 1908, 2115, 879, 628, 1179, 1168, 1204, 1182, 1273, 1214, 1253, 1081, 1237, 1191, 1313, 1305, 1210, 1196, 1253, 1354, 1215, 1175, 1386, 1114, 1199, 2483, 1431, 1353, 4069]",True,True,True,True,,,,False,,,,,both
100-1088,SCIMITAR GC INSECTICIDE (NO USE WITHIN 100' OF COASTAL MARSHES),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Liquid,38915,"BEES, FISH","GREENHOUSE, NURSERY, ORNAMENTAL, TURF",True,SCIMITAR_GC_INSECTICIDE_(NO_USE_WITHIN_100'_OF_COASTAL_MARSHES)_100-1088_PRIMARY_LABEL_541520.pdf,33840.0,"[1458, 1751, 2558, 2566, 2039, 2234, 2036, 1664, 2152, 1217, 1967, 1621, 2460, 1621, 1368, 4442]",True,True,True,True,,,,False,,,,,both
100-1093,HERITAGE FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Solid,38916,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, GREENHOUSE, NURSERY, ORNAMENTAL, TURF",True,HERITAGE_FUNGICIDE_100-1093_PRIMARY_LABEL_545991.pdf,111552.0,"[1060, 3062, 4585, 3549, 4911, 4579, 4639, 3145, 2724, 2242, 4784, 2923, 2436, 2352, 2303, 1518, 1458, 1426, 2094, 2242, 2558, 2392, 3034, 2188, 2375, 2701, 1497, 2345, 1971, 2338, 2583, 2417, 2900, 3117, 1880, 2566, 2479, 2076, 2354, 250, 5713]",True,True,True,True,True,True,True,Page_specific_OCR,1 out of 41 pages need OCR because they are less than 300 characters (pages: [40]),"[1060, 3062, 4585, 3549, 4911, 4579, 4639, 3145, 2724, 2242, 4784, 2923, 2436, 2352, 2303, 1518, 1458, 1426, 2094, 2242, 2558, 2392, 3034, 2188, 2375, 2701, 1497, 2345, 1971, 2338, 2583, 2417, 2900, 3117, 1880, 2566, 2479, 2076, 2354, 254, 5713]",Original,Original,both
100-1098,ABOUND FLOWABLE FUNGICIDE,100,DISCONTINUED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,40529,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, NURSERY",True,ABOUND_FLOWABLE_FUNGICIDE_100-1098_PRIMARY_LABEL_586477.pdf,156658.0,"[862, 2262, 3422, 3086, 4056, 3441, 2198, 1601, 3727, 3357, 3744, 4079, 3552, 1972, 2553, 1156, 1862, 1780, 2569, 2402, 1784, 1781, 2841, 1678, 1527, 1407, 2095, 2697, 1659, 1869, 2563, 3002, 2688, 1849, 3079, 1563, 1202, 2728, 2092, 2557, 1592, 2891, 1962, 2890, 2413, 1824, 3366, 1865, 2273, 2259, 2591, 1500, 2289, 2512, 2265, 2373, 1873, 2564, 2240, 2892, 395, 1256, 3353, 889, 5147]",True,True,True,True,,,,False,,,,,both
100-1098,QUADRIS FLOWABLE FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,40530,"AQUATIC INVERTEBRATES, FISH",AGRICULTURAL,True,QUADRIS_FLOWABLE_FUNGICIDE_100-1098_PRIMARY_LABEL_583092.pdf,155736.0,"[848, 2262, 3422, 3087, 3854, 3096, 2202, 781, 2894, 3080, 2924, 3580, 3912, 3304, 2056, 2558, 2395, 2323, 2572, 2391, 1781, 1781, 2844, 2581, 2836, 1973, 2704, 3534, 2568, 3005, 2690, 1844, 3071, 2682, 2745, 3484, 1590, 2880, 2421, 2459, 2718, 1488, 3372, 1860, 2271, 2255, 2598, 2595, 3025, 2921, 2374, 1873, 2564, 2245, 2896, 415, 2736, 2798, 5140]",True,True,True,True,,,,False,,,,,both
100-1098,AFRAME,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,199512,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, NURSERY",True,AFRAME_100-1098_PRIMARY_LABEL_563258.pdf,153208.0,"[828, 3048, 5259, 3963, 4758, 1600, 3733, 4208, 4486, 5280, 3959, 3622, 3544, 4871, 3460, 4424, 3691, 3549, 4653, 4158, 3899, 3719, 2640, 3848, 3462, 4387, 4751, 4119, 5117, 4442, 2584, 3698, 4654, 2369, 1869, 2569, 3264, 2238, 1253, 3353, 836, 5213]",True,True,True,True,,,,False,,,,,both
100-1101,FLEXSTAR,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,41525,NONE,AGRICULTURAL,True,FLEXSTAR_100-1101_PRIMARY_LABEL_560639.pdf,60710.0,"[1061, 2461, 3475, 3498, 3886, 3392, 3560, 2860, 2761, 1443, 2543, 1874, 981, 772, 981, 1423, 678, 1378, 1018, 1159, 2067, 1252, 1388, 3460, 2654, 808, 6707]",True,True,True,True,,,,False,,,,,both
100-1101,SEDONA,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,179394,NONE,AGRICULTURAL,True,SEDONA_100-1101_PRIMARY_LABEL_560640.pdf,60166.0,"[1047, 2456, 3475, 3290, 3658, 3490, 2488, 2246, 3048, 2626, 1221, 3101, 447, 977, 769, 978, 1418, 673, 752, 1029, 1000, 2663, 1239, 1367, 3460, 3402, 6676]",True,True,True,True,,,,False,,,,,both
100-1111,ARCHER INSECT GROWTH REGULATOR (RESTRICTED USE AS OF 3/7/16)                                        ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"GROWTH REGULATOR, MOSQUITO LARVICIDE",False,Liquid,217672,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, INSTITUTIONAL, RESIDENTIAL, TURF",True,ARCHER_INSECT_GROWTH_REGULATOR_(RESTRICTED_USE_AS_OF_3_7_16)_100-1111_PRIMARY_LABEL_544591.pdf,47494.0,"[1472, 1594, 1939, 2059, 2140, 2026, 1847, 1460, 1783, 2297, 1576, 3007, 3707, 3240, 3071, 2897, 3264, 1908, 1159, 1629, 2513]",True,True,True,True,,,,False,,,,,none
100-1131,EXPLORER HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,204316,NONE,AGRICULTURAL,True,EXPLORER_HERBICIDE_100-1131_PRIMARY_LABEL_558449.pdf,93405.0,"[855, 1661, 2387, 2542, 2702, 2736, 2210, 2302, 2903, 3156, 2775, 2614, 2658, 1742, 1281, 1487, 1366, 1386, 1254, 2655, 2776, 2250, 2084, 2085, 3404, 3218, 3270, 3222, 2848, 2869, 3068, 3600, 3205, 3582, 2339, 2540, 2763]",True,True,True,True,,,,False,,,,,both
100-1131,CALLISTO HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,39504,NONE,AGRICULTURAL,True,CALLISTO_HERBICIDE_100-1131_PRIMARY_LABEL_573044.pdf,95181.0,"[870, 1502, 2071, 1556, 2603, 2082, 2591, 2193, 1972, 2509, 2822, 2253, 2988, 2795, 1643, 1284, 1612, 1498, 1740, 1187, 2190, 3021, 2713, 2095, 2183, 2723, 3129, 2547, 3118, 2159, 2807, 2485, 2710, 2690, 3069, 1882, 2638, 2664, 1462, 2562, 2777]",True,True,True,True,,,,False,,,,,both
100-1139,BARRICADE 4FL HERBICIDE (UNRESTRICTED 1/1/2015),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,39125,FISH,"NON-CROP, NURSERY, ORNAMENTAL, TURF",True,BARRICADE_4FL_HERBICIDE_(UNRESTRICTED_1_1_2015)_100-1139_PRIMARY_LABEL_594407.pdf,77925.0,"[1308, 1974, 2949, 3620, 2856, 3451, 2634, 3011, 1859, 965, 1251, 2621, 1682, 2035, 2243, 2370, 1382, 1349, 1291, 1153, 1119, 1405, 1463, 2311, 2154, 2864, 1125, 956, 1054, 1046, 835, 1161, 1171, 1133, 2557, 2068, 2494, 766, 3784, 2713]",True,True,True,True,,,,False,,,,,both
100-1139,RESOLUTE 4FL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,159746,FISH,"NON-CROP, NURSERY, ORNAMENTAL, TURF",True,RESOLUTE_4FL_100-1139_PRIMARY_LABEL_594408.pdf,77604.0,"[1276, 2169, 3545, 3527, 3968, 3069, 3206, 2225, 1621, 2275, 2076, 1789, 3151, 2407, 1791, 1444, 1480, 1339, 1652, 1624, 2754, 2156, 2873, 1376, 1297, 1373, 1417, 1464, 1531, 2584, 2080, 2500, 720, 6367]",True,True,True,True,,,,False,,,,,both
100-1141,DIVIDEND EXTREME FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,40114,"AQUATIC INVERTEBRATES, FISH",SEED TREATMENT,True,DIVIDEND_EXTREME_FUNGICIDE_100-1141_PRIMARY_LABEL_566453.pdf,27676.0,"[1101, 2330, 3354, 3720, 3666, 1933, 851, 1810, 3157, 1412, 3876]",True,True,True,True,,,,False,,,,,both
100-1158,MAXIM MZ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Solid,40875,"AQUATIC INVERTEBRATES, FISH",SEED TREATMENT,True,MAXIM_MZ_100-1158_PRIMARY_LABEL_566354.pdf,19830.0,"[1120, 4237, 5226, 5333, 3704]",True,True,True,True,,,,False,,,,,both
100-1159,DYNASTY,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,41802,"AQUATIC INVERTEBRATES, FISH",SEED TREATMENT,True,DYNASTY_100-1159_PRIMARY_LABEL_544699.pdf,29730.0,"[823, 1283, 1537, 2350, 2025, 1974, 2271, 1814, 1182, 1046, 837, 1257, 1268, 1214, 1549, 1914, 281, 4331]",True,True,True,True,True,True,True,Page_specific_OCR,1 out of 18 pages need OCR because they are less than 300 characters (pages: [17]),"[823, 1283, 1537, 2350, 2025, 1974, 2271, 1814, 1182, 1046, 837, 1257, 1268, 1214, 1549, 1914, 292, 4331]",Original,Original,both
100-1162,BOUNDARY 6.5EC HERBICIDE (NOT FOR SALE/USE/DIST ON LONG ISLAND)  (RESTRICTED AS OF 1/1/2007),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,True,Liquid,42332,NONE,AGRICULTURAL,True,BOUNDARY_6.5EC_HERBICIDE_(NOT_FOR_SALE_USE_DIST_ON_LONG_ISLAND)__(RESTRICTED_AS_OF_1_1_2007)_100-1162_PRIMARY_LABEL_589254.pdf,86384.0,"[1566, 1380, 1161, 2535, 3906, 4226, 3787, 3704, 3871, 3573, 3808, 3984, 2357, 3590, 3292, 1721, 1828, 1833, 2428, 2606, 2394, 2155, 3183, 2015, 2558, 4066, 2660, 800, 8139]",True,True,True,True,,,,False,,,,,both
100-1171,QUADRIS OPTI,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,42922,"AQUATIC INVERTEBRATES, FISH, WILDLIFE",AGRICULTURAL,True,QUADRIS_OPTI_100-1171_PRIMARY_LABEL_559529.pdf,58847.0,"[1309, 2154, 2814, 3511, 2805, 3137, 3444, 2975, 2724, 2785, 2007, 2288, 2016, 2531, 2095, 1887, 1945, 1995, 2049, 2731, 1819, 6876]",True,True,True,True,,,,False,,,,,both
100-1185,SEQUENCE HERBICIDE (NO USE IN NASSAU & SUFFOLK COUNTIES)  (RESTRICTED AS OF 1/1/2007),100,REGISTERED,1290656,CLOSED,ROUTINE,2024-11-22,JYOTHI MURUNDI,HERBICIDE,True,Liquid,98733,NONE,AGRICULTURAL,True,SEQUENCE_HERBICIDE_(NO_USE_IN_NASSAU_and_SUFFOLK_COUNTIES)__(RESTRICTED_AS_OF_1_1_2007)_100-1185_PRIMARY_LABEL_596940.pdf,121780.0,"[1546, 1523, 1831, 2803, 4078, 3912, 3820, 3916, 3811, 2613, 3728, 3044, 2811, 2893, 1428, 1462, 1477, 1222, 1786, 1968, 1824, 2109, 2373, 2341, 1735, 2836, 2286, 3231, 2997, 1326, 2445, 2360, 2590, 2442, 1853, 1984, 2896, 2243, 2377, 2250, 2309, 3790, 3289, 1372, 1427, 9417]",True,True,True,True,,,,False,,,,,both
100-1187,UNIFORM,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,162536,"AQUATIC INVERTEBRATES, FISH",AGRICULTURAL,True,UNIFORM_100-1187_PRIMARY_LABEL_504581.pdf,252.0,"[0, 0, 0, 0, 0, 0]",False,False,False,False,True,True,False,Page_specific_OCR,"6 out of 6 pages need OCR because they are less than 300 characters (pages: [1, 2, 3, 4, 5, 6])","[1198, 1714, 1103, 385, 2185, 2059]",OCR,OCR,none
100-1191,HERITAGE TL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,73373,"AQUATIC INVERTEBRATES, FISH",TURF,True,HERITAGE_TL_100-1191_PRIMARY_LABEL_544851.pdf,37347.0,"[1021, 1218, 1643, 2599, 1465, 1482, 2070, 2009, 1721, 2053, 2406, 1648, 1419, 1385, 1498, 1143, 1773, 1937, 370, 5625]",True,True,True,True,,,,False,,,,,both
100-1195,APRONMAXX RFC,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,97587,"AQUATIC INVERTEBRATES, FISH",SEED TREATMENT,True,APRONMAXX_RFC_100-1195_PRIMARY_LABEL_566290.pdf,24121.0,"[1057, 2468, 3826, 3795, 3971, 2398, 2180, 4090]",True,True,True,True,,,,False,,,,,both
100-1202,RIDOMIL GOLD SL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,108969,NONE,AGRICULTURAL,True,RIDOMIL_GOLD_SL_100-1202_PRIMARY_LABEL_544304.pdf,28787.0,"[1262, 2564, 3933, 3343, 2351, 3505, 3191, 1416, 6844]",True,True,False,True,,,,False,,,,,both
100-1202,ORONDIS GOLD B,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,212192,NONE,AGRICULTURAL,True,ORONDIS_GOLD_B_100-1202_PRIMARY_LABEL_590599.pdf,74272.0,"[843, 1088, 1102, 1631, 1724, 2814, 2417, 2657, 755, 2399, 2912, 2627, 3069, 1530, 1328, 2044, 1736, 880, 1285, 1070, 780, 705, 1219, 857, 879, 1055, 1046, 875, 690, 574, 1090, 670, 1147, 567, 575, 1011, 942, 836, 633, 1127, 609, 518, 641, 518, 610, 525, 813, 1028, 1289, 834, 1695, 1258, 2332, 430, 2224, 3313]",True,True,True,True,,,,False,,,,,both
100-1216,HEADWAY,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,109049,"AQUATIC INVERTEBRATES, FISH",TURF,True,HEADWAY_100-1216_PRIMARY_LABEL_544907.pdf,40559.0,"[1109, 1246, 1392, 1700, 2576, 1711, 1689, 2627, 1840, 1559, 1703, 2333, 1357, 1562, 1579, 1214, 1630, 1125, 342, 932, 2622, 358, 5359]",True,True,True,True,,,,False,,,,,both
100-1218,DEMON MAX,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"INSECTICIDE, TERMITICIDE",False,Liquid,100014,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, RESIDENTIAL, STRUCTURAL, TURF",True,DEMON_MAX_100-1218_PRIMARY_LABEL_553534.pdf,69916.0,"[1791, 1324, 2030, 2024, 2675, 2293, 2045, 2862, 2148, 1654, 2138, 1494, 2532, 2690, 2886, 2577, 2843, 2759, 2346, 2258, 2978, 2304, 788, 1345, 2342, 2275, 1784, 597, 2472, 420, 2799, 3053]",True,True,True,True,,,,False,,,,,none
100-1221,RIDOMIL GOLD BRAVO SC,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,108064,"AQUATIC INVERTEBRATES, FISH, WILDLIFE",AGRICULTURAL,True,RIDOMIL_GOLD_BRAVO_SC_100-1221_PRIMARY_LABEL_573568.pdf,59560.0,"[1199, 1175, 939, 2522, 3049, 4237, 3357, 3406, 4242, 2546, 3719, 2996, 1606, 2003, 1398, 2080, 1464, 2421, 2064, 4168, 2477, 5542]",True,True,True,True,,,,False,,,,,both
100-1226,ALTO 100 SL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,132723,NONE,AGRICULTURAL,True,ALTO_100_SL_100-1226_PRIMARY_LABEL_595962.pdf,44969.0,"[821, 1101, 596, 2415, 2891, 3472, 2948, 3726, 4275, 3246, 2759, 1727, 1468, 2181, 3469, 2194, 4950]",True,True,True,True,,,,False,,,,,both
100-1231,"INSTRATA  [MAXIMUM APPLICATION RATE ON LONG ISLAND 7 GALLONS/ACRE OR 20.5 FL. OZ. PER 1,000 SQ. FT.]",100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,208119,"AQUATIC INVERTEBRATES, FISH, WILDLIFE",TURF,True,"INSTRATA__[MAXIMUM_APPLICATION_RATE_ON_LONG_ISLAND_7_GALLONS_ACRE_OR_20.5_FL._OZ._PER_1,000_SQ._FT.]_100-1231_PRIMARY_LABEL_586917.pdf",40924.0,"[1376, 1911, 2537, 3277, 2849, 2977, 3103, 2801, 2373, 2493, 1704, 1743, 2095, 2662, 6381]",True,True,True,True,,,,False,,,,,both
100-1240,DEMAND G INSECTICIDE (DO NOT APPLY WITHIN 100FT OF COASTAL MARSH),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Solid,110565,"AQUATIC INVERTEBRATES, FISH","ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",True,DEMAND_G_INSECTICIDE_(DO_NOT_APPLY_WITHIN_100FT_OF_COASTAL_MARSH)_100-1240_PRIMARY_LABEL_539753.pdf,14908.0,"[1173, 4777, 2942, 4726, 1080]",True,True,True,True,,,,False,,,,,none
100-1242,SCHOLAR Max MP,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,236090,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, COMMERCIAL",True,SCHOLAR_Max_MP_100-1242_PRIMARY_LABEL_583205.pdf,22718.0,"[852, 1752, 2969, 4139, 3161, 1635, 3555, 415, 3862]",True,True,True,True,,,,False,,,,,none
100-1242,SCHOLAR SC FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,False,Liquid,120036,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, COMMERCIAL",True,SCHOLAR_SC_FUNGICIDE_100-1242_PRIMARY_LABEL_582739.pdf,35458.0,"[773, 1540, 1998, 1767, 2541, 2234, 1656, 1127, 1206, 1697, 1792, 1989, 1683, 752, 1219, 1466, 1305, 1683, 1929, 414, 3781]",True,True,True,True,,,,False,,,,,none
