Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,is_PDF_downloaded,pdf_filename
100-1014,TRIMMIT 2SC PLANT GROWTH REGULATOR,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,GROWTH REGULATOR,TRUE,TRIMMIT_2SC_PLANT_GROWTH_REGULATOR_100-1014_PRIMARY_LABEL_574491.pdf
100-1050,TALON-G RODENTICIDE BAIT PACK MINI-PELLETS CONTAINS BITREX,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,RODENTICIDE,TRUE,TALON-G_RODENTICIDE_BAIT_PACK_MINI-PELLETS_CONTAINS_BITREX_100-1050_PRIMARY_LABEL_537463.pdf
100-1055,TALON WEATHERBLOK XT                                                  ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,RODENTICIDE,TRUE,TALON_WEATHERBLOK_XT_100-1055_PRIMARY_LABEL_549522.pdf
100-1061,REGLONE DESICCANT,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,REGLONE_DESICCANT_100-1061_PRIMARY_LABEL_543578.pdf
100-1063,REWARD MANUFACTURING CONCENTRATE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,REWARD_MANUFACTURING_CONCENTRATE_100-1063_PRIMARY_LABEL_538287.pdf
100-1066,DEMAND CS INSECTICIDE (NO USE WITHIN 100 FT. OF COASTAL MARSHES) (2ee - brown marmorated stink bug/kudzu stink bug),100,REGISTERED,1197077,CLOSED,2EE,2020-06-01,SHAUN PETERSON,INSECTICIDE,TRUE,DEMAND_CS_INSECTICIDE_(NO_USE_WITHIN_100_FT._OF_COASTAL_MARSHES)_(2ee_-_brown_marmorated_stink_bug_kudzu_stink_bug)_100-1066_PRIMARY_LABEL_567889.pdf
100-1066,DEMAND CS INSECTICIDE (NO USE WITHIN 100 FT. OF COASTAL MARSHES),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,TRUE,DEMAND_CS_INSECTICIDE_(NO_USE_WITHIN_100_FT._OF_COASTAL_MARSHES)_100-1066_PRIMARY_LABEL_594285.pdf
100-1066,PATROL (2ee - Spotted Lanternfly),100,REGISTERED,1220455,CLOSED,2EE,2021-05-11,SHAUN PETERSON,INSECTICIDE,TRUE,PATROL_(2ee_-_Spotted_Lanternfly)_100-1066_PRIMARY_LABEL_574020.pdf
100-1066,DEMAND CS INSECTICIDE (NO USE WITHIN 100 FT. OF COASTAL MARSHES) (2ee - spotted lanternfly),100,REGISTERED,1189769,CLOSED,2EE,2020-01-29,SHAUN PETERSON,INSECTICIDE,TRUE,DEMAND_CS_INSECTICIDE_(NO_USE_WITHIN_100_FT._OF_COASTAL_MARSHES)_(2ee_-_spotted_lanternfly)_100-1066_PRIMARY_LABEL_566372.pdf
100-1066,PATROL (NO USE WITHIN 100' OF COASTAL MARSHES IN NYS) (2EE - BROWN MARMORATED STINK BUG AND KUDZU STINK BUG),100,REGISTERED,22512,CLOSED,2EE,2011-07-15,,INSECTICIDE,TRUE,PATROL_(NO_USE_WITHIN_100'_OF_COASTAL_MARSHES_IN_NYS)_(2EE_-_BROWN_MARMORATED_STINK_BUG_AND_KUDZU_STINK_BUG)_100-1066_PRIMARY_LABEL_528199.pdf
100-1066,PATROL (NO USE WITHIN 100' OF COASTAL MARSHES IN NYS),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,TRUE,PATROL_(NO_USE_WITHIN_100'_OF_COASTAL_MARSHES_IN_NYS)_100-1066_PRIMARY_LABEL_592697.pdf
100-1066,BORDER (no app within 100 ft of coastal marsh in ny),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,TRUE,BORDER_(no_app_within_100_ft_of_coastal_marsh_in_ny)_100-1066_PRIMARY_LABEL_560849.pdf
100-1070,"FUSILADE DX HERBICIDE (NOT FOR SALE, USE, OR DISTRIBUTION IN NASSAU AND SUFFOLK COUNTIES)",100,REGISTERED,1301365,CLOSED,ROUTINE,2025-06-05,MATTHEW J GOGIS,HERBICIDE,TRUE,"FUSILADE_DX_HERBICIDE_(NOT_FOR_SALE,_USE,_OR_DISTRIBUTION_IN_NASSAU_AND_SUFFOLK_COUNTIES)_100-1070_PRIMARY_LABEL_600147.pdf"
100-1075,FORCE 3G INSECTICIDE (NYS MAX RATE 0.164 LB AI/A/YR),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,TRUE,FORCE_3G_INSECTICIDE_(NYS_MAX_RATE_0.164_LB_AI_A_YR)_100-1075_PRIMARY_LABEL_552887.pdf
100-1084,FUSILADE II TURF AND ORNAMENTAL HERBICIDE (UNRESTRICTED 7/25/16)                          ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,FUSILADE_II_TURF_AND_ORNAMENTAL_HERBICIDE_(UNRESTRICTED_7_25_16)_100-1084_PRIMARY_LABEL_546000.pdf
100-1088,SCIMITAR GC INSECTICIDE (NO USE WITHIN 100' OF COASTAL MARSHES),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,TRUE,SCIMITAR_GC_INSECTICIDE_(NO_USE_WITHIN_100'_OF_COASTAL_MARSHES)_100-1088_PRIMARY_LABEL_541520.pdf
100-1093,HERITAGE FUNGICIDE (2EE - BROWN RING PATCH & RHIZOCTONIA LEAF AND SHEATH SPOT),100,REGISTERED,18585,CLOSED,2EE,2010-05-21,,FUNGICIDE,TRUE,HERITAGE_FUNGICIDE_(2EE_-_BROWN_RING_PATCH_and_RHIZOCTONIA_LEAF_AND_SHEATH_SPOT)_100-1093_PRIMARY_LABEL_522947.pdf
100-1093,HERITAGE FUNGICIDE (2EE - PYTHIUM ROOT DYSFUNCTION),100,REGISTERED,28211,CLOSED,2EE,2013-03-19,,FUNGICIDE,TRUE,HERITAGE_FUNGICIDE_(2EE_-_PYTHIUM_ROOT_DYSFUNCTION)_100-1093_PRIMARY_LABEL_534889.pdf
100-1093,HERITAGE FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,HERITAGE_FUNGICIDE_100-1093_PRIMARY_LABEL_545991.pdf
100-1093,HERITAGE FUNGICIDE (2EE - CERCOSPORA LEAF SPOT),100,REGISTERED,22802,CLOSED,2EE,2011-08-09,,FUNGICIDE,TRUE,HERITAGE_FUNGICIDE_(2EE_-_CERCOSPORA_LEAF_SPOT)_100-1093_PRIMARY_LABEL_527822.pdf
100-1093,HERITAGE FUNGICIDE (2EE - DOWNY MILDEW),100,REGISTERED,24110,CLOSED,2EE,2012-01-19,,FUNGICIDE,TRUE,HERITAGE_FUNGICIDE_(2EE_-_DOWNY_MILDEW)_100-1093_PRIMARY_LABEL_529961.pdf
100-1098,QUADRIS FLOWABLE FUNGICIDE (2EE - REDUCED RATES)                                        ,100,REGISTERED,6740,CLOSED,2EE,2006-11-22,,FUNGICIDE,TRUE,QUADRIS_FLOWABLE_FUNGICIDE_(2EE_-_REDUCED_RATES)_100-1098_PRIMARY_LABEL_505355.pdf
100-1098,ABOUND FLOWABLE FUNGICIDE,100,DISCONTINUED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,ABOUND_FLOWABLE_FUNGICIDE_100-1098_PRIMARY_LABEL_586477.pdf
100-1098,QUADRIS FLOWABLE FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,QUADRIS_FLOWABLE_FUNGICIDE_100-1098_PRIMARY_LABEL_583092.pdf
100-1098,AFRAME,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,AFRAME_100-1098_PRIMARY_LABEL_563258.pdf
100-1101,FLEXSTAR,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,FLEXSTAR_100-1101_PRIMARY_LABEL_560639.pdf
100-1101,SEDONA,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,SEDONA_100-1101_PRIMARY_LABEL_560640.pdf
100-1111,ARCHER INSECT GROWTH REGULATOR (RESTRICTED USE AS OF 3/7/16)                                        ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"GROWTH REGULATOR, MOSQUITO LARVICIDE",TRUE,ARCHER_INSECT_GROWTH_REGULATOR_(RESTRICTED_USE_AS_OF_3_7_16)_100-1111_PRIMARY_LABEL_544591.pdf
100-1131,EXPLORER HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,EXPLORER_HERBICIDE_100-1131_PRIMARY_LABEL_558449.pdf
100-1131,CALLISTO HERBICIDE (2EE - TANK MIX),100,REGISTERED,6740,CLOSED,2EE,2006-11-22,,HERBICIDE,TRUE,CALLISTO_HERBICIDE_(2EE_-_TANK_MIX)_100-1131_PRIMARY_LABEL_507012.pdf
100-1131,CALLISTO HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,CALLISTO_HERBICIDE_100-1131_PRIMARY_LABEL_573044.pdf
100-1139,BARRICADE 4FL HERBICIDE (UNRESTRICTED 1/1/2015),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,BARRICADE_4FL_HERBICIDE_(UNRESTRICTED_1_1_2015)_100-1139_PRIMARY_LABEL_594407.pdf
100-1139,RESOLUTE 4FL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,RESOLUTE_4FL_100-1139_PRIMARY_LABEL_594408.pdf
100-1141,DIVIDEND EXTREME FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,DIVIDEND_EXTREME_FUNGICIDE_100-1141_PRIMARY_LABEL_566453.pdf
100-1158,MAXIM MZ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,MAXIM_MZ_100-1158_PRIMARY_LABEL_566354.pdf
100-1159,DYNASTY,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,DYNASTY_100-1159_PRIMARY_LABEL_544699.pdf
100-1162,BOUNDARY 6.5EC HERBICIDE (NOT FOR SALE/USE/DIST ON LONG ISLAND)  (RESTRICTED AS OF 1/1/2007),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,BOUNDARY_6.5EC_HERBICIDE_(NOT_FOR_SALE_USE_DIST_ON_LONG_ISLAND)__(RESTRICTED_AS_OF_1_1_2007)_100-1162_PRIMARY_LABEL_589254.pdf
100-1171,QUADRIS OPTI,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,QUADRIS_OPTI_100-1171_PRIMARY_LABEL_559529.pdf
100-1185,SEQUENCE HERBICIDE (NO USE IN NASSAU & SUFFOLK COUNTIES)  (RESTRICTED AS OF 1/1/2007),100,REGISTERED,1290656,CLOSED,ROUTINE,2024-11-22,JYOTHI MURUNDI,HERBICIDE,TRUE,SEQUENCE_HERBICIDE_(NO_USE_IN_NASSAU_and_SUFFOLK_COUNTIES)__(RESTRICTED_AS_OF_1_1_2007)_100-1185_PRIMARY_LABEL_596940.pdf
100-1187,UNIFORM,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,UNIFORM_100-1187_PRIMARY_LABEL_504581.pdf
100-1191,HERITAGE TL (2EE - BROWN RING PATCH),100,REGISTERED,18585,CLOSED,2EE,2010-05-21,,FUNGICIDE,TRUE,HERITAGE_TL_(2EE_-_BROWN_RING_PATCH)_100-1191_PRIMARY_LABEL_522949.pdf
100-1191,HERITAGE TL (2EE - PYTHIUM ROOT DYSFUNCTION),100,REGISTERED,28211,CLOSED,2EE,2013-03-19,,FUNGICIDE,TRUE,HERITAGE_TL_(2EE_-_PYTHIUM_ROOT_DYSFUNCTION)_100-1191_PRIMARY_LABEL_534891.pdf
100-1191,HERITAGE TL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,HERITAGE_TL_100-1191_PRIMARY_LABEL_544851.pdf
100-1195,APRONMAXX RFC,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,APRONMAXX_RFC_100-1195_PRIMARY_LABEL_566290.pdf
100-1202,RIDOMIL GOLD SL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,RIDOMIL_GOLD_SL_100-1202_PRIMARY_LABEL_544304.pdf
100-1202,ORONDIS GOLD B,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,ORONDIS_GOLD_B_100-1202_PRIMARY_LABEL_590599.pdf
100-1216,HEADWAY,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,HEADWAY_100-1216_PRIMARY_LABEL_544907.pdf
100-1216,HEADWAY (2EE - BROWN RING PATCH),100,REGISTERED,19256,CLOSED,2EE,2010-07-28,,FUNGICIDE,TRUE,HEADWAY_(2EE_-_BROWN_RING_PATCH)_100-1216_PRIMARY_LABEL_523551.pdf
100-1218,DEMON MAX,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"INSECTICIDE, TERMITICIDE",TRUE,DEMON_MAX_100-1218_PRIMARY_LABEL_553534.pdf
100-1221,RIDOMIL GOLD BRAVO SC,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,RIDOMIL_GOLD_BRAVO_SC_100-1221_PRIMARY_LABEL_573568.pdf
100-1226,ALTO 100 SL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,ALTO_100_SL_100-1226_PRIMARY_LABEL_595962.pdf
100-1231,"INSTRATA  [MAXIMUM APPLICATION RATE ON LONG ISLAND 7 GALLONS/ACRE OR 20.5 FL. OZ. PER 1,000 SQ. FT.]",100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,"INSTRATA__[MAXIMUM_APPLICATION_RATE_ON_LONG_ISLAND_7_GALLONS_ACRE_OR_20.5_FL._OZ._PER_1,000_SQ._FT.]_100-1231_PRIMARY_LABEL_586917.pdf"
100-1240,DEMAND G INSECTICIDE (DO NOT APPLY WITHIN 100FT OF COASTAL MARSH),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,TRUE,DEMAND_G_INSECTICIDE_(DO_NOT_APPLY_WITHIN_100FT_OF_COASTAL_MARSH)_100-1240_PRIMARY_LABEL_539753.pdf
100-1242,SCHOLAR Max MP,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,SCHOLAR_Max_MP_100-1242_PRIMARY_LABEL_583205.pdf
100-1242,SCHOLAR SC FUNGICIDE (2EE - ALTERNARIA ROT AND SURFACE MOLD),100,REGISTERED,16414,CLOSED,2EE,2009-09-09,,FUNGICIDE,TRUE,SCHOLAR_SC_FUNGICIDE_(2EE_-_ALTERNARIA_ROT_AND_SURFACE_MOLD)_100-1242_PRIMARY_LABEL_519952.pdf
100-1242,SCHOLAR SC FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,SCHOLAR_SC_FUNGICIDE_100-1242_PRIMARY_LABEL_582739.pdf
100-1248,CRUISERMAXX POTATO INSECTICIDE AND FUNGICIDE (NO NASSAU OR SUFFOLK - SELF-IMPOSED BY SYNGENTA) (RESTRICTED USE AS OF 1/1/2023),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"FUNGICIDE, INSECTICIDE",TRUE,CRUISERMAXX_POTATO_INSECTICIDE_AND_FUNGICIDE_(NO_NASSAU_OR_SUFFOLK_-_SELF-IMPOSED_BY_SYNGENTA)_(RESTRICTED_USE_AS_OF_1_1_2023)_100-1248_PRIMARY_LABEL_581400.pdf
100-1254,REVUS FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,REVUS_FUNGICIDE_100-1254_PRIMARY_LABEL_582554.pdf
100-1256,AXIAL XL HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,AXIAL_XL_HERBICIDE_100-1256_PRIMARY_LABEL_583138.pdf
100-1259,ABAMECTIN TECHNICAL II,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"INSECTICIDE, MITICIDE, NEMATICIDE",TRUE,ABAMECTIN_TECHNICAL_II_100-1259_PRIMARY_LABEL_574051.pdf
100-1260,OPTIGARD ANT GEL BAIT,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,TRUE,OPTIGARD_ANT_GEL_BAIT_100-1260_PRIMARY_LABEL_577957.pdf
100-1267,TENACITY,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,TRUE,TENACITY_100-1267_PRIMARY_LABEL_585478.pdf
100-1268,PREFIX HERBICIDE (NOT FOR USE IN NASSAU / SUFFOLK COUNTIES),100,REGISTERED,1295227,CLOSED,ROUTINE,2025-02-24,MATTHEW J GOGIS,HERBICIDE,TRUE,PREFIX_HERBICIDE_(NOT_FOR_USE_IN_NASSAU___SUFFOLK_COUNTIES)_100-1268_PRIMARY_LABEL_598328.pdf
100-1269,RIDOMIL GOLD MZ WG,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,RIDOMIL_GOLD_MZ_WG_100-1269_PRIMARY_LABEL_568308.pdf
100-1276,ENDIGO ZC (NO LI) (NYS SPECIFIC LANGUAGE - USE RATE AND BUFFER ZONE),100,REGISTERED,1305354,CLOSED,ROUTINE,2025-08-15,KATHERINE HETTER,INSECTICIDE,TRUE,ENDIGO_ZC_(NO_LI)_(NYS_SPECIFIC_LANGUAGE_-_USE_RATE_AND_BUFFER_ZONE)_100-1276_PRIMARY_LABEL_602319.pdf
100-1278,REVUS TOP,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,REVUS_TOP_100-1278_PRIMARY_LABEL_539539.pdf
100-1282,"KOBRIX GT (NO SALE, DISTRIBUTION OR USE IN NASSAU AND SUFFOLK COUNTIES)",100,REGISTERED,1298524,CLOSED,ROUTINE,2025-04-15,MATTHEW J GOGIS,HERBICIDE,TRUE,"KOBRIX_GT_(NO_SALE,_DISTRIBUTION_OR_USE_IN_NASSAU_AND_SUFFOLK_COUNTIES)_100-1282_PRIMARY_LABEL_599819.pdf"
100-1282,"HALEX GT HERBICIDE (NO sale, distribution or use IN NASSAU and SUFFOLK COUNTies)",100,REGISTERED,1295632,CLOSED,ROUTINE,2025-03-04,SHAUN PETERSON,HERBICIDE,TRUE,"HALEX_GT_HERBICIDE_(NO_sale,_distribution_or_use_IN_NASSAU_and_SUFFOLK_COUNTies)_100-1282_PRIMARY_LABEL_598481.pdf"
100-1283,ADAGE ST (RESTRICTED USE AS OF 1/1/2023),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"FUNGICIDE, INSECTICIDE",TRUE,ADAGE_ST_(RESTRICTED_USE_AS_OF_1_1_2023)_100-1283_PRIMARY_LABEL_564770.pdf
100-1290,OPTIGARD COCKROACH GEL BAIT,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,TRUE,OPTIGARD_COCKROACH_GEL_BAIT_100-1290_PRIMARY_LABEL_594287.pdf
100-1291,PLATINUM 75 SG INSECTICIDE (NO LI) (NY MAX USE RATE 0.188 LB AI/ACRE/YEAR),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,TRUE,PLATINUM_75_SG_INSECTICIDE_(NO_LI)_(NY_MAX_USE_RATE_0.188_LB_AI_ACRE_YEAR)_100-1291_PRIMARY_LABEL_538289.pdf
100-1295,WARRIOR II WITH ZEON TECHNOLOGY (25 FOOT BUFFER STRIP TO COASTAL MARSHES) (2EE - SWEDE MIDGE),100,REGISTERED,30134,CLOSED,2EE,2013-10-29,,INSECTICIDE,TRUE,WARRIOR_II_WITH_ZEON_TECHNOLOGY_(25_FOOT_BUFFER_STRIP_TO_COASTAL_MARSHES)_(2EE_-_SWEDE_MIDGE)_100-1295_PRIMARY_LABEL_536842.pdf
100-1295,LAMCAP II (25 FOOT BUFFER STRIP TO COASTAL MARSHES),100,REGISTERED,1306908,CLOSED,ROUTINE,2025-09-11,KATHERINE HETTER,INSECTICIDE,TRUE,LAMCAP_II_(25_FOOT_BUFFER_STRIP_TO_COASTAL_MARSHES)_100-1295_PRIMARY_LABEL_602779.pdf
100-1295,WARRIOR II WITH ZEON TECHNOLOGY (25 FOOT BUFFER STRIP TO COASTAL MARSHES),100,REGISTERED,1306909,CLOSED,ROUTINE,2025-09-11,KATHERINE HETTER,INSECTICIDE,TRUE,WARRIOR_II_WITH_ZEON_TECHNOLOGY_(25_FOOT_BUFFER_STRIP_TO_COASTAL_MARSHES)_100-1295_PRIMARY_LABEL_602780.pdf
100-1308,Archive,100,REGISTERED,1302170,CLOSED,ROUTINE,2025-06-20,MATTHEW J GOGIS,FUNGICIDE,TRUE,Archive_100-1308_PRIMARY_LABEL_600538.pdf
100-1311,QUADRIS RIDOMIL GOLD SL FUNGICDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,QUADRIS_RIDOMIL_GOLD_SL_FUNGICDE_100-1311_PRIMARY_LABEL_544304.pdf
100-1313,Amistar top,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,Amistar_top_100-1313_PRIMARY_LABEL_572012.pdf
100-1313,QUADRIS TOP FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,QUADRIS_TOP_FUNGICIDE_100-1313_PRIMARY_LABEL_569533.pdf
100-1315,RENOWN FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,RENOWN_FUNGICIDE_100-1315_PRIMARY_LABEL_533194.pdf
100-1317,INSPIRE SUPER,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,TRUE,INSPIRE_SUPER_100-1317_PRIMARY_LABEL_580070.pdf
