original_target_name,original_crop,original_target_type,new_target_name,new_target_type,deployed,main_target_list,,,,,,
Blister Beetle spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Blossom Blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Blotch Leafminer,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Blue Alfalfa Aphid,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Boll Worms,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Boll weevils,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Borers,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Botrytis,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Botrytis (shoot and flower blight),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Botrytis cinerea,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Botrytis spp,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Botrytis spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Brown Rot Blossom Blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Brown Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Brown rot/leaf spots/smuts,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Budworms,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Burkholderia glumae,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Burrowing nematode (Radopholus similis),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cabbage looper,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cabbage loopers,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Canada thistle,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Casebearers,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Caterpillars,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cephalosporium maydis,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cercospora & Leptosphaerulina Leaf Spots,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cercospora Blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cercospora Leaf Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cercospora Leaf Spots,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cercospora medicaginis,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cereal Leaf Beetle,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Charcoal Rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Chinch bug,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Citrus nematode (Tylenchulus semipenetrans),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cladosporium spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Clover Leaf Weevil spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Clover Root Borer (Adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Clover Root Curculio spp. (Adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Clover Stem Borer (Adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Codling Moth,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Colletotrichum (anthracnose),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Colletotrichum trifolii,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Colorado Potato Beetle,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Colorado Potato Beetles,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Common Leaf Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Common leaf spot (Pseudopeziza medicaginis),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Common leaf spot (Pseudopezizza medicaginis),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Corn Earworm,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Corn Rootworm,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Corn beetles,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Coryneum Blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cotton Root Rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cowpea Aphid,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cowpea Curculio (Adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cowpea Weevil (Adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Crown Rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Crown Rot Complex,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cucumber Beetle Spp. (Adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cucumber Beetles,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cucumber beetle,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cucumber beetle (adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cut Worms,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cutworm species,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cutworm spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cutworms,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cylindrocladium,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Cyst nematodes (Heterodera and Globodera species),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Dagger nematodes (Xiphinema species),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Damping Off,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Damping-Off,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Damping-off (Pythium spp.),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Damping-off caused by seed-borne and soil-borne fungi,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Damping-off fungus,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Damping-off fungus (Pythium spp.),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Damping-off fungus (Rhizoctonia spp.),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Decay caused by seed-borne and soil-borne fungi,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
"Decay, damping-off, and seedling blight caused by seed-borne and soil-borne fungi.",Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Diamondback Moths,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Didymella bryoniae,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Downy Mildew,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Downy Mildews,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Downy mildew (Peronospora trifoliorum),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Ear Worms,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Early blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Early season Phytophthora control,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Early-season Phytophthora,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Egyptian Alfalfa Weevil,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Erwinia,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Erysiphe (powdery mildew),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Erysiphe spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fagot Worms,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fall Armyworm,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fall Armyworms,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
False root knot nematodes (Naccobus species),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fireblight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Flea Beetles,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Flea Hopper,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Flies,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fly speck,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Frog-eyed Leaf Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fruit Flies,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fungi/oomycetes,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fungus Gnats,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fusarium,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
"Fusarium (root-rot, leaf spot, Pink Snow Mold)",Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fusarium Crown and Root Rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fusarium Wilt,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fusarium seedling blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fusarium seedling blight (Fusarium spp.),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Fusarium spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Gibberella fujikuroi,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Gnats,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Grape Berry Moths,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Grape Colaspis (Adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Grasshopper,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Grasshopper species,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Grasshopper spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Grasshoppers,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Gray Leaf Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Gray Mold,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Greasy Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Green Cloverworm,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Green June Beetle (Adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Green Peach Aphid,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Grey leafspot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Grubs,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Gypsy Moths,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Hessian Fly,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Hornworms,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Imported Fire Ant,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Japanese Beetle (Adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Japanese Beetles,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Japanese beetle,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Lance nematodes (Hoplolaimus species),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leaf Blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leaf Miners,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leaf Perforators,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leaf Rust,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leaf Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leaf Spot Complex,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leaf spot (Leptosphaerulina briosiani),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leafhopper species,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leafhopper spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leafhoppers,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leafminers,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leafrollers,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Lepto leafspot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Lepto leafspot (Leptosphaerulina briosiana),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leptosphaeria lindquistii,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leptosphaeruiina Leaf Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leptosphaerulina Leaf Spots,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leptosphaerulina briosiana,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Leptosphaerulina leaf spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Lesion nematodes (Pratylenchus species),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Lewptosphaerulina leaf spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Looper spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Loopers,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Lygus,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Lygus (suppression),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Lygus Bug,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Macrophomina,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Macrophomina phaseolina,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Macrophomina spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Maggots,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Magnaporthe oryzae,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Meadow Spittlebug,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Mexican Bean Beetle,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Mexican Beetles,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Mildew,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Mite,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Mites,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
"Mites (Atlantic, Pacific, Strawberry, Red spider)",Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Mites (Pacific),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Mites (Red spider),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Mites (Strawberry/Atlantic),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Molds,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Monilinea fruit and blossom rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Mormon Cricket,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Moths,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Mummy Berry,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Mycosphaerella spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Needle nematodes (Longidorus species),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Nematodes,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Northern Leaf Blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Olpidium,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Onion Maggots,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Orange Tortrix,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pachymetra,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pacific Spider Mites,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pacific mite,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pacific mites,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pea Aphid,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pea Weevil (Adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Penicillium spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pepper Weevils,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Perennial Broadleaf Weeds,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Peronophthora,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Peronosclerospora,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Phoma (spring black stem and leaf spot),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Phomopsis,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Phomopsis blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Phomopsis spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Phylloxera,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Physoderma,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Phytophthora,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
"Phytophthora (blights, rots)",Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Phytophthora medicaginis,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Phytophthora root rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Phytophthora spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pickle Worms,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pin nematodes (Paratylenchus species),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Plant Bug spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Plant Bugs,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Plasmodiophora,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Plasmopara,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pod and Stem Blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Polymyxa,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Post-bloom fruit drop,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Potato Flea Beetles,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Potato Leaf Hopper,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Potato leafhopper,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Potato leafhoppers,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Powdery Mildew,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Powdery Mildews,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Powdery mildew (Erysiphe pisi),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pseudoperonospora,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pseudopeziza medicaginis,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Psylla,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Psyllids,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pythium,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pythium (root rot),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pythium damping off,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pythium damping-off,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pythium damping-off and early season Phytophthora,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pythium damping-off control,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Pythium spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Ralstonia solanacearum,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Red Spider Mites,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Red spider mite,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Reniform nematode (Rotylenchulus reniformis),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rhizoctonia,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
"Rhizoctonia (blight, stem rot)",Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rhizoctonia Solani,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rhizoctonia and Stem Blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rhizoctonia blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rhizoctonia blight/black patch,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rhizoctonia blight/black patch (Rhizoctonia spp.),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rhizoctonia root rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rhizoctonia spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rhizophydium,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rice blast,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
"Ring nematodes (Criconemoides, Criconemella and Mesocriconema species)",Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Root Rot (Phytophthora spp.),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Root Worms,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Root disease,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Root rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Root-knot nematodes (Meloidogyne species),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rootworm,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rosellinia spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rust,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rust (Uromyces spp.),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rust Mites,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Rusts,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Salmonella enterica,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
San Jose Scale,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Scab,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Scabs,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Scales,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Scales (soft scale),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerophthora,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerospora,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerotinia,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerotinia Crown Rot and Wilt,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerotinia Crown Rot and Wilt on Clover,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerotinia Sclerotiorum,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerotinia crown and stem rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerotinia minor,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerotinia spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerotinia stem and crown rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerotium rolfsii,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sclerotium spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Seed Decay,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Seed corn Maggot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Seed rot and damping-off caused by Rhizoctonia solani,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Seedcorn maggot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Seedling Diseases,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Seedling blight caused by seed-borne and soil-borne fungi,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Seedling diseases caused by Fusarium spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Septoria,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Septoria Brown Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Septoria Leaf/Speckled Leaf Spot/Blotch,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Septoria leaf spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sharpshooters,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Sheath spot/blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Shiga-toxin producing Escherichia coli O157:H7,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Shot Hole,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Shothole,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
