Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,is_PDF_downloaded,concat_sub,lookup
4091-23,MOLD ARMOR mold & mildew killer + Quick Stain Remover,4091,REGISTERED,1288102,CLOSED,ROUTINE,2024-10-29,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,moldarmormoldmildewkiller+quickstainremover4091-23,FALSE
8730-57-42697,SAFER BRAND THE JAPANESE BEETLE TRAP,42697,REGISTERED,1277678,CLOSED,ROUTINE,2024-04-30,KATHERINE HETTER,INSECTICIDE,False,saferbrthejapanesebeetletrap8730-57-42697,FALSE
432-1318,LESCO BANDIT 75 WSP INSECTICIDE (NO SOIL INJECTION ON LONG ISLAND) (2EE - ASIAN LONGHORNED BEETLE),432,REGISTERED,27775,CLOSED,2EE,2013-02-22,,INSECTICIDE,False,lescobit75wspinsecticide(nosoilinjectiononlongisl)(2ee-asianlonghornedbeetle)432-1318,FALSE
432-1464,DYLOX 420 SL TURF AND ORNAMENTAL INSECTICIDE,432,REGISTERED,1308527,,ROUTINE,,,INSECTICIDE,False,dylox420slturfornamentalinsecticide432-1464,FALSE
706-65-45133,DISINFECTANT CLEANER,45133,REGISTERED,1302849,CLOSED,ROUTINE,2025-08-22,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, FUNGICIDE",False,disinfectantcleaner706-65-45133,FALSE
45728-12,ZIRAM GRANUFLO,45728,REGISTERED,1281734,CLOSED,ROUTINE,2024-06-14,MATTHEW J GOGIS,FUNGICIDE,False,ziramgranuflo45728-12,FALSE
45728-7,FERBAM GRANUFLO,45728,DISCONTINUED,1273338,CLOSED,ROUTINE,2024-02-21,KATHERINE HETTER,FUNGICIDE,False,ferbamgranuflo45728-7,FALSE
10324-85-68613,PRIME SOURCE LUSTER NON-ACID BOWL CLEANER/DISINFECTANT,45745,REGISTERED,1292363,CLOSED,ROUTINE,2025-01-09,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,primesourcelusternon-acidbowlcleanerdisinfectant10324-85-68613,FALSE
1021-1761-47000,SUREKILL ADVANCED INSECTICIDE PRODUCTS FLUSHER,47000,REGISTERED,1288092,CLOSED,ROUTINE,2024-10-29,JYOTHI MURUNDI,INSECTICIDE,False,surekilladvancedinsecticideproductsflusher1021-1761-47000,FALSE
47000-177,Prozap Fly-Die Equine Spray,47000,REGISTERED,1288092,CLOSED,ROUTINE,2024-10-29,JYOTHI MURUNDI,INSECTICIDE,False,prozapfly-dieequinespray47000-177,FALSE
47000-179,SUREKILL SK100                                    ,47000,REGISTERED,1288092,CLOSED,ROUTINE,2024-10-29,JYOTHI MURUNDI,INSECTICIDE,False,surekillsk10047000-179,FALSE
47000-69,PROZAP DY-FLY AEROSOL INSECTICIDE,47000,REGISTERED,1288092,CLOSED,ROUTINE,2024-10-29,JYOTHI MURUNDI,INSECTICIDE,False,prozapdy-flyaerosolinsecticide47000-69,FALSE
47000-73,SUREKILL ADVANCED INSECTICIDE PRODUCTS CT-511                                       ,47000,REGISTERED,1288092,CLOSED,ROUTINE,2024-10-29,JYOTHI MURUNDI,"INSECTICIDE, REPELLENT",False,surekilladvancedinsecticideproductsct-51147000-73,FALSE
4822-452,raid defend concentrated deep reach fogger,4822,REGISTERED,1301819,CLOSED,ROUTINE,2025-06-12,MATTHEW J GOGIS,INSECTICIDE,False,raiddefendconcentrateddeepreachfogger4822-452,FALSE
4822-561,RAID MAX PERIMETER PROTECTION,4822,REGISTERED,1303054,CLOSED,ROUTINE,2025-07-03,SHAUN PETERSON,INSECTICIDE,False,raidmaxperimeterprotection4822-561,FALSE
4822-601,RAID MAX NO MESS DRY FOGGER (FRESH SCENT),4822,REGISTERED,1297625,CLOSED,ROUTINE,2025-05-21,KATHERINE HETTER,INSECTICIDE,False,raidmaxnomessdryfogger(freshscent)4822-601,FALSE
4822-605,off! backyard mosquito lamp,4822,REGISTERED,1297625,CLOSED,ROUTINE,2025-05-21,KATHERINE HETTER,REPELLENT,False,off!backyardmosquitolamp4822-605,FALSE
748-239-8185,BIOGUARD CLC CLASSIC,5185,DISCONTINUED,1297636,CLOSED,ROUTINE,2025-04-30,JYOTHI MURUNDI,"ALGAECIDE, ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,bioguardclcclassic748-239-8185,FALSE
524-343,ROUNDUP CUSTOM FOR AQUATIC & TERRESTRIAL USE,524,REGISTERED,1273291,CLOSED,ROUTINE,2024-02-12,KATHERINE HETTER,HERBICIDE,False,roundupcustomforaquaticterrestrialuse524-343,FALSE
239-2640-538,LIQUID TURF BUILDER WITH PLUS 2 WEED CONTROL,538,REGISTERED,1294605,CLOSED,ROUTINE,2025-02-11,KATHERINE HETTER,HERBICIDE,False,liquidturfbuilderwithplus2weedcontrol239-2640-538,FALSE
239-2701-538,"ROUNDUP FOR LAWNS BUG DESTROYER (NO USE WITHIN 100 FEET OF WATER) (NO SALE, USE, DISTRIBUTION IN NASSAU, SUFFOLK, KINGS & QUEENS COUNTIES)",538,REGISTERED,1273294,CLOSED,ROUTINE,2024-02-05,KATHERINE HETTER,INSECTICIDE,False,"roundupforlawnsbugdestroyer(nousewithin100feetofwater)(nosale,use,distributioninnassau,suffolk,kingsqueenscounties)239-2701-538",FALSE
538-190,TURF BUILDER ESSENTIALS HALTS CRABGRASS PREVENTER WITH LAWN FOOD,538,REGISTERED,1273294,CLOSED,ROUTINE,2024-02-05,KATHERINE HETTER,HERBICIDE,False,turfbuilderessentialshaltscrabgrasspreventerwithlawnfood538-190,FALSE
538-282,Scotts TURF BUILDER annual program fall,538,REGISTERED,1273294,CLOSED,ROUTINE,2024-02-05,KATHERINE HETTER,HERBICIDE,False,scottsturfbuilderannualprogramfall538-282,FALSE
1021-1866-53853,BLACK FLAG FOGGING INSECTICIDE FORMULA 2,53853,REGISTERED,1277715,CLOSED,ROUTINE,2024-04-17,JYOTHI MURUNDI,INSECTICIDE,False,blackflagfogginginsecticideformula21021-1866-53853,FALSE
279-3607-53883,martin's malathion 57%,53883,DISCONTINUED,1288087,CLOSED,ROUTINE,2024-10-29,KATHERINE HETTER,"INSECTICIDE, MITICIDE",False,martin'smalathion57%279-3607-53883,FALSE
53883-314,QUALI-PRO ETHEPHON 2SL,53883,REGISTERED,1297540,CLOSED,ROUTINE,2025-04-03,JYOTHI MURUNDI,GROWTH REGULATOR,False,quali-proethephon2sl53883-314,FALSE
53883-439,Eraser maxx,53883,REGISTERED,1288087,CLOSED,ROUTINE,2024-10-29,KATHERINE HETTER,HERBICIDE,False,erasermaxx53883-439,FALSE
91234-199-53883,Gateway Fungicide,53883,REGISTERED,1288087,CLOSED,ROUTINE,2024-10-29,KATHERINE HETTER,FUNGICIDE,False,gatewayfungicide91234-199-53883,FALSE
91234-285-53883,Martin's Cy-Ren Pour-On,53883,REGISTERED,1288087,CLOSED,ROUTINE,2024-10-29,KATHERINE HETTER,INSECTICIDE,False,martin'scy-renpour-on91234-285-53883,FALSE
5481-677,PYTHON HERBICIDE (NO USE IN NASSAU & SUFFOLK COUNITES NY) (NO AERIAL APPL. in NYS),5481,REGISTERED,1297632,CLOSED,ROUTINE,2025-05-12,KATHERINE HETTER,HERBICIDE,False,pythonherbicide(nouseinnassausuffolkcounitesny)(noaerialappl.innys)5481-677,FALSE
5481-8973,ORTHENE PCO PELLETS,5481,REGISTERED,1297632,CLOSED,ROUTINE,2025-05-12,KATHERINE HETTER,INSECTICIDE,False,orthenepcopellets5481-8973,FALSE
550-200,CHLORINE,550,REGISTERED,1273335,CLOSED,ROUTINE,2024-02-08,JYOTHI MURUNDI,"ALGAECIDE, ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,chlorine550-200,FALSE
55146-159,SALIENT TMI seed treatment,55146,REGISTERED,1308535,IN REVIEW,ROUTINE,2025-10-23,KATHERINE HETTER,"FUNGICIDE, INSECTICIDE",False,salienttmiseedtreatment55146-159,FALSE
55146-162,Trunemco Soybean,55146,REGISTERED,1308535,IN REVIEW,ROUTINE,2025-10-23,KATHERINE HETTER,NEMATICIDE,False,trunemcosoybean55146-162,FALSE
55541-2,COUNTER ASSAULT BEAR DETERRENT,55541,REGISTERED,1292458,CLOSED,ROUTINE,2025-02-27,JYOTHI MURUNDI,REPELLENT,False,counterassaultbeardeterrent55541-2,FALSE
55852-6,BLEACH CONCENTRATED1,55852,REGISTERED,1286218,CLOSED,ROUTINE,2024-09-11,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,bleachconcentrated155852-6,FALSE
6836-336-101229,ESSENTIAL EVERYDAY DISINFECTING WIPES2 (FRESH SCENT),56952,REGISTERED,1304620,CLOSED,ROUTINE,2025-08-05,MATTHEW J GOGIS,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,essentialeverydaydisinfectingwipes2(freshscent)6836-336-101229,FALSE
57787-9,SWIMWAY GRANULAR 56,57787,REGISTERED,1302830,CLOSED,ROUTINE,2025-08-25,KATHERINE HETTER,"ALGAECIDE, ANTIMICROBIAL, DISINFECTANT",False,swimwaygranular5657787-9,FALSE
5813-113,CLOROX SCENTIVA DISINFECTING WET MOPPING CLOTHS (GRAPEFRUIT & ORANGE BLOSSOM),5813,REGISTERED,1297626,CLOSED,ROUTINE,2025-04-14,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,cloroxscentivadisinfectingwetmoppingcloths(grapefruitorangeblossom)5813-113,FALSE
5813-113,Clorox Scentiva Disinfecting Wet Mopping Cloths (pacific breeze & Coconut),5813,REGISTERED,1297626,CLOSED,ROUTINE,2025-04-14,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,cloroxscentivadisinfectingwetmoppingcloths(pacificbreezecoconut)5813-113,FALSE
5813-131,clorox bathroom foamer concentrated refills (fresh Scent),5813,REGISTERED,1297626,CLOSED,ROUTINE,2025-04-14,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,cloroxbathroomfoamerconcentratedrefills(freshscent)5813-131,FALSE
5813-73,FORMULA 409 MULTI-SURFACE CLEANER                                                       ,5813,REGISTERED,1297626,CLOSED,ROUTINE,2025-04-14,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,formula409multi-surfacecleaner5813-73,FALSE
5813-73,Clorox Disinfecting Mist (Fresh Mint Eucalyptus),5813,REGISTERED,1297626,CLOSED,ROUTINE,2025-04-14,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,cloroxdisinfectingmist(freshminteucalyptus)5813-73,FALSE
5813-79,clorox scentiva disinfecting wipes1 (Tuscan Lavender & Jasmine),5813,REGISTERED,1297626,CLOSED,ROUTINE,2025-04-14,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,cloroxscentivadisinfectingwipes1(tuscanlavenderjasmine)5813-79,FALSE
5905-637,omni brand paraquat,5905,REGISTERED,1277665,CLOSED,ROUTINE,2024-05-08,KATHERINE HETTER,HERBICIDE,False,omnibrparaquat5905-637,FALSE
62719-260-5905,CROSSBOW,5905,REGISTERED,1277665,CLOSED,ROUTINE,2024-05-08,KATHERINE HETTER,"HERBICIDE, INSECTICIDE",False,crossbow62719-260-5905,FALSE
71637-2-5905,TRICO pro,5905,REGISTERED,1277665,CLOSED,ROUTINE,2024-05-08,KATHERINE HETTER,REPELLENT,False,tricopro71637-2-5905,FALSE
71840-5-5905,FIRST UP ASSIST (Sold as part of a seed treatment kit),5905,REGISTERED,1305698,CLOSED,ROUTINE,2025-08-21,KATHERINE HETTER,FUNGICIDE,False,firstupassist(soldaspartofaseedtreatmentkit)71840-5-5905,FALSE
7969-448-5905,HELENA GLUFOSINATE 280 SL HERBICIDE (NO USE IN NASSAU & SUFFOLK COUNTIES),5905,REGISTERED,1277665,CLOSED,ROUTINE,2024-05-08,KATHERINE HETTER,HERBICIDE,False,helenaglufosinate280slherbicide(nouseinnassausuffolkcounties)7969-448-5905,FALSE
89333-1-5905,omni brand mancozeb 75 wdg,5905,REGISTERED,1286522,CLOSED,ROUTINE,2024-09-16,KATHERINE HETTER,FUNGICIDE,False,omnibrmancozeb75wdg89333-1-5905,FALSE
sln ny-160002,TRYCERA  (EPA REG. NO. 5905-580),5905,REGISTERED,1277665,CLOSED,SPECIAL LOCAL NEED,2024-05-08,KATHERINE HETTER,HERBICIDE,False,trycera(epareg.no.5905-580)slnny-160002,FALSE
19713-642-59144,KnockOut Weed & Grass Killer II Ready To Use,59144,REGISTERED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,knockoutweedgrasskilleriireadytouse19713-642-59144,FALSE
19713-714-59144,eliminator weed & grass killer5 ready-to-use,59144,DISCONTINUED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,eliminatorweedgrasskiller5ready-to-use19713-714-59144,FALSE
2217-1047-59144,member's mark weed & feed ii,59144,REGISTERED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,member'smarkweedfeedii2217-1047-59144,FALSE
2217-1047-59144,Expert Gardener Lawn Weed Control II,59144,REGISTERED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,expertgardenerlawnweedcontrolii2217-1047-59144,FALSE
2217-1047-59144,VIGORO WEED & FEED,59144,REGISTERED,1294014,CLOSED,ROUTINE,2025-02-03,MATTHEW J GOGIS,HERBICIDE,False,vigoroweedfeed2217-1047-59144,FALSE
2217-1047-59144,PROCARE LAWN WEED CONTROL,59144,REGISTERED,1305695,CLOSED,ROUTINE,2025-08-21,KATHERINE HETTER,HERBICIDE,False,procarelawnweedcontrol2217-1047-59144,FALSE
2217-741-59144,EXPERT GARDENER LIQUID WEED & FEED (15-0-0),59144,REGISTERED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,expertgardenerliquidweedfeed(15-0-0)2217-741-59144,FALSE
2217-884-59144,STA-GREEN PHOSPHORUS-FREE WEED & FEED 28-0-4,59144,REGISTERED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,sta-greenphosphorus-freeweedfeed28-0-42217-884-59144,FALSE
2217-884-59144,PROCARE PHOSPHORUS FREE WEED & FEED,59144,REGISTERED,1305695,CLOSED,ROUTINE,2025-08-21,KATHERINE HETTER,HERBICIDE,False,procarephosphorusfreeweedfeed2217-884-59144,FALSE
2217-913-59144,STA-GREEN PERFORMANCE MAX MULTI-ACTION WEED & FEED PLUS CRABGRASS CONTROL ENRICHED WITH MICRONUTRIENTS (REDUCED MAX RATE IN NYS),59144,REGISTERED,1298840,CLOSED,ROUTINE,2025-04-21,KATHERINE A GRAHAM,HERBICIDE,False,sta-greenperformancemaxmulti-actionweedfeedpluscrabgrasscontrolenrichedwithmicronutrients(reducedmaxrateinnys)2217-913-59144,FALSE
228-494-59144,"KNOCKOUT ANT, FLEA & TICK KILLER II GRANULES (NYS SPECIFIC LANGUAGE)",59144,REGISTERED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,INSECTICIDE,False,"knockoutant,fleatickkilleriigranules(nysspecificlanguage)228-494-59144",FALSE
228-713-59144,Eliminator Total Vegetation Killer Concentrate,59144,DISCONTINUED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,eliminatortotalvegetationkillerconcentrate228-713-59144,FALSE
279-3206-59144,PROCARE BIFEN 7.9 INSECTICIDE CONCENTRATE (NYS specific Language),59144,DISCONTINUED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,INSECTICIDE,False,procarebifen7.9insecticideconcentrate(nysspecificlanguage)279-3206-59144,FALSE
32802-66-59144,EXPERT GARDENER CRABGRASS PREVENTER PLUS FERTILIZER III,59144,DISCONTINUED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,expertgardenercrabgrasspreventerplusfertilizeriii32802-66-59144,FALSE
42750-269-59144,Eliminator Weed & Grass Killer Plus Concentrate,59144,DISCONTINUED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,eliminatorweedgrasskillerplusconcentrate42750-269-59144,FALSE
42750-269-59144,KnockOut Weed & Grass Killer Fast Acting Concentrate,59144,REGISTERED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,knockoutweedgrasskillerfastactingconcentrate42750-269-59144,FALSE
42750-329-59144,Eliminator Weed & Grass Killer II Super Concentrate,59144,DISCONTINUED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,eliminatorweedgrasskilleriisuperconcentrate42750-329-59144,FALSE
53883-121-59144,"ELIMINATOR ANT, FLEA & TICK KILLER PLUS GRANULES (NYS SPECIFIC LANG)",59144,REGISTERED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,INSECTICIDE,False,"eliminatorant,fleatickkillerplusgranules(nysspecificlang)53883-121-59144",FALSE
53883-208-59144,PROCARE CRABGRASS & WEED PREVENTER (NYS RATE LIMIT),59144,REGISTERED,1305695,CLOSED,ROUTINE,2025-08-21,KATHERINE HETTER,HERBICIDE,False,procarecrabgrassweedpreventer(nysratelimit)53883-208-59144,FALSE
67702-7-59144,ELIMINATOR WEED & GRASS KILLER IV READY-TO-USE,59144,REGISTERED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,"ALGAECIDE, HERBICIDE",False,eliminatorweedgrasskillerivready-to-use67702-7-59144,FALSE
70051-13-59144,EXPERT GARDENER ORGANICS 3-IN-1 NEEM OIL GARDEN SPRAY READY TO USE,59144,REGISTERED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,"FUNGICIDE, INSECTICIDE, MITICIDE",False,expertgardenerorganics3-in-1neemoilgardensprayreadytouse70051-13-59144,FALSE
70051-2-59144,expert gardener organics 3-in-1 neem oil concentrate,59144,REGISTERED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,"FUNGICIDE, INSECTICIDE, MITICIDE",False,expertgardenerorganics3-in-1neemoilconcentrate70051-2-59144,FALSE
71995-7-59144,KNOCKOUT WEED & GRASS KILLER SUPER CONCENTRATE,59144,DISCONTINUED,1277672,CLOSED,ROUTINE,2024-05-29,JYOTHI MURUNDI,HERBICIDE,False,knockoutweedgrasskillersuperconcentrate71995-7-59144,FALSE
59639-108,TETRASAN 5 WDG (RESTRICTED 3/26/08),59639,REGISTERED,1282635,CLOSED,ROUTINE,2024-07-23,KATHERINE HETTER,"INSECTICIDE, MITICIDE",False,tetrasan5wdg(restricted32608)59639-108,FALSE
59639-114,ESTEEM ANT BAIT,59639,REGISTERED,1282635,CLOSED,ROUTINE,2024-07-23,KATHERINE HETTER,"GROWTH REGULATOR, INSECTICIDE",False,esteemantbait59639-114,FALSE
59639-115,ESTEEM 35 WP INSECT GROWTH REGULATOR,59639,REGISTERED,1282635,CLOSED,ROUTINE,2024-07-23,KATHERINE HETTER,"GROWTH REGULATOR, INSECTICIDE",False,esteem35wpinsectgrowthregulator59639-115,FALSE
59639-115,pyriphen 35 WP INSECT GROWTH REGULATOR,59639,REGISTERED,1282635,CLOSED,ROUTINE,2024-07-23,KATHERINE HETTER,"GROWTH REGULATOR, INSECTICIDE",False,pyriphen35wpinsectgrowthregulator59639-115,FALSE
59639-120,SUREGUARD HERBICIDE (RESTRICTED 1/20/09) ,59639,REGISTERED,1282635,CLOSED,ROUTINE,2024-07-23,KATHERINE HETTER,HERBICIDE,False,sureguardherbicide(restricted12009)59639-120,FALSE
59639-125,OVERTURE 35 WP INSECTICIDE,59639,REGISTERED,1282635,CLOSED,ROUTINE,2024-07-23,KATHERINE HETTER,INSECTICIDE,False,overture35wpinsecticide59639-125,FALSE
59639-132,ENVOY PLUS  HERBICIDE  (MAX USE RATE 32 FL OZ. (0.25 LB AI/ACRE/SEASON) ON LI),59639,REGISTERED,1282635,CLOSED,ROUTINE,2024-07-23,KATHERINE HETTER,HERBICIDE,False,envoyplusherbicide(maxuserate32floz.(0.25lbaiacreseason)onli)59639-132,FALSE
59639-140,PRESIDIO FUNGICIDE,59639,REGISTERED,1284113,CLOSED,ROUTINE,2024-08-02,JYOTHI MURUNDI,FUNGICIDE,False,presidiofungicide59639-140,FALSE
59639-226,CERTAINTY TuRF HERBICIDE,59639,REGISTERED,1282635,CLOSED,ROUTINE,2024-07-23,KATHERINE HETTER,HERBICIDE,False,certaintyturfherbicide59639-226,FALSE
59639-260,SUREGUARD EZ HERBICIDE,59639,REGISTERED,1282635,CLOSED,ROUTINE,2024-07-23,KATHERINE HETTER,HERBICIDE,False,sureguardezherbicide59639-260,FALSE
sln ny-120008,SAFARI 20 SG INSECTICIDE [ONLY FOR BASAL TRUNK SPRAY FOR CONTROL OF EMERALD ASH BORER ON ASH TREES & SPOTTED LANTERNFLY ON TREE OF HEAVEN]  (EPA REG. NO. 86203-11-59639),59639,REGISTERED,1282635,CLOSED,SPECIAL LOCAL NEED,2024-07-23,KATHERINE HETTER,INSECTICIDE,False,safari20sginsecticide[onlyforbasaltrunksprayforcontrolofemeraldashboreronashtreesspottedlanternflyontreeofheaven](epareg.no.86203-11-59639)slnny-120008,FALSE
71512-43-59807,Seido,59807,REGISTERED,1277669,CLOSED,ROUTINE,2024-04-11,KATHERINE HETTER,FUNGICIDE,False,seido71512-43-59807,FALSE
35915-11-60063,SIM-TROL 4L SIMAZINE FLOWABLE HERBICIDE (RESTRICTED USE AS OF 1/1/2020),60063,REGISTERED,1282638,CLOSED,ROUTINE,2024-08-28,KATHERINE HETTER,HERBICIDE,False,sim-trol4lsimazineflowableherbicide(restricteduseasof112020)35915-11-60063,FALSE
60063-23,STALWART XTRA  HERBICIDE (NO USE ON LI),60063,REGISTERED,1282638,CLOSED,ROUTINE,2024-08-28,KATHERINE HETTER,HERBICIDE,False,stalwartxtraherbicide(nouseonli)60063-23,FALSE
60063-26,KADE 65 WG,60063,REGISTERED,1305696,CLOSED,ROUTINE,2025-08-21,KATHERINE HETTER,HERBICIDE,False,kade65wg60063-26,FALSE
60063-50,"PRIMERAONE PLATINUM CHLORTEB ETQ (IN NYS: LIMIT 3 APPLICATIONS PER YEAR ON TURF, MAX RATE PER APP 2.57 FL OZ/1000 SQ FT)",60063,DISCONTINUED,1282638,CLOSED,ROUTINE,2024-08-28,KATHERINE HETTER,FUNGICIDE,False,"primeraoneplatinumchlortebetq(innys:limit3applicationsperyearonturf,maxrateperapp2.57floz1000sqft)60063-50",FALSE
60063-53,ARISTON,60063,DISCONTINUED,1282638,CLOSED,ROUTINE,2024-08-28,KATHERINE HETTER,FUNGICIDE,False,ariston60063-53,FALSE
60063-53,Cymbol advance,60063,REGISTERED,1291544,CLOSED,ROUTINE,2024-12-12,JYOTHI MURUNDI,FUNGICIDE,False,cymboladvance60063-53,FALSE
60063-58,caravel HERBICIDE,60063,REGISTERED,1282638,CLOSED,ROUTINE,2024-08-28,KATHERINE HETTER,HERBICIDE,False,caravelherbicide60063-58,FALSE
60063-64,"STALWART 3W [no sale, distribution, or use in nassau & suffolk counties, NY]",60063,REGISTERED,1282638,CLOSED,ROUTINE,2024-08-28,KATHERINE HETTER,HERBICIDE,False,"stalwart3w[nosale,distribution,oruseinnassausuffolkcounties,ny]60063-64",FALSE
60063-66,Slipstream,60063,DISCONTINUED,1282638,CLOSED,ROUTINE,2024-08-28,KATHERINE HETTER,HERBICIDE,False,slipstream60063-66,FALSE
60063-67,Cavalcade 4L,60063,REGISTERED,1282638,CLOSED,ROUTINE,2024-08-28,KATHERINE HETTER,HERBICIDE,False,cavalcade4l60063-67,FALSE
61282-12,RAMIK BARS KILLS RATS AND MICE,61282,REGISTERED,1296427,CLOSED,ROUTINE,2025-03-19,,RODENTICIDE,False,ramikbarskillsratsmice61282-12,FALSE
