Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,is_PDF_downloaded,pdf_filename,txt_file_len,each_page_len,text_contains_product_name,text_contains_children,text_contains_epa_no,each_page_has_text,OCR_text_contains_product_name,OCR_text_contains_children,OCR_text_contains_epa_no,OCR_needed,runOCR_reason,Post_OCR_char_per_page,OCR_v_Original,final_determination,agricultural_use_requirements_and_restricted_entry_interval,inference_successful
100-1101,FLEXSTAR,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,True,FLEXSTAR_100-1101_PRIMARY_LABEL_560639.pdf,59540.0,"[1061, 2461, 3475, 3498, 3886, 3392, 3560, 2860, 2761, 1443, 2543, 1874, 981, 772, 981, 1423, 678, 1378, 1018, 1159, 2067, 1252, 1388, 3460, 2654, 808, 6707]",True,True,True,True,,,,False,,,,,both,False
100-1101,SEDONA,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,True,SEDONA_100-1101_PRIMARY_LABEL_560640.pdf,58996.0,"[1047, 2456, 3475, 3290, 3658, 3490, 2488, 2246, 3048, 2626, 1221, 3101, 447, 977, 769, 978, 1418, 673, 752, 1029, 1000, 2663, 1239, 1367, 3460, 3402, 6676]",True,True,True,True,,,,False,,,,,both,False
100-1131,EXPLORER HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,True,EXPLORER_HERBICIDE_100-1131_PRIMARY_LABEL_558449.pdf,91795.0,"[855, 1661, 2387, 2542, 2702, 2736, 2210, 2302, 2903, 3156, 2775, 2614, 2658, 1742, 1281, 1487, 1366, 1386, 1254, 2655, 2776, 2250, 2084, 2085, 3404, 3218, 3270, 3222, 2848, 2869, 3068, 3600, 3205, 3582, 2339, 2540, 2763]",True,True,True,True,,,,False,,,,,both,False
100-1131,CALLISTO HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,True,CALLISTO_HERBICIDE_100-1131_PRIMARY_LABEL_573044.pdf,93395.0,"[870, 1502, 2071, 1556, 2603, 2082, 2591, 2193, 1972, 2509, 2822, 2253, 2988, 2795, 1643, 1284, 1612, 1498, 1740, 1187, 2190, 3021, 2713, 2095, 2183, 2723, 3129, 2547, 3118, 2159, 2807, 2485, 2710, 2690, 3069, 1882, 2638, 2664, 1462, 2562, 2777]",True,True,True,True,,,,False,,,,,both,False
100-1139,BARRICADE 4FL HERBICIDE (UNRESTRICTED 1/1/2015),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,True,BARRICADE_4FL_HERBICIDE_(UNRESTRICTED_1_1_2015)_100-1139_PRIMARY_LABEL_594407.pdf,76183.0,"[1308, 1974, 2949, 3620, 2856, 3451, 2634, 3011, 1859, 965, 1251, 2621, 1682, 2035, 2243, 2370, 1382, 1349, 1291, 1153, 1119, 1405, 1463, 2311, 2154, 2864, 1125, 956, 1054, 1046, 835, 1161, 1171, 1133, 2557, 2068, 2494, 766, 3784, 2713]",True,True,True,True,,,,False,,,,,both,False
100-1139,RESOLUTE 4FL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,True,RESOLUTE_4FL_100-1139_PRIMARY_LABEL_594408.pdf,76126.0,"[1276, 2169, 3545, 3527, 3968, 3069, 3206, 2225, 1621, 2275, 2076, 1789, 3151, 2407, 1791, 1444, 1480, 1339, 1652, 1624, 2754, 2156, 2873, 1376, 1297, 1373, 1417, 1464, 1531, 2584, 2080, 2500, 720, 6367]",True,True,True,True,,,,False,,,,,both,False
100-1141,DIVIDEND EXTREME FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,DIVIDEND_EXTREME_FUNGICIDE_100-1141_PRIMARY_LABEL_566453.pdf,27210.0,"[1101, 2330, 3354, 3720, 3666, 1933, 851, 1810, 3157, 1412, 3876]",True,True,True,True,,,,False,,,,,both,False
100-1158,MAXIM MZ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,MAXIM_MZ_100-1158_PRIMARY_LABEL_566354.pdf,19620.0,"[1120, 4237, 5226, 5333, 3704]",True,True,True,True,,,,False,,,,,both,False
100-1159,DYNASTY,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,DYNASTY_100-1159_PRIMARY_LABEL_544699.pdf,28956.0,"[823, 1283, 1537, 2350, 2025, 1974, 2271, 1814, 1182, 1046, 837, 1257, 1268, 1214, 1549, 1914, 281, 4331]",True,True,True,True,True,True,True,Page_specific_OCR,1 out of 18 pages need OCR because they are less than 300 characters (pages: [17]),"[823, 1283, 1537, 2350, 2025, 1974, 2271, 1814, 1182, 1046, 837, 1257, 1268, 1214, 1549, 1914, 292, 4331]",Original,Original,both,False
100-1162,BOUNDARY 6.5EC HERBICIDE (NOT FOR SALE/USE/DIST ON LONG ISLAND)  (RESTRICTED AS OF 1/1/2007),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,True,BOUNDARY_6.5EC_HERBICIDE_(NOT_FOR_SALE_USE_DIST_ON_LONG_ISLAND)__(RESTRICTED_AS_OF_1_1_2007)_100-1162_PRIMARY_LABEL_589254.pdf,85126.0,"[1566, 1380, 1161, 2535, 3906, 4226, 3787, 3704, 3871, 3573, 3808, 3984, 2357, 3590, 3292, 1721, 1828, 1833, 2428, 2606, 2394, 2155, 3183, 2015, 2558, 4066, 2660, 800, 8139]",True,True,True,True,,,,False,,,,,both,False
100-1171,QUADRIS OPTI,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,QUADRIS_OPTI_100-1171_PRIMARY_LABEL_559529.pdf,57897.0,"[1309, 2154, 2814, 3511, 2805, 3137, 3444, 2975, 2724, 2785, 2007, 2288, 2016, 2531, 2095, 1887, 1945, 1995, 2049, 2731, 1819, 6876]",True,True,True,True,,,,False,,,,,both,False
100-1185,SEQUENCE HERBICIDE (NO USE IN NASSAU & SUFFOLK COUNTIES)  (RESTRICTED AS OF 1/1/2007),100,REGISTERED,1290656,CLOSED,ROUTINE,2024-11-22,JYOTHI MURUNDI,HERBICIDE,True,SEQUENCE_HERBICIDE_(NO_USE_IN_NASSAU_and_SUFFOLK_COUNTIES)__(RESTRICTED_AS_OF_1_1_2007)_100-1185_PRIMARY_LABEL_596940.pdf,119774.0,"[1546, 1523, 1831, 2803, 4078, 3912, 3820, 3916, 3811, 2613, 3728, 3044, 2811, 2893, 1428, 1462, 1477, 1222, 1786, 1968, 1824, 2109, 2373, 2341, 1735, 2836, 2286, 3231, 2997, 1326, 2445, 2360, 2590, 2442, 1853, 1984, 2896, 2243, 2377, 2250, 2309, 3790, 3289, 1372, 1427, 9417]",True,True,True,True,,,,False,,,,,both,False
100-1191,HERITAGE TL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,HERITAGE_TL_100-1191_PRIMARY_LABEL_544851.pdf,36485.0,"[1021, 1218, 1643, 2599, 1465, 1482, 2070, 2009, 1721, 2053, 2406, 1648, 1419, 1385, 1498, 1143, 1773, 1937, 370, 5625]",True,True,True,True,,,,False,,,,,both,False
100-1195,APRONMAXX RFC,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,APRONMAXX_RFC_100-1195_PRIMARY_LABEL_566290.pdf,23785.0,"[1057, 2468, 3826, 3795, 3971, 2398, 2180, 4090]",True,True,True,True,,,,False,,,,,both,False
100-1202,RIDOMIL GOLD SL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,RIDOMIL_GOLD_SL_100-1202_PRIMARY_LABEL_544304.pdf,28409.0,"[1262, 2564, 3933, 3343, 2351, 3505, 3191, 1416, 6844]",True,True,False,True,,,,False,,,,,both,False
100-1202,ORONDIS GOLD B,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,ORONDIS_GOLD_B_100-1202_PRIMARY_LABEL_590599.pdf,71826.0,"[843, 1088, 1102, 1631, 1724, 2814, 2417, 2657, 755, 2399, 2912, 2627, 3069, 1530, 1328, 2044, 1736, 880, 1285, 1070, 780, 705, 1219, 857, 879, 1055, 1046, 875, 690, 574, 1090, 670, 1147, 567, 575, 1011, 942, 836, 633, 1127, 609, 518, 641, 518, 610, 525, 813, 1028, 1289, 834, 1695, 1258, 2332, 430, 2224, 3313]",True,True,True,True,,,,False,,,,,both,False
100-1216,HEADWAY,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,HEADWAY_100-1216_PRIMARY_LABEL_544907.pdf,39565.0,"[1109, 1246, 1392, 1700, 2576, 1711, 1689, 2627, 1840, 1559, 1703, 2333, 1357, 1562, 1579, 1214, 1630, 1125, 342, 932, 2622, 358, 5359]",True,True,True,True,,,,False,,,,,both,False
100-1221,RIDOMIL GOLD BRAVO SC,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,RIDOMIL_GOLD_BRAVO_SC_100-1221_PRIMARY_LABEL_573568.pdf,58610.0,"[1199, 1175, 939, 2522, 3049, 4237, 3357, 3406, 4242, 2546, 3719, 2996, 1606, 2003, 1398, 2080, 1464, 2421, 2064, 4168, 2477, 5542]",True,True,True,True,,,,False,,,,,both,False
100-1226,ALTO 100 SL,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,ALTO_100_SL_100-1226_PRIMARY_LABEL_595962.pdf,44239.0,"[821, 1101, 596, 2415, 2891, 3472, 2948, 3726, 4275, 3246, 2759, 1727, 1468, 2181, 3469, 2194, 4950]",True,True,True,True,,,,False,,,,,both,False
100-1231,"INSTRATA  [MAXIMUM APPLICATION RATE ON LONG ISLAND 7 GALLONS/ACRE OR 20.5 FL. OZ. PER 1,000 SQ. FT.]",100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,"INSTRATA__[MAXIMUM_APPLICATION_RATE_ON_LONG_ISLAND_7_GALLONS_ACRE_OR_20.5_FL._OZ._PER_1,000_SQ._FT.]_100-1231_PRIMARY_LABEL_586917.pdf",40282.0,"[1376, 1911, 2537, 3277, 2849, 2977, 3103, 2801, 2373, 2493, 1704, 1743, 2095, 2662, 6381]",True,True,True,True,,,,False,,,,,both,False
100-1248,CRUISERMAXX POTATO INSECTICIDE AND FUNGICIDE (NO NASSAU OR SUFFOLK - SELF-IMPOSED BY SYNGENTA) (RESTRICTED USE AS OF 1/1/2023),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"FUNGICIDE, INSECTICIDE",True,CRUISERMAXX_POTATO_INSECTICIDE_AND_FUNGICIDE_(NO_NASSAU_OR_SUFFOLK_-_SELF-IMPOSED_BY_SYNGENTA)_(RESTRICTED_USE_AS_OF_1_1_2023)_100-1248_PRIMARY_LABEL_581400.pdf,36719.0,"[1212, 1346, 1979, 2719, 2218, 2290, 2719, 2588, 2228, 2046, 1561, 1195, 2014, 1202, 2307, 1610, 5485]",True,True,True,True,,,,False,,,,,both,False
100-1254,REVUS FUNGICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,REVUS_FUNGICIDE_100-1254_PRIMARY_LABEL_582554.pdf,74517.0,"[4034, 919, 1536, 3281, 2402, 3146, 2763, 2703, 1896, 2370, 2674, 2998, 3059, 2227, 1332, 1376, 2128, 1868, 1685, 1747, 2527, 2041, 2105, 1051, 2177, 1594, 946, 2855, 1512, 2068, 2368, 2703, 384, 4042]",True,True,True,True,,,,False,,,,,both,False
100-1256,AXIAL XL HERBICIDE,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,True,AXIAL_XL_HERBICIDE_100-1256_PRIMARY_LABEL_583138.pdf,41785.0,"[1017, 2134, 3513, 3662, 3221, 3450, 2900, 3032, 2478, 2373, 2283, 3283, 2599, 848, 4992]",True,True,True,True,,,,False,,,,,both,False
100-1267,TENACITY,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,True,TENACITY_100-1267_PRIMARY_LABEL_585478.pdf,37290.0,"[884, 1246, 1575, 1981, 1894, 2376, 1921, 1853, 1673, 1168, 1682, 1603, 856, 878, 792, 2477, 2360, 1278, 2654, 595, 5544]",True,True,True,True,,,,False,,,,,both,False
100-1268,PREFIX HERBICIDE (NOT FOR USE IN NASSAU / SUFFOLK COUNTIES),100,REGISTERED,1295227,CLOSED,ROUTINE,2025-02-24,MATTHEW J GOGIS,HERBICIDE,True,PREFIX_HERBICIDE_(NOT_FOR_USE_IN_NASSAU___SUFFOLK_COUNTIES)_100-1268_PRIMARY_LABEL_598328.pdf,71998.0,"[1419, 1927, 2049, 3296, 2646, 2651, 2000, 3002, 2728, 3456, 2739, 2195, 2274, 227, 759, 551, 753, 1202, 1038, 728, 2807, 1137, 2338, 3165, 2907, 2687, 2384, 1653, 2694, 1446, 2675, 1208, 7257]",True,True,True,True,True,True,True,Page_specific_OCR,1 out of 33 pages need OCR because they are less than 300 characters (pages: [14]),"[1419, 1927, 2049, 3296, 2646, 2651, 2000, 3002, 2728, 3456, 2739, 2195, 2274, 252, 759, 551, 753, 1202, 1038, 728, 2807, 1137, 2338, 3165, 2907, 2687, 2384, 1653, 2694, 1446, 2675, 1208, 7257]",Original,Original,both,False
100-1269,RIDOMIL GOLD MZ WG,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,RIDOMIL_GOLD_MZ_WG_100-1269_PRIMARY_LABEL_568308.pdf,40960.0,"[1425, 741, 1189, 1014, 1036, 2066, 1487, 1273, 1729, 1302, 1325, 1199, 749, 759, 2068, 1036, 880, 1487, 1135, 1791, 1943, 1749, 1171, 1155, 1223, 1526, 1040, 1017, 1357, 478, 1368, 688, 554]",True,True,True,True,,,,False,,,,,both,False
100-1276,ENDIGO ZC (NO LI) (NYS SPECIFIC LANGUAGE - USE RATE AND BUFFER ZONE),100,REGISTERED,1305354,CLOSED,ROUTINE,2025-08-15,KATHERINE HETTER,INSECTICIDE,True,ENDIGO_ZC_(NO_LI)_(NYS_SPECIFIC_LANGUAGE_-_USE_RATE_AND_BUFFER_ZONE)_100-1276_PRIMARY_LABEL_602319.pdf,80287.0,"[1490, 1695, 2635, 2672, 2753, 2501, 2684, 3274, 1317, 2337, 2403, 2930, 2650, 2624, 3408, 2784, 1895, 1975, 1920, 1958, 1478, 1739, 1557, 1834, 1495, 2075, 1982, 1642, 1591, 1489, 2750, 1413, 2349, 2477, 411, 6100]",True,True,True,True,,,,False,,,,,both,False
100-1278,REVUS TOP,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,FUNGICIDE,True,REVUS_TOP_100-1278_PRIMARY_LABEL_539539.pdf,39231.0,"[845, 2221, 4198, 2860, 3374, 2961, 3295, 3519, 1699, 2393, 1396, 1654, 3578, 5238]",True,True,True,True,,,,False,,,,,both,False
100-1282,"KOBRIX GT (NO SALE, DISTRIBUTION OR USE IN NASSAU AND SUFFOLK COUNTIES)",100,REGISTERED,1298524,CLOSED,ROUTINE,2025-04-15,MATTHEW J GOGIS,HERBICIDE,True,"KOBRIX_GT_(NO_SALE,_DISTRIBUTION_OR_USE_IN_NASSAU_AND_SUFFOLK_COUNTIES)_100-1282_PRIMARY_LABEL_599819.pdf",138812.0,"[1468, 1539, 2337, 3033, 2569, 2563, 3080, 3012, 2794, 1741, 1068, 1034, 1123, 1134, 1502, 1300, 2643, 2319, 1442, 1954, 2483, 2465, 2783, 2170, 3082, 1211, 1249, 2677, 2285, 1722, 851, 13452, 1343, 8, 1554, 2347, 3035, 2571, 2565, 3094, 3029, 2809, 1750, 1071, 1037, 1126, 1137, 1505, 1307, 2646, 2330, 1452, 1969, 2499, 2473, 2786, 2181, 3090, 1214, 1252, 2680, 2288, 1725, 854]",True,True,True,True,True,True,True,Page_specific_OCR,1 out of 64 pages need OCR because they are less than 300 characters (pages: [34]),"[1468, 1539, 2337, 3033, 2569, 2563, 3080, 3012, 2794, 1741, 1068, 1034, 1123, 1134, 1502, 1300, 2643, 2319, 1442, 1954, 2483, 2465, 2783, 2170, 3082, 1211, 1249, 2677, 2285, 1722, 851, 13452, 1343, 6, 1554, 2347, 3035, 2571, 2565, 3094, 3029, 2809, 1750, 1071, 1037, 1126, 1137, 1505, 1307, 2646, 2330, 1452, 1969, 2499, 2473, 2786, 2181, 3090, 1214, 1252, 2680, 2288, 1725, 854]",Original,Original,both,False
100-1282,"HALEX GT HERBICIDE (NO sale, distribution or use IN NASSAU and SUFFOLK COUNTies)",100,REGISTERED,1295632,CLOSED,ROUTINE,2025-03-04,SHAUN PETERSON,HERBICIDE,True,"HALEX_GT_HERBICIDE_(NO_sale,_distribution_or_use_IN_NASSAU_and_SUFFOLK_COUNTies)_100-1282_PRIMARY_LABEL_598481.pdf",70076.0,"[1664, 2825, 4053, 3686, 3418, 3770, 4050, 1700, 1422, 1446, 1753, 1290, 3469, 2965, 3320, 2985, 4118, 4119, 1838, 1057, 3959, 2660, 937, 7572]",True,True,True,True,,,,False,,,,,both,False
100-1283,ADAGE ST (RESTRICTED USE AS OF 1/1/2023),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,"FUNGICIDE, INSECTICIDE",True,ADAGE_ST_(RESTRICTED_USE_AS_OF_1_1_2023)_100-1283_PRIMARY_LABEL_564770.pdf,36567.0,"[1115, 2356, 3369, 3680, 3923, 3923, 3405, 2812, 2023, 3439, 383, 6139]",True,True,True,True,,,,False,,,,,both,False
100-1291,PLATINUM 75 SG INSECTICIDE (NO LI) (NY MAX USE RATE 0.188 LB AI/ACRE/YEAR),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,True,PLATINUM_75_SG_INSECTICIDE_(NO_LI)_(NY_MAX_USE_RATE_0.188_LB_AI_ACRE_YEAR)_100-1291_PRIMARY_LABEL_538289.pdf,64310.0,"[935, 1233, 1386, 1730, 1123, 2173, 1792, 1762, 2513, 2193, 2137, 2513, 2318, 2600, 2070, 2186, 2867, 481, 1404, 1524, 1761, 1328, 1077, 2168, 1144, 1211, 1341, 1090, 1271, 809, 1435, 981, 1331, 1327, 1192, 1489, 830, 359, 2744, 2482]",True,True,True,True,,,,False,,,,,both,False
100-1295,LAMCAP II (25 FOOT BUFFER STRIP TO COASTAL MARSHES),100,REGISTERED,1306908,CLOSED,ROUTINE,2025-09-11,KATHERINE HETTER,INSECTICIDE,True,LAMCAP_II_(25_FOOT_BUFFER_STRIP_TO_COASTAL_MARSHES)_100-1295_PRIMARY_LABEL_602779.pdf,94543.0,"[1246, 2163, 2587, 3066, 2481, 3132, 2483, 2532, 3407, 2637, 3227, 2058, 546, 1614, 1367, 1549, 823, 2384, 1730, 2901, 2340, 2233, 2062, 1614, 1291, 1790, 1205, 1493, 1111, 2074, 1540, 1760, 790, 1850, 2382, 1229, 1689, 1596, 1534, 1956, 1951, 771, 1999, 1307, 1756, 2492, 355, 3592, 2848]",True,True,True,True,,,,False,,,,,both,False
100-1295,WARRIOR II WITH ZEON TECHNOLOGY (25 FOOT BUFFER STRIP TO COASTAL MARSHES),100,REGISTERED,1306909,CLOSED,ROUTINE,2025-09-11,KATHERINE HETTER,INSECTICIDE,True,WARRIOR_II_WITH_ZEON_TECHNOLOGY_(25_FOOT_BUFFER_STRIP_TO_COASTAL_MARSHES)_100-1295_PRIMARY_LABEL_602780.pdf,94930.0,"[1274, 2836, 4292, 3492, 2876, 3604, 4114, 3559, 5326, 1123, 2356, 1808, 1922, 2285, 3738, 3076, 2611, 1606, 2051, 2587, 2132, 1903, 2237, 2251, 1585, 1881, 1525, 1227, 1680, 2046, 1997, 1349, 1606, 2431, 1305, 1778, 2923, 3659, 2879]",True,True,True,True,,,,False,,,,,both,False
