original_target_name,original_crop,original_target_type,source_target_type,new_target_name,new_target_type,new_target_species,source_refined,deployed,main_target_list
Awl nematodes (Dolichodorus species),Alfalfa,Disease,Disease,Awl Nematodes,,Dolichodorus spp.,LLM:gpt-5.2,True,False
Bacterial Soft Rot,Alfalfa,Disease,Disease,Bacterial Soft Rot,,,LLM:gpt-5.2,True,False
Bacterial blight,Alfalfa,Disease,Disease,Bacterial Blight,,,LLM:gpt-5.2,True,False
Bacterial blight/streak,Alfalfa,Disease,Disease,Bacterial Blight/Streak,,,LLM:gpt-5.2,True,False
Bacterial wilt,Alfalfa,Disease,Disease,Bacterial Wilt,,,LLM:gpt-5.2,True,False
Basidiophora,Alfalfa,Disease,Disease,Downy Mildew,,Basidiophora spp.,LLM:gpt-5.2,True,False
Bean Leaf Beetle (Adult),Alfalfa,Disease,Insects,Bean Leaf Beetle,,,LLM:gpt-5.2,True,False
Black Patch,Alfalfa,Disease,Disease,Black Patch,,,LLM:gpt-5.2,True,False
Black Spot,Alfalfa,Disease,Disease,Black Spot,,,LLM:gpt-5.2,True,False
Black stem,Alfalfa,Disease,Disease,Black Stem,,,LLM:gpt-5.2,True,False
Black stem (Phoma medicaginis),Alfalfa,Disease,Disease,Spring Black Stem and Leaf Spot,,,LLM:gpt-5.2,True,False
Blister Beetle spp.,Alfalfa,Disease,Insects,Blister Beetles,,,LLM:gpt-5.2,True,False
Blossom Blight,Alfalfa,Disease,Disease,Blossom Blight,,,LLM:gpt-5.2,True,False
Blotch Leafminer,Alfalfa,Disease,Insects,Blotch Leafminer,,,LLM:gpt-5.2,True,False
Blue Alfalfa Aphid,Alfalfa,Disease,Insects,Blue Alfalfa Aphid,,,LLM:gpt-5.2,True,False
Botrytis (shoot and flower blight),Alfalfa,Disease,Disease,Botrytis Gray Mold,,Botrytis spp.,LLM:gpt-5.2,True,False
Botrytis cinerea,Alfalfa,Disease,Disease,Botrytis Gray Mold,,Botrytis spp.,LLM:gpt-5.2,True,False
Botrytis spp.,Alfalfa,Disease,Disease,Botrytis Gray Mold,,Botrytis spp.,LLM:gpt-5.2,True,False
Brown Rot Blossom Blight,Alfalfa,Disease,Disease,Brown Rot Blossom Blight,,,LLM:gpt-5.2,True,False
Brown Spot,Alfalfa,Disease,Disease,Brown Spot,,,LLM:gpt-5.2,True,False
Brown rot/leaf spots/smuts,Alfalfa,Disease,Disease,Brown Rot/Leaf Spots/Smuts,,,LLM:gpt-5.2,True,False
Burkholderia glumae,Alfalfa,Disease,Disease,Bacterial Panicle Blight,,Burkholderia spp.,LLM:gpt-5.2,True,False
Burrowing nematode (Radopholus similis),Alfalfa,Disease,Disease,Burrowing Nematode,,Radopholus spp.,LLM:gpt-5.2,True,False
Cephalosporium maydis,Alfalfa,Disease,Disease,Cephalosporium Wilt,,Cephalosporium spp.,LLM:gpt-5.2,True,False
Cercospora & Leptosphaerulina Leaf Spots,Alfalfa,Disease,Disease,Cercospora and Leptosphaerulina Leaf Spots,,,LLM:gpt-5.2,True,False
Cercospora Blight,Alfalfa,Disease,Disease,Cercospora Leaf Spot,,Cercospora spp.,LLM:gpt-5.2,True,False
Cercospora medicaginis,Alfalfa,Disease,Disease,Cercospora Leaf Spot,,Cercospora spp.,LLM:gpt-5.2,True,False
Citrus nematode (Tylenchulus semipenetrans),Alfalfa,Disease,Disease,Citrus Nematode,,Tylenchulus spp.,LLM:gpt-5.2,True,False
Cladosporium spp.,Alfalfa,Disease,Disease,Cladosporium Leaf Spot,,Cladosporium spp.,LLM:gpt-5.2,True,False
Clover Leaf Weevil spp.,Alfalfa,Disease,Insects,Clover Leaf Weevil,,,LLM:gpt-5.2,True,False
Clover Root Borer (Adult),Alfalfa,Disease,Insects,Clover Root Borer,,,LLM:gpt-5.2,True,False
Clover Root Curculio spp. (Adult),Alfalfa,Disease,Insects,Clover Root Curculio,,,LLM:gpt-5.2,True,False
Clover Stem Borer (Adult),Alfalfa,Disease,Insects,Clover Stem Borer,,,LLM:gpt-5.2,True,False
Colletotrichum (anthracnose),Alfalfa,Disease,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Colletotrichum trifolii,Alfalfa,Disease,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Common Leaf Spot,Alfalfa,Disease,Disease,Common Leaf Spot,,,LLM:gpt-5.2,True,False
Common leaf spot (Pseudopeziza medicaginis),Alfalfa,Disease,Disease,Common Leaf Spot,,,LLM:gpt-5.2,True,False
Coryneum Blight,Alfalfa,Disease,Disease,Coryneum Blight,,,LLM:gpt-5.2,True,False
Cotton Root Rot,Alfalfa,Disease,Disease,Cotton Root Rot,,,LLM:gpt-5.2,True,False
Cowpea Aphid,Alfalfa,Disease,Insects,Cowpea Aphid,,,LLM:gpt-5.2,True,False
Cowpea Curculio (Adult),Alfalfa,Disease,Insects,Cowpea Curculio,,,LLM:gpt-5.2,True,False
Cowpea Weevil (Adult),Alfalfa,Disease,Insects,Cowpea Weevil,,,LLM:gpt-5.2,True,False
Crown Rot Complex,Alfalfa,Disease,Disease,Crown Rot Complex,,,LLM:gpt-5.2,True,False
Cucumber Beetle Spp. (Adult),Alfalfa,Disease,Insects,Cucumber Beetles,,,LLM:gpt-5.2,True,False
Cylindrocladium,Alfalfa,Disease,Disease,Cylindrocladium Root Rot,,Cylindrocladium spp.,LLM:gpt-5.2,True,False
Cyst nematodes (Heterodera and Globodera species),Alfalfa,Disease,Disease,Cyst Nematodes,,,LLM:gpt-5.2,True,False
Dagger nematodes (Xiphinema species),Alfalfa,Disease,Disease,Dagger Nematodes,,Xiphinema spp.,LLM:gpt-5.2,True,False
Damping-Off,Alfalfa,Disease,Disease,Damping-Off,,,LLM:gpt-5.2,True,False
Damping-off (Pythium spp.),Alfalfa,Disease,Disease,Damping-Off,,,LLM:gpt-5.2,True,False
Damping-off caused by seed-borne and soil-borne fungi,Alfalfa,Disease,Disease,Damping-Off,,,LLM:gpt-5.2,True,False
Damping-off fungus,Alfalfa,Disease,Disease,Damping-Off,,,LLM:gpt-5.2,True,False
Decay caused by seed-borne and soil-borne fungi,Alfalfa,Disease,Disease,Decay,,,LLM:gpt-5.2,True,False
"Decay, damping-off, and seedling blight caused by seed-borne and soil-borne fungi.",Alfalfa,Disease,Disease,Decay/Damping-Off/Seedling Blight,,,LLM:gpt-5.2,True,False
Didymella bryoniae,Alfalfa,Disease,Disease,Gummy Stem Blight,,Didymella spp.,LLM:gpt-5.2,True,False
Downy mildew (Peronospora trifoliorum),Alfalfa,Disease,Disease,Downy Mildew,,Basidiophora spp.,LLM:gpt-5.2,True,False
Early blight,Alfalfa,Disease,Disease,Early Blight,,,LLM:gpt-5.2,True,False
Early season Phytophthora control,Alfalfa,Disease,Disease,Phytophthora Root Rot,,Phytophthora spp.,LLM:gpt-5.2,True,False
Early-season Phytophthora,Alfalfa,Disease,Disease,Phytophthora Root Rot,,Phytophthora spp.,LLM:gpt-5.2,True,False
Egyptian Alfalfa Weevil,Alfalfa,Disease,Insects,Egyptian Alfalfa Weevil,,,LLM:gpt-5.2,True,False
Erwinia,Alfalfa,Disease,Disease,Erwinia Soft Rot,,Erwinia spp.,LLM:gpt-5.2,True,False
Erysiphe (powdery mildew),Alfalfa,Disease,Disease,Powdery Mildew,,Erysiphe spp.,LLM:gpt-5.2,True,False
Erysiphe spp.,Alfalfa,Disease,Disease,Powdery Mildew,,Erysiphe spp.,LLM:gpt-5.2,True,False
False root knot nematodes (Naccobus species),Alfalfa,Disease,Disease,False Root-Knot Nematodes,,Naccobus spp.,LLM:gpt-5.2,True,False
Fly speck,Alfalfa,Disease,Disease,Flyspeck,,,LLM:gpt-5.2,True,False
Frog-eyed Leaf Spot,Alfalfa,Disease,Disease,Frogeye Leaf Spot,,,LLM:gpt-5.2,True,False
Fungi/oomycetes,Alfalfa,Disease,Disease,Fungi/Oomycetes,,,LLM:gpt-5.2,True,False
Fusarium,Alfalfa,Disease,Disease,Fusarium Diseases,,Fusarium spp.,LLM:gpt-5.2,True,False
"Fusarium (root-rot, leaf spot, Pink Snow Mold)",Alfalfa,Disease,Disease,Fusarium Diseases,,Fusarium spp.,LLM:gpt-5.2,True,False
Fusarium Crown and Root Rot,Alfalfa,Disease,Disease,Fusarium Crown and Root Rot,,Fusarium spp.,LLM:gpt-5.2,True,False
Fusarium Wilt,Alfalfa,Disease,Disease,Fusarium Wilt,,Fusarium spp.,LLM:gpt-5.2,True,False
Fusarium seedling blight,Alfalfa,Disease,Disease,Fusarium Seedling Blight,,Fusarium spp.,LLM:gpt-5.2,True,False
Fusarium spp.,Alfalfa,Disease,Disease,Fusarium Diseases,,Fusarium spp.,LLM:gpt-5.2,True,False
Gibberella fujikuroi,Alfalfa,Disease,Disease,Fusarium Diseases,,Fusarium spp.,LLM:gpt-5.2,True,False
Grape Colaspis (Adult),Alfalfa,Disease,Insects,Grape Colaspis,,,LLM:gpt-5.2,True,False
Grasshopper spp.,Alfalfa,Disease,Insects,Grasshoppers,,,LLM:gpt-5.2,True,False
Green June Beetle (Adult),Alfalfa,Disease,Insects,Green June Beetle,,,LLM:gpt-5.2,True,False
Green Peach Aphid,Alfalfa,Disease,Insects,Green Peach Aphid,,,LLM:gpt-5.2,True,False
Grey leafspot,Alfalfa,Disease,Disease,Gray Leaf Spot,,,LLM:gpt-5.2,True,False
Japanese Beetle (Adult),Alfalfa,Disease,Insects,Japanese Beetle,,,LLM:gpt-5.2,True,False
Lance nematodes (Hoplolaimus species),Alfalfa,Disease,Disease,Lance Nematode,,Hoplolaimus spp.,LLM:gpt-5.2,True,False
Leaf Blight,Alfalfa,Disease,Disease,Leaf Blight,,,LLM:gpt-5.2,True,False
Leaf Rust,Alfalfa,Disease,Disease,Leaf Rust,,,LLM:gpt-5.2,True,False
Leaf Spot Complex,Alfalfa,Disease,Disease,Leaf Spot Complex,,,LLM:gpt-5.2,True,False
Leaf spot (Leptosphaerulina briosiani),Alfalfa,Disease,Disease,Leptosphaerulina Leaf Spot,,Leptosphaerulina spp.,LLM:gpt-5.2,True,False
Lepto leafspot,Alfalfa,Disease,Disease,Leptosphaerulina Leaf Spot,,Leptosphaerulina spp.,LLM:gpt-5.2,True,False
Lepto leafspot (Leptosphaerulina briosiana),Alfalfa,Disease,Disease,Leptosphaerulina Leaf Spot,,Leptosphaerulina spp.,LLM:gpt-5.2,True,False
Leptosphaeria lindquistii,Alfalfa,Disease,Disease,Leptosphaeria Leaf Spot,,Leptosphaeria spp.,LLM:gpt-5.2,True,False
Leptosphaeruiina Leaf Spot,Alfalfa,Disease,Disease,Leptosphaerulina Leaf Spot,,Leptosphaerulina spp.,LLM:gpt-5.2,True,False
Leptosphaerulina briosiana,Alfalfa,Disease,Disease,Leptosphaerulina Leaf Spot,,Leptosphaerulina spp.,LLM:gpt-5.2,True,False
Leptosphaerulina leaf spot,Alfalfa,Disease,Disease,Leptosphaerulina Leaf Spot,,Leptosphaerulina spp.,LLM:gpt-5.2,True,False
Lesion nematodes (Pratylenchus species),Alfalfa,Disease,Disease,Lesion Nematodes,,Pratylenchus spp.,LLM:gpt-5.2,True,False
Lewptosphaerulina leaf spot,Alfalfa,Disease,Disease,Leptosphaerulina Leaf Spot,,Leptosphaerulina spp.,LLM:gpt-5.2,True,False
Looper spp.,Alfalfa,Disease,Insects,Loopers,,,LLM:gpt-5.2,True,False
Lygus (suppression),Alfalfa,Disease,Insects,Lygus Bugs,,,LLM:gpt-5.2,True,False
Macrophomina,Alfalfa,Disease,Disease,Charcoal Rot,,Macrophomina spp.,LLM:gpt-5.2,True,False
Macrophomina phaseolina,Alfalfa,Disease,Disease,Charcoal Rot,,Macrophomina spp.,LLM:gpt-5.2,True,False
Macrophomina spp.,Alfalfa,Disease,Disease,Charcoal Rot,,Macrophomina spp.,LLM:gpt-5.2,True,False
Magnaporthe oryzae,Alfalfa,Disease,Disease,Rice Blast,,Magnaporthe spp.,LLM:gpt-5.2,True,False
Meadow Spittlebug,Alfalfa,Disease,Insects,Meadow Spittlebug,,,LLM:gpt-5.2,True,False
Monilinea fruit and blossom rot,Alfalfa,Disease,Disease,Brown Rot,,Monilinia spp.,LLM:gpt-5.2,True,False
Mormon Cricket,Alfalfa,Disease,Insects,Mormon Cricket,,,LLM:gpt-5.2,True,False
Mycosphaerella spp.,Alfalfa,Disease,Disease,Mycosphaerella Leaf Spot,,Mycosphaerella spp.,LLM:gpt-5.2,True,False
Needle nematodes (Longidorus species),Alfalfa,Disease,Disease,Needle Nematodes,,Longidorus spp.,LLM:gpt-5.2,True,False
Northern Leaf Blight,Alfalfa,Disease,Disease,Northern Leaf Blight,,,LLM:gpt-5.2,True,False
Olpidium,Alfalfa,Disease,Disease,Olpidium Root Rot,,Olpidium spp.,LLM:gpt-5.2,True,False
Pachymetra,Alfalfa,Disease,Disease,Pachymetra Root Rot,,Pachymetra spp.,LLM:gpt-5.2,True,False
Pea Aphid,Alfalfa,Disease,Insects,Pea Aphid,,,LLM:gpt-5.2,True,False
Pea Weevil (Adult),Alfalfa,Disease,Insects,Pea Weevil,,,LLM:gpt-5.2,True,False
Penicillium spp.,Alfalfa,Disease,Disease,Penicillium Rot,,Penicillium spp.,LLM:gpt-5.2,True,False
Peronophthora,Alfalfa,Disease,Disease,Downy Mildew,,Basidiophora spp.,LLM:gpt-5.2,True,False
Peronosclerospora,Alfalfa,Disease,Disease,Downy Mildew,,Basidiophora spp.,LLM:gpt-5.2,True,False
Phoma (spring black stem and leaf spot),Alfalfa,Disease,Disease,Spring Black Stem and Leaf Spot,,,LLM:gpt-5.2,True,False
Phomopsis blight,Alfalfa,Disease,Disease,Phomopsis Blight,,Phomopsis spp.,LLM:gpt-5.2,True,False
Phomopsis spp.,Alfalfa,Disease,Disease,Phomopsis Blight,,Phomopsis spp.,LLM:gpt-5.2,True,False
Physoderma,Alfalfa,Disease,Disease,Physoderma Brown Spot,,Physoderma spp.,LLM:gpt-5.2,True,False
Phytophthora,Alfalfa,Disease,Disease,Phytophthora Root Rot,,Phytophthora spp.,LLM:gpt-5.2,True,False
"Phytophthora (blights, rots)",Alfalfa,Disease,Disease,Phytophthora Root Rot,,Phytophthora spp.,LLM:gpt-5.2,True,False
Phytophthora medicaginis,Alfalfa,Disease,Disease,Phytophthora Root Rot,,Phytophthora spp.,LLM:gpt-5.2,True,False
Phytophthora root rot,Alfalfa,Disease,Disease,Phytophthora Root Rot,,Phytophthora spp.,LLM:gpt-5.2,True,False
Phytophthora spp.,Alfalfa,Disease,Disease,Phytophthora Root Rot,,Phytophthora spp.,LLM:gpt-5.2,True,False
Pin nematodes (Paratylenchus species),Alfalfa,Disease,Disease,Pin Nematodes,,Paratylenchus spp.,LLM:gpt-5.2,True,False
Plant Bug spp.,Alfalfa,Disease,Insects,Plant Bugs,,,LLM:gpt-5.2,True,False
Plasmodiophora,Alfalfa,Disease,Disease,Clubroot,,Plasmodiophora spp.,LLM:gpt-5.2,True,False
Plasmopara,Alfalfa,Disease,Disease,Downy Mildew,,Basidiophora spp.,LLM:gpt-5.2,True,False
Pod and Stem Blight,Alfalfa,Disease,Disease,Pod and Stem Blight,,,LLM:gpt-5.2,True,False
Polymyxa,Alfalfa,Disease,Disease,Polymyxa Root Disease,,Polymyxa spp.,LLM:gpt-5.2,True,False
Powdery Mildew,Alfalfa,Disease,Disease,Powdery Mildew,,Erysiphe spp.,LLM:gpt-5.2,True,False
Powdery mildew (Erysiphe pisi),Alfalfa,Disease,Disease,Powdery Mildew,,Erysiphe spp.,LLM:gpt-5.2,True,False
Pseudoperonospora,Alfalfa,Disease,Disease,Downy Mildew,,Basidiophora spp.,LLM:gpt-5.2,True,False
Pseudopeziza medicaginis,Alfalfa,Disease,Disease,Common Leaf Spot,,,LLM:gpt-5.2,True,False
Pythium (root rot),Alfalfa,Disease,Disease,Pythium Root Rot,,Pythium spp.,LLM:gpt-5.2,True,False
Pythium damping-off,Alfalfa,Disease,Disease,Damping-Off,,,LLM:gpt-5.2,True,False
Pythium damping-off and early season Phytophthora,Alfalfa,Disease,Disease,Damping-Off and Phytophthora Root Rot,,,LLM:gpt-5.2,True,False
Pythium damping-off control,Alfalfa,Disease,Disease,Damping-Off,,,LLM:gpt-5.2,True,False
Ralstonia solanacearum,Alfalfa,Disease,Disease,Bacterial Wilt,,Ralstonia spp.,LLM:gpt-5.2,True,False
Reniform nematode (Rotylenchulus reniformis),Alfalfa,Disease,Disease,Reniform Nematode,,Rotylenchulus spp.,LLM:gpt-5.2,True,False
Rhizoctonia,Alfalfa,Disease,Disease,Rhizoctonia Root Rot,,Rhizoctonia spp.,LLM:gpt-5.2,True,False
"Rhizoctonia (blight, stem rot)",Alfalfa,Disease,Disease,Rhizoctonia Blight and Stem Rot,,Rhizoctonia spp.,LLM:gpt-5.2,True,False
Rhizoctonia Solani,Alfalfa,Disease,Disease,Rhizoctonia Root Rot,,Rhizoctonia spp.,LLM:gpt-5.2,True,False
Rhizoctonia and Stem Blight,Alfalfa,Disease,Disease,Rhizoctonia Blight and Stem Rot,,Rhizoctonia spp.,LLM:gpt-5.2,True,False
Rhizoctonia blight,Alfalfa,Disease,Disease,Rhizoctonia Blight,,Rhizoctonia spp.,LLM:gpt-5.2,True,False
Rhizoctonia blight/black patch,Alfalfa,Disease,Disease,Rhizoctonia Blight (Black Patch),,Rhizoctonia spp.,LLM:gpt-5.2,True,False
Rhizoctonia blight/black patch (Rhizoctonia spp.),Alfalfa,Disease,Disease,Rhizoctonia Blight (Black Patch),,Rhizoctonia spp.,LLM:gpt-5.2,True,False
Rhizoctonia root rot,Alfalfa,Disease,Disease,Rhizoctonia Root Rot,,Rhizoctonia spp.,LLM:gpt-5.2,True,False
Rhizophydium,Alfalfa,Disease,Disease,Rhizophydium Disease,,Rhizophydium spp.,LLM:gpt-5.2,True,False
Rice blast,Alfalfa,Disease,Disease,Rice Blast,,Magnaporthe spp.,LLM:gpt-5.2,True,False
"Ring nematodes (Criconemoides, Criconemella and Mesocriconema species)",Alfalfa,Disease,Disease,Ring Nematodes,,,LLM:gpt-5.2,True,False
Root Rot (Phytophthora spp.),Alfalfa,Disease,Disease,Phytophthora Root Rot,,Phytophthora spp.,LLM:gpt-5.2,True,False
Root disease,Alfalfa,Disease,Disease,Root Diseases,,,LLM:gpt-5.2,True,False
Root rot,Alfalfa,Disease,Disease,Root Rot,,,LLM:gpt-5.2,True,False
Root-knot nematodes (Meloidogyne species),Alfalfa,Disease,Disease,Root-Knot Nematode,,Meloidogyne spp.,LLM:gpt-5.2,True,False
Rosellinia spp.,Alfalfa,Disease,Disease,Rosellinia Root Rot,,Rosellinia spp.,LLM:gpt-5.2,True,False
Rust (Uromyces spp.),Alfalfa,Disease,Disease,Rust,,Uromyces spp.,LLM:gpt-5.2,True,False
Salmonella enterica,Alfalfa,Disease,Disease,Salmonella,,Salmonella spp.,LLM:gpt-5.2,True,False
Scab,Alfalfa,Disease,Disease,Scab,,,LLM:gpt-5.2,True,False
Sclerophthora,Alfalfa,Disease,Disease,Downy Mildew,,Basidiophora spp.,LLM:gpt-5.2,True,False
Sclerospora,Alfalfa,Disease,Disease,Downy Mildew,,Basidiophora spp.,LLM:gpt-5.2,True,False
Sclerotinia,Alfalfa,Disease,Disease,White Mold,,Sclerotinia spp.,LLM:gpt-5.2,True,False
Sclerotinia Crown Rot and Wilt,Alfalfa,Disease,Disease,Sclerotinia Crown and Stem Rot,,Sclerotinia spp.,LLM:gpt-5.2,True,False
Sclerotinia Crown Rot and Wilt on Clover,Alfalfa,Disease,Disease,Sclerotinia Crown and Stem Rot,,Sclerotinia spp.,LLM:gpt-5.2,True,False
Sclerotinia Sclerotiorum,Alfalfa,Disease,Disease,White Mold,,Sclerotinia spp.,LLM:gpt-5.2,True,False
Sclerotinia crown and stem rot,Alfalfa,Disease,Disease,Sclerotinia Crown and Stem Rot,,Sclerotinia spp.,LLM:gpt-5.2,True,False
Sclerotinia minor,Alfalfa,Disease,Disease,White Mold,,Sclerotinia spp.,LLM:gpt-5.2,True,False
Sclerotinia spp.,Alfalfa,Disease,Disease,White Mold,,Sclerotinia spp.,LLM:gpt-5.2,True,False
Sclerotinia stem and crown rot,Alfalfa,Disease,Disease,Sclerotinia Crown and Stem Rot,,Sclerotinia spp.,LLM:gpt-5.2,True,False
Sclerotium rolfsii,Alfalfa,Disease,Disease,Southern Blight,,Sclerotium spp.,LLM:gpt-5.2,True,False
Sclerotium spp.,Alfalfa,Disease,Disease,Southern Blight,,Sclerotium spp.,LLM:gpt-5.2,True,False
Seed Decay,Alfalfa,Disease,Disease,Seed Decay,,,LLM:gpt-5.2,True,False
Seed rot and damping-off caused by Rhizoctonia solani,Alfalfa,Disease,Disease,Damping-Off,,,LLM:gpt-5.2,True,False
Seedling Diseases,Alfalfa,Disease,Disease,Seedling Diseases,,,LLM:gpt-5.2,True,False
Seedling blight caused by seed-borne and soil-borne fungi,Alfalfa,Disease,Disease,Seedling Blight,,,LLM:gpt-5.2,True,False
Seedling diseases caused by Fusarium spp.,Alfalfa,Disease,Disease,Fusarium Seedling Blight,,Fusarium spp.,LLM:gpt-5.2,True,False
Septoria,Alfalfa,Disease,Disease,Septoria Leaf Spot,,Septoria spp.,LLM:gpt-5.2,True,False
Septoria Brown Spot,Alfalfa,Disease,Disease,Septoria Brown Spot,,Septoria spp.,LLM:gpt-5.2,True,False
Septoria Leaf/Speckled Leaf Spot/Blotch,Alfalfa,Disease,Disease,Septoria Leaf Spot,,Septoria spp.,LLM:gpt-5.2,True,False
Septoria leaf spot,Alfalfa,Disease,Disease,Septoria Leaf Spot,,Septoria spp.,LLM:gpt-5.2,True,False
Sheath spot/blight,Alfalfa,Disease,Disease,Sheath Spot/Blight,,,LLM:gpt-5.2,True,False
Shiga-toxin producing Escherichia coli O157:H7,Alfalfa,Disease,Disease,E. coli O157:H7,,,LLM:gpt-5.2,True,False
Shot Hole,Alfalfa,Disease,Disease,Shot Hole,,,LLM:gpt-5.2,True,False
Silverleaf whitefly,Alfalfa,Disease,Insects,Silverleaf Whitefly,,,LLM:gpt-5.2,True,False
Smut,Alfalfa,Disease,Disease,Smut,,,LLM:gpt-5.2,True,False
Southern blight,Alfalfa,Disease,Disease,Southern Blight,,Sclerotium spp.,LLM:gpt-5.2,True,False
Spiral nematodes (Helicotylenchus and Rotylenchus species),Alfalfa,Disease,Disease,Spiral Nematodes,,,LLM:gpt-5.2,True,False
Spongospora,Alfalfa,Disease,Disease,Powdery Scab,,Spongospora spp.,LLM:gpt-5.2,True,False
Spotted Alfalfa Aphid,Alfalfa,Disease,Insects,Spotted Alfalfa Aphid,,,LLM:gpt-5.2,True,False
Spring Black Stem and Leaf Spot,Alfalfa,Disease,Disease,Spring Black Stem and Leaf Spot,,,LLM:gpt-5.2,True,False
Spring black stem,Alfalfa,Disease,Disease,Spring Black Stem and Leaf Spot,,,LLM:gpt-5.2,True,False
Spring black stem and leaf spot (Phoma medicaginis),Alfalfa,Disease,Disease,Spring Black Stem and Leaf Spot,,,LLM:gpt-5.2,True,False
Stagnospora leaf spot,Alfalfa,Disease,Disease,Stagonospora Leaf Spot,,Stagonospora spp.,LLM:gpt-5.2,True,False
Stagnospora leaf spot (Stagnospora meliloti),Alfalfa,Disease,Disease,Stagonospora Leaf Spot,,Stagonospora spp.,LLM:gpt-5.2,True,False
Stagonospora Leaf Spot,Alfalfa,Disease,Disease,Stagonospora Leaf Spot,,Stagonospora spp.,LLM:gpt-5.2,True,False
Stagonospora meliloti,Alfalfa,Disease,Disease,Stagonospora Leaf Spot,,Stagonospora spp.,LLM:gpt-5.2,True,False
Stem nematode (Ditylenchus dipsaci),Alfalfa,Disease,Disease,Stem Nematode,,Ditylenchus spp.,LLM:gpt-5.2,True,False
Stem rot disease,Alfalfa,Disease,Disease,Stem Rot,,,LLM:gpt-5.2,True,False
Stem rots,Alfalfa,Disease,Disease,Stem Rot,,,LLM:gpt-5.2,True,False
Stemphylium Leaf Spot,Alfalfa,Disease,Disease,Stemphylium Leaf Spot,,Stemphylium spp.,LLM:gpt-5.2,True,False
Stemphylium leafspot (Stemphylium spp.),Alfalfa,Disease,Disease,Stemphylium Leaf Spot,,Stemphylium spp.,LLM:gpt-5.2,True,False
Sting nematode (Belonolaimus longicaudatus),Alfalfa,Disease,Disease,Sting Nematode,,Belonolaimus spp.,LLM:gpt-5.2,True,False
Stubby root nematodes (Trichodorus and Paratrichodorus species),Alfalfa,Disease,Disease,Stubby-Root Nematodes,,,LLM:gpt-5.2,True,False
Stunt nematodes (Tylenchorhynchus species),Alfalfa,Disease,Disease,Stunt Nematodes,,Tylenchorhynchus spp.,LLM:gpt-5.2,True,False
Summer Black Stem and Leaf Spot,Alfalfa,Disease,Disease,Summer Black Stem and Leaf Spot,,,LLM:gpt-5.2,True,False
Summer black stem and leaf spot (Cercospora medicaginis),Alfalfa,Disease,Disease,Summer Black Stem and Leaf Spot,,,LLM:gpt-5.2,True,False
Suppression of early-season downy mildew,Alfalfa,Disease,Disease,Downy Mildew,,Basidiophora spp.,LLM:gpt-5.2,True,False
Sweet Clover Weevil (Adult),Alfalfa,Disease,Insects,Sweetclover Weevil,,,LLM:gpt-5.2,True,False
