original_target_name,original_crop,original_target_type,source_target_type,new_target_name,new_target_type,new_target_species,source_refined,deployed,main_target_list,__needs
Codling Moth,Alfalfa,Disease,Insects,,,,,True,False,True
Colletotrichum (anthracnose),Alfalfa,Disease,Disease,,,,,True,False,True
Colletotrichum trifolii,Alfalfa,Disease,Disease,,,,,True,False,True
Colorado Potato Beetle,Alfalfa,Disease,Insects,,,,,True,False,True
Common Leaf Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Common leaf spot (Pseudopeziza medicaginis),Alfalfa,Disease,Disease,,,,,True,False,True
Corn Earworm,Alfalfa,Disease,Insects,,,,,True,False,True
Corn Rootworm,Alfalfa,Disease,Insects,,,,,True,False,True
Corn beetles,Alfalfa,Disease,Insects,,,,,True,False,True
Coryneum Blight,Alfalfa,Disease,Disease,,,,,True,False,True
Cotton Root Rot,Alfalfa,Disease,Disease,,,,,True,False,True
Cowpea Aphid,Alfalfa,Disease,Insects,,,,,True,False,True
Cowpea Curculio (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
Cowpea Weevil (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
Crown Rot,Alfalfa,Disease,Disease,,,,,True,False,True
Crown Rot Complex,Alfalfa,Disease,Disease,,,,,True,False,True
Cucumber Beetle Spp. (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
Cucumber Beetles,Alfalfa,Disease,Insects,,,,,True,False,True
Cucumber beetle (adult),Alfalfa,Disease,Insects,,,,,True,False,True
Cut Worms,Alfalfa,Disease,Insects,,,,,True,False,True
Cutworm species,Alfalfa,Disease,Insects,,,,,True,False,True
Cutworm spp.,Alfalfa,Disease,Insects,,,,,True,False,True
Cylindrocladium,Alfalfa,Disease,Disease,,,,,True,False,True
Cyst nematodes (Heterodera and Globodera species),Alfalfa,Disease,Disease,,,,,True,False,True
Dagger nematodes (Xiphinema species),Alfalfa,Disease,Disease,,,,,True,False,True
Damping Off,Alfalfa,Disease,Disease,,,,,True,False,True
Damping-off (Pythium spp.),Alfalfa,Disease,Disease,,,,,True,False,True
Damping-off caused by seed-borne and soil-borne fungi,Alfalfa,Disease,Disease,,,,,True,False,True
Damping-off fungus,Alfalfa,Disease,Disease,,,,,True,False,True
Damping-off fungus (Pythium spp.),Alfalfa,Disease,Disease,,,,,True,False,True
Damping-off fungus (Rhizoctonia spp.),Alfalfa,Disease,Disease,,,,,True,False,True
Decay caused by seed-borne and soil-borne fungi,Alfalfa,Disease,Disease,,,,,True,False,True
"Decay, damping-off, and seedling blight caused by seed-borne and soil-borne fungi.",Alfalfa,Disease,Disease,,,,,True,False,True
Diamondback Moths,Alfalfa,Disease,Insects,,,,,True,False,True
Didymella bryoniae,Alfalfa,Disease,Disease,,,,,True,False,True
Downy Mildew,Alfalfa,Disease,Disease,,,,,True,False,True
Downy mildew (Peronospora trifoliorum),Alfalfa,Disease,Disease,,,,,True,False,True
Ear Worms,Alfalfa,Disease,Insects,,,,,True,False,True
Early blight,Alfalfa,Disease,Disease,,,,,True,False,True
Early season Phytophthora control,Alfalfa,Disease,Disease,,,,,True,False,True
Early-season Phytophthora,Alfalfa,Disease,Disease,,,,,True,False,True
Egyptian Alfalfa Weevil,Alfalfa,Disease,Insects,,,,,True,False,True
Erwinia,Alfalfa,Disease,Disease,,,,,True,False,True
Erysiphe (powdery mildew),Alfalfa,Disease,Disease,,,,,True,False,True
Erysiphe spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Fagot Worms,Alfalfa,Disease,Insects,,,,,True,False,True
Fall Armyworm,Alfalfa,Disease,Insects,,,,,True,False,True
False root knot nematodes (Naccobus species),Alfalfa,Disease,Disease,,,,,True,False,True
Fireblight,Alfalfa,Disease,Disease,,,,,True,False,True
Flea Beetles,Alfalfa,Disease,Insects,,,,,True,False,True
Flea Hopper,Alfalfa,Disease,Insects,,,,,True,False,True
Flies,Alfalfa,Disease,Insects,,,,,True,False,True
Fly speck,Alfalfa,Disease,Disease,,,,,True,False,True
Frog-eyed Leaf Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Fruit Flies,Alfalfa,Disease,Insects,,,,,True,False,True
Fungi/oomycetes,Alfalfa,Disease,Disease,,,,,True,False,True
Fungus Gnats,Alfalfa,Disease,Insects,,,,,True,False,True
Fusarium,Alfalfa,Disease,Disease,,,,,True,False,True
"Fusarium (root-rot, leaf spot, Pink Snow Mold)",Alfalfa,Disease,Disease,,,,,True,False,True
Fusarium Crown and Root Rot,Alfalfa,Disease,Disease,,,,,True,False,True
Fusarium Wilt,Alfalfa,Disease,Disease,,,,,True,False,True
Fusarium seedling blight,Alfalfa,Disease,Disease,,,,,True,False,True
Fusarium seedling blight (Fusarium spp.),Alfalfa,Disease,Disease,,,,,True,False,True
Fusarium spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Gibberella fujikuroi,Alfalfa,Disease,Disease,,,,,True,False,True
Gnats,Alfalfa,Disease,Insects,,,,,True,False,True
Grape Berry Moths,Alfalfa,Disease,Insects,,,,,True,False,True
Grape Colaspis (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
Grasshopper,Alfalfa,Disease,Insects,,,,,True,False,True
Grasshopper species,Alfalfa,Disease,Insects,,,,,True,False,True
Grasshopper spp.,Alfalfa,Disease,Insects,,,,,True,False,True
Gray Leaf Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Gray Mold,Alfalfa,Disease,Disease,,,,,True,False,True
Greasy Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Green Cloverworm,Alfalfa,Disease,Insects,,,,,True,False,True
Green June Beetle (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
Green Peach Aphid,Alfalfa,Disease,Insects,,,,,True,False,True
Grey leafspot,Alfalfa,Disease,Disease,,,,,True,False,True
Grubs,Alfalfa,Disease,Insects,,,,,True,False,True
Gypsy Moths,Alfalfa,Disease,Insects,,,,,True,False,True
Hessian Fly,Alfalfa,Disease,Insects,,,,,True,False,True
Hornworms,Alfalfa,Disease,Insects,,,,,True,False,True
Imported Fire Ant,Alfalfa,Disease,Insects,,,,,True,False,True
Japanese Beetle (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
Japanese Beetles,Alfalfa,Disease,Insects,,,,,True,False,True
Lance nematodes (Hoplolaimus species),Alfalfa,Disease,Disease,,,,,True,False,True
Leaf Blight,Alfalfa,Disease,Disease,,,,,True,False,True
Leaf Miners,Alfalfa,Disease,Insects,,,,,True,False,True
Leaf Perforators,Alfalfa,Disease,Insects,,,,,True,False,True
Leaf Rust,Alfalfa,Disease,Disease,,,,,True,False,True
Leaf Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Leaf Spot Complex,Alfalfa,Disease,Disease,,,,,True,False,True
Leaf spot (Leptosphaerulina briosiani),Alfalfa,Disease,Disease,,,,,True,False,True
Leafhopper species,Alfalfa,Disease,Insects,,,,,True,False,True
Leafhopper spp.,Alfalfa,Disease,Insects,,,,,True,False,True
Leafhoppers,Alfalfa,Disease,Insects,,,,,True,False,True
Leafrollers,Alfalfa,Disease,Insects,,,,,True,False,True
Lepto leafspot,Alfalfa,Disease,Disease,,,,,True,False,True
Lepto leafspot (Leptosphaerulina briosiana),Alfalfa,Disease,Disease,,,,,True,False,True
Leptosphaeria lindquistii,Alfalfa,Disease,Disease,,,,,True,False,True
Leptosphaeruiina Leaf Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Leptosphaerulina Leaf Spots,Alfalfa,Disease,Disease,,,,,True,False,True
Leptosphaerulina briosiana,Alfalfa,Disease,Disease,,,,,True,False,True
Lesion nematodes (Pratylenchus species),Alfalfa,Disease,Disease,,,,,True,False,True
Lewptosphaerulina leaf spot,Alfalfa,Disease,Disease,,,,,True,False,True
Looper spp.,Alfalfa,Disease,Insects,,,,,True,False,True
Loopers,Alfalfa,Disease,Insects,,,,,True,False,True
Lygus,Alfalfa,Disease,Insects,,,,,True,False,True
Lygus (suppression),Alfalfa,Disease,Insects,,,,,True,False,True
Lygus Bug,Alfalfa,Disease,Insects,,,,,True,False,True
Macrophomina,Alfalfa,Disease,Disease,,,,,True,False,True
Macrophomina phaseolina,Alfalfa,Disease,Disease,,,,,True,False,True
Macrophomina spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Maggots,Alfalfa,Disease,Insects,,,,,True,False,True
Magnaporthe oryzae,Alfalfa,Disease,Disease,,,,,True,False,True
Meadow Spittlebug,Alfalfa,Disease,Insects,,,,,True,False,True
Mexican Bean Beetle,Alfalfa,Disease,Insects,,,,,True,False,True
Mexican Beetles,Alfalfa,Disease,Insects,,,,,True,False,True
Mildew,Alfalfa,Disease,Disease,,,,,True,False,True
Mite,Alfalfa,Disease,Insects,,,,,True,False,True
"Mites (Atlantic, Pacific, Strawberry, Red spider)",Alfalfa,Disease,Insects,,,,,True,False,True
Mites (Pacific),Alfalfa,Disease,Insects,,,,,True,False,True
Mites (Red spider),Alfalfa,Disease,Insects,,,,,True,False,True
Mites (Strawberry/Atlantic),Alfalfa,Disease,Insects,,,,,True,False,True
Molds,Alfalfa,Disease,Disease,,,,,True,False,True
Monilinea fruit and blossom rot,Alfalfa,Disease,Disease,,,,,True,False,True
Mormon Cricket,Alfalfa,Disease,Insects,,,,,True,False,True
Moths,Alfalfa,Disease,Insects,,,,,True,False,True
Mummy Berry,Alfalfa,Disease,Disease,,,,,True,False,True
Mycosphaerella spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Needle nematodes (Longidorus species),Alfalfa,Disease,Disease,,,,,True,False,True
Nematodes,Alfalfa,Disease,Disease,,,,,True,False,True
Northern Leaf Blight,Alfalfa,Disease,Disease,,,,,True,False,True
Olpidium,Alfalfa,Disease,Disease,,,,,True,False,True
Onion Maggots,Alfalfa,Disease,Insects,,,,,True,False,True
Orange Tortrix,Alfalfa,Disease,Insects,,,,,True,False,True
Pachymetra,Alfalfa,Disease,Disease,,,,,True,False,True
Pacific Spider Mites,Alfalfa,Disease,Insects,,,,,True,False,True
Pacific mite,Alfalfa,Disease,Insects,,,,,True,False,True
Pea Aphid,Alfalfa,Disease,Insects,,,,,True,False,True
Pea Weevil (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
Penicillium spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Pepper Weevils,Alfalfa,Disease,Insects,,,,,True,False,True
Perennial Broadleaf Weeds,Alfalfa,Disease,Weeds,,,,,True,False,True
Peronophthora,Alfalfa,Disease,Disease,,,,,True,False,True
Peronosclerospora,Alfalfa,Disease,Disease,,,,,True,False,True
Phoma (spring black stem and leaf spot),Alfalfa,Disease,Disease,,,,,True,False,True
Phomopsis,Alfalfa,Disease,Disease,,,,,True,False,True
Phomopsis blight,Alfalfa,Disease,Disease,,,,,True,False,True
Phomopsis spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Phylloxera,Alfalfa,Disease,Insects,,,,,True,False,True
Physoderma,Alfalfa,Disease,Disease,,,,,True,False,True
Phytophthora,Alfalfa,Disease,Disease,,,,,True,False,True
"Phytophthora (blights, rots)",Alfalfa,Disease,Disease,,,,,True,False,True
Phytophthora medicaginis,Alfalfa,Disease,Disease,,,,,True,False,True
Phytophthora root rot,Alfalfa,Disease,Disease,,,,,True,False,True
Phytophthora spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Pickle Worms,Alfalfa,Disease,Insects,,,,,True,False,True
Pin nematodes (Paratylenchus species),Alfalfa,Disease,Disease,,,,,True,False,True
Plant Bug spp.,Alfalfa,Disease,Insects,,,,,True,False,True
Plant Bugs,Alfalfa,Disease,Insects,,,,,True,False,True
Plasmodiophora,Alfalfa,Disease,Disease,,,,,True,False,True
Plasmopara,Alfalfa,Disease,Disease,,,,,True,False,True
Pod and Stem Blight,Alfalfa,Disease,Disease,,,,,True,False,True
Polymyxa,Alfalfa,Disease,Disease,,,,,True,False,True
Post-bloom fruit drop,Alfalfa,Disease,Disease,,,,,True,False,True
Potato Flea Beetles,Alfalfa,Disease,Insects,,,,,True,False,True
Potato Leaf Hopper,Alfalfa,Disease,Insects,,,,,True,False,True
Powdery Mildew,Alfalfa,Disease,Disease,,,,,True,False,True
Powdery mildew (Erysiphe pisi),Alfalfa,Disease,Disease,,,,,True,False,True
Pseudoperonospora,Alfalfa,Disease,Disease,,,,,True,False,True
Pseudopeziza medicaginis,Alfalfa,Disease,Disease,,,,,True,False,True
Psylla,Alfalfa,Disease,Insects,,,,,True,False,True
Psyllids,Alfalfa,Disease,Insects,,,,,True,False,True
Pythium,Alfalfa,Disease,Disease,,,,,True,False,True
Pythium (root rot),Alfalfa,Disease,Disease,,,,,True,False,True
Pythium damping off,Alfalfa,Disease,Disease,,,,,True,False,True
Pythium damping-off and early season Phytophthora,Alfalfa,Disease,Disease,,,,,True,False,True
Pythium damping-off control,Alfalfa,Disease,Disease,,,,,True,False,True
Pythium spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Ralstonia solanacearum,Alfalfa,Disease,Disease,,,,,True,False,True
Red Spider Mites,Alfalfa,Disease,Insects,,,,,True,False,True
Reniform nematode (Rotylenchulus reniformis),Alfalfa,Disease,Disease,,,,,True,False,True
Rhizoctonia,Alfalfa,Disease,Disease,,,,,True,False,True
"Rhizoctonia (blight, stem rot)",Alfalfa,Disease,Disease,,,,,True,False,True
Rhizoctonia Solani,Alfalfa,Disease,Disease,,,,,True,False,True
Rhizoctonia and Stem Blight,Alfalfa,Disease,Disease,,,,,True,False,True
Rhizoctonia blight,Alfalfa,Disease,Disease,,,,,True,False,True
Rhizoctonia blight/black patch,Alfalfa,Disease,Disease,,,,,True,False,True
Rhizoctonia blight/black patch (Rhizoctonia spp.),Alfalfa,Disease,Disease,,,,,True,False,True
Rhizoctonia root rot,Alfalfa,Disease,Disease,,,,,True,False,True
Rhizoctonia spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Rhizophydium,Alfalfa,Disease,Disease,,,,,True,False,True
Rice blast,Alfalfa,Disease,Disease,,,,,True,False,True
"Ring nematodes (Criconemoides, Criconemella and Mesocriconema species)",Alfalfa,Disease,Disease,,,,,True,False,True
Root Rot (Phytophthora spp.),Alfalfa,Disease,Disease,,,,,True,False,True
Root Worms,Alfalfa,Disease,Insects,,,,,True,False,True
Root disease,Alfalfa,Disease,Disease,,,,,True,False,True
Root rot,Alfalfa,Disease,Disease,,,,,True,False,True
Root-knot nematodes (Meloidogyne species),Alfalfa,Disease,Disease,,,,,True,False,True
Rosellinia spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Rust,Alfalfa,Disease,Disease,,,,,True,False,True
Rust (Uromyces spp.),Alfalfa,Disease,Disease,,,,,True,False,True
Rust Mites,Alfalfa,Disease,Insects,,,,,True,False,True
Salmonella enterica,Alfalfa,Disease,Disease,,,,,True,False,True
San Jose Scale,Alfalfa,Disease,Insects,,,,,True,False,True
Scab,Alfalfa,Disease,Disease,,,,,True,False,True
Scales,Alfalfa,Disease,Insects,,,,,True,False,True
Scales (soft scale),Alfalfa,Disease,Insects,,,,,True,False,True
Sclerophthora,Alfalfa,Disease,Disease,,,,,True,False,True
Sclerospora,Alfalfa,Disease,Disease,,,,,True,False,True
Sclerotinia,Alfalfa,Disease,Disease,,,,,True,False,True
Sclerotinia Crown Rot and Wilt,Alfalfa,Disease,Disease,,,,,True,False,True
Sclerotinia Crown Rot and Wilt on Clover,Alfalfa,Disease,Disease,,,,,True,False,True
Sclerotinia Sclerotiorum,Alfalfa,Disease,Disease,,,,,True,False,True
Sclerotinia crown and stem rot,Alfalfa,Disease,Disease,,,,,True,False,True
Sclerotinia minor,Alfalfa,Disease,Disease,,,,,True,False,True
Sclerotinia spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Sclerotinia stem and crown rot,Alfalfa,Disease,Disease,,,,,True,False,True
Sclerotium rolfsii,Alfalfa,Disease,Disease,,,,,True,False,True
Sclerotium spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Seed Decay,Alfalfa,Disease,Disease,,,,,True,False,True
Seed corn Maggot,Alfalfa,Disease,Insects,,,,,True,False,True
Seed rot and damping-off caused by Rhizoctonia solani,Alfalfa,Disease,Disease,,,,,True,False,True
Seedling Diseases,Alfalfa,Disease,Disease,,,,,True,False,True
Seedling blight caused by seed-borne and soil-borne fungi,Alfalfa,Disease,Disease,,,,,True,False,True
Seedling diseases caused by Fusarium spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Septoria,Alfalfa,Disease,Disease,,,,,True,False,True
Septoria Brown Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Septoria Leaf/Speckled Leaf Spot/Blotch,Alfalfa,Disease,Disease,,,,,True,False,True
Septoria leaf spot,Alfalfa,Disease,Disease,,,,,True,False,True
Sharpshooters,Alfalfa,Disease,Insects,,,,,True,False,True
Sheath spot/blight,Alfalfa,Disease,Disease,,,,,True,False,True
Shiga-toxin producing Escherichia coli O157:H7,Alfalfa,Disease,Disease,,,,,True,False,True
Shot Hole,Alfalfa,Disease,Disease,,,,,True,False,True
Silverleaf whitefly,Alfalfa,Disease,Insects,,,,,True,False,True
Smut,Alfalfa,Disease,Disease,,,,,True,False,True
Southern armyworm,Alfalfa,Disease,Insects,,,,,True,False,True
Southern blight,Alfalfa,Disease,Disease,,,,,True,False,True
Spider Mites,Alfalfa,Disease,Insects,,,,,True,False,True
Spiral nematodes (Helicotylenchus and Rotylenchus species),Alfalfa,Disease,Disease,,,,,True,False,True
Spittle bug,Alfalfa,Disease,Insects,,,,,True,False,True
Spongospora,Alfalfa,Disease,Disease,,,,,True,False,True
Spotted Alfalfa Aphid,Alfalfa,Disease,Insects,,,,,True,False,True
Spring Black Stem and Leaf Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Spring black stem,Alfalfa,Disease,Disease,,,,,True,False,True
Spring black stem and leaf spot (Phoma medicaginis),Alfalfa,Disease,Disease,,,,,True,False,True
Stagnospora leaf spot,Alfalfa,Disease,Disease,,,,,True,False,True
Stagnospora leaf spot (Stagnospora meliloti),Alfalfa,Disease,Disease,,,,,True,False,True
Stagonospora Leaf Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Stagonospora meliloti,Alfalfa,Disease,Disease,,,,,True,False,True
Stem nematode (Ditylenchus dipsaci),Alfalfa,Disease,Disease,,,,,True,False,True
Stem rot disease,Alfalfa,Disease,Disease,,,,,True,False,True
Stem rots,Alfalfa,Disease,Disease,,,,,True,False,True
Stemphylium Leaf Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Stemphylium leafspot (Stemphylium spp.),Alfalfa,Disease,Disease,,,,,True,False,True
Sting nematode (Belonolaimus longicaudatus),Alfalfa,Disease,Disease,,,,,True,False,True
Stink Bug species,Alfalfa,Disease,Insects,,,,,True,False,True
Stink Bug spp.,Alfalfa,Disease,Insects,,,,,True,False,True
Stink bugs,Alfalfa,Disease,Insects,,,,,True,False,True
Strawberry mite,Alfalfa,Disease,Insects,,,,,True,False,True
Stubby root nematodes (Trichodorus and Paratrichodorus species),Alfalfa,Disease,Disease,,,,,True,False,True
Stunt nematodes (Tylenchorhynchus species),Alfalfa,Disease,Disease,,,,,True,False,True
Sucker Ants,Alfalfa,Disease,Insects,,,,,True,False,True
Summer Black Stem and Leaf Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Summer black stem and leaf spot (Cercospora medicaginis),Alfalfa,Disease,Disease,,,,,True,False,True
Suppression of early season Downy Mildew,Alfalfa,Disease,Disease,,,,,True,False,True
Sweet Clover Weevil (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
Synchytrium,Alfalfa,Disease,Disease,,,,,True,False,True
Take-All,Alfalfa,Disease,Disease,,,,,True,False,True
Target Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Tarnished plant bug,Alfalfa,Disease,Insects,,,,,True,False,True
Texas Root Rot,Alfalfa,Disease,Disease,,,,,True,False,True
Thielaviopsis,Alfalfa,Disease,Disease,,,,,True,False,True
Thielaviopsis (black root rot),Alfalfa,Disease,Disease,,,,,True,False,True
Thielaviopsis basicola,Alfalfa,Disease,Disease,,,,,True,False,True
Three-cornered alfalfa hopper,Alfalfa,Disease,Insects,,,,,True,False,True
Thrips,Alfalfa,Disease,Insects,,,,,True,False,True
Thrips species,Alfalfa,Disease,Insects,,,,,True,False,True
Thrips spp.,Alfalfa,Disease,Insects,,,,,True,False,True
Tobacco Budworm,Alfalfa,Disease,Insects,,,,,True,False,True
Tomato Fruitworm,Alfalfa,Disease,Insects,,,,,True,False,True
Trachysphaera,Alfalfa,Disease,Disease,,,,,True,False,True
Two spotted spider mite,Alfalfa,Disease,Insects,,,,,True,False,True
Two-spotted mite,Alfalfa,Disease,Insects,,,,,True,False,True
Variegated Cutworm,Alfalfa,Disease,Insects,,,,,True,False,True
Velvetbean Caterpillar,Alfalfa,Disease,Insects,,,,,True,False,True
Venturia inaequalis,Alfalfa,Disease,Disease,,,,,True,False,True
Verticillium,Alfalfa,Disease,Disease,,,,,True,False,True
Verticillium Wilt,Alfalfa,Disease,Disease,,,,,True,False,True
Verticillium spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Webworm,Alfalfa,Disease,Insects,,,,,True,False,True
Webworm species,Alfalfa,Disease,Insects,,,,,True,False,True
Webworm spp.,Alfalfa,Disease,Insects,,,,,True,False,True
Weevils,Alfalfa,Disease,Insects,,,,,True,False,True
Western Yellowstriped Armyworm,Alfalfa,Disease,Insects,,,,,True,False,True
Western bean cutworm,Alfalfa,Disease,Insects,,,,,True,False,True
White flies,Alfalfa,Disease,Insects,,,,,True,False,True
White grubs,Alfalfa,Disease,Insects,,,,,True,False,True
White mold,Alfalfa,Disease,Disease,,,,,True,False,True
White mold/Sclerotinia crown and stem rot,Alfalfa,Disease,Disease,,,,,True,False,True
Whitefringed Beetle spp. (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
